t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
91,1004,181,41,1540,-1470,1820,122.0,0
107,999,187,42,1470,-1470,1750,122.0,0
122,1003,185,37,1400,-1400,1890,122.0,0
137,1001,183,44,1540,-1260,1890,118.0,0
152,1004,178,43,1470,-1330,1820,121.0,0
167,1002,183,39,1610,-1260,1820,121.0,0
177,1002,186,41,1680,-1190,1750,118.0,0
192,1003,185,43,1470,-1190,1820,118.0,0
207,1001,185,45,1540,-1190,1890,118.0,0
217,1001,187,43,1680,-1190,1890,118.0,0
232,1001,185,43,1470,-1260,1890,119.0,0
247,1002,184,47,1470,-1260,1960,119.0,0
257,1002,181,45,1540,-1260,1960,119.0,0
276,1000,188,45,1610,-1260,1960,120.0,0
291,1001,184,44,1470,-1330,1960,118.0,0
306,1003,185,40,1540,-1260,2100,118.0,0
316,1001,188,42,1610,-1260,2100,118.0,0
331,1005,180,41,1470,-1260,2100,123.0,0
346,1002,184,39,1750,-1050,2170,123.0,0
356,998,192,43,1610,-1120,2240,122.0,0
371,1005,177,43,1470,-1120,2240,120.0,0
386,1002,184,42,1750,-980,2240,120.0,0
396,1001,180,40,1680,-980,2240,120.0,0
411,1003,180,45,1540,-1050,2100,118.0,0
426,1004,180,41,1610,-1050,2100,118.0,0
436,1001,197,40,1890,-980,2240,118.0,0
451,990,193,50,1190,-1190,2100,121.0,0
466,1000,180,49,1400,-1190,2100,121.0,0
476,1001,189,50,1750,-1050,2030,118.0,0
491,1001,184,36,1750,-1050,2030,121.0,0
506,1000,190,48,1400,-1050,2100,121.0,0
516,997,185,49,1400,-1120,2240,119.0,0
535,998,188,43,1820,-1050,2380,121.0,0
550,987,202,0,1820,-560,2800,117.0,0
565,1033,193,11,2310,420,3570,117.0,0
575,970,244,53,1890,280,3640,125.0,0
590,990,221,41,1330,210,4620,121.0,0
605,971,254,56,1610,210,6160,121.0,0
615,1000,216,23,1890,490,6790,118.0,0
630,993,199,55,1680,630,7140,120.0,0
645,996,188,83,910,210,7350,120.0,0
660,1000,101,119,700,-490,6370,120.0,0
670,1009,169,85,700,-1540,7350,120.0,0
685,1014,235,-17,4130,490,8820,121.0,0
700,1022,202,-48,2660,1540,9730,121.0,0
710,1017,197,-5,-770,2100,9590,118.0,0
725,1024,132,56,-280,2800,9380,119.0,0
740,1020,156,20,770,3080,9590,119.0,0
750,972,208,157,1330,2520,10430,121.0,0
765,971,226,85,1890,1750,11480,122.0,0
780,970,220,105,3920,490,14280,122.0,0
795,973,230,72,4410,-70,16380,119.0,0
810,979,262,46,3570,-1190,17360,117.0,0
825,1020,247,-15,3010,-910,20510,119.0,0
840,960,259,88,1750,-980,21840,119.0,0
850,960,242,60,-70,-1400,22610,115.0,0
