t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
87,1016,57,25,1330,-1330,3850,123.0,0
103,1024,39,14,1120,-700,3850,123.0,0
118,1024,32,11,1190,-280,3780,108.0,0
133,1021,37,33,980,420,3430,112.0,0
148,1015,35,44,1120,420,3290,112.0,0
163,1020,31,35,1260,280,3010,112.0,0
173,1019,20,45,1330,280,2870,110.0,0
188,1016,23,42,1260,210,2170,112.0,0
203,1020,21,35,1190,0,1820,112.0,0
213,1019,15,38,1190,70,1540,111.0,0
228,1014,28,52,1400,-280,840,110.0,0
243,1017,28,42,1400,-420,700,110.0,0
253,1015,41,45,1470,-490,630,112.0,0
273,1016,42,44,1330,-770,700,113.0,0
288,1013,53,53,1680,-1190,910,116.0,0
303,1013,45,54,1540,-1400,1120,116.0,0
313,1014,48,49,1610,-1890,1190,114.0,0
328,1014,51,50,1680,-2170,1400,111.0,0
343,1011,63,49,1680,-2450,1890,111.0,0
353,1016,55,44,1750,-2520,2170,112.0,0
368,1016,45,40,1750,-2590,2240,111.0,0
383,1018,44,26,1680,-2380,2240,111.0,0
393,1022,30,29,1610,-2170,2100,110.0,0
408,1020,29,31,1680,-2100,1750,110.0,0
423,1025,27,18,1470,-1610,1190,110.0,0
433,1023,30,22,1400,-1330,1050,110.0,0
448,1018,44,28,1400,-840,770,111.0,0
463,1023,34,17,1330,-630,630,111.0,0
478,1018,40,29,1190,-210,560,111.0,0
488,1017,52,35,1050,-70,630,113.0,0
503,1019,33,37,1120,0,700,112.0,0
525,1015,45,43,1120,-210,490,113.0,0
540,1013,50,48,980,-350,490,113.0,0
550,1013,61,48,910,-490,560,108.0,0
565,1017,57,40,910,-770,1120,112.0,0
580,1009,64,64,1050,-980,1400,112.0,0
590,1008,63,66,1330,-1330,1750,110.0,0
605,1012,58,51,1540,-2100,2380,111.0,0
620,1011,58,57,1610,-2310,2730,111.0,0
630,1012,50,52,1540,-2800,2870,110.0,0
645,1014,49,50,1400,-3010,2940,111.0,0
660,1014,46,52,1540,-3500,3150,110.0,0
675,1012,42,63,1540,-3850,3220,110.0,0
685,1008,46,72,1610,-4340,3220,110.0,0
700,1011,48,77,1120,-5460,3150,110.0,0
715,1007,44,80,420,-6160,3010,110.0,0
725,1006,48,72,0,-6790,2870,112.0,0
740,997,82,3,-7280,-8820,2800,108.0,0
755,1005,162,-93,-20790,-14770,2030,108.0,0
769,1057,23,-72,-72870,-18830,1470,110.0,0
784,1016,36,-64,-95690,-23240,-490,108.0,0
799,1034,-1,-1,-117390,-23800,-1190,109.0,0
814,1047,-87,41,-109760,-22120,-2870,109.0,0
824,1041,-69,42,-98070,-20160,-3710,111.0,0
839,1048,-86,68,-84210,-17920,-4550,108.0,0
854,1032,-58,26,-58450,-14140,-6230,108.0,0
864,1014,41,-8,-50470,-12810,-6720,112.0,0
879,1027,28,-25,-46410,-11900,-7210,109.0,0
894,1028,70,-108,-49210,-11130,-7420,109.0,0
904,1025,73,-114,-54320,-10780,-7700,114.0,0
919,1019,80,-100,-60970,-10990,-8330,112.0,0
934,1013,117,-126,-76230,-11060,-8400,112.0,0
944,1020,98,-111,-83860,-11130,-8330,110.0,0
959,1018,94,-92,-98840,-11830,-8330,112.0,0
974,1005,99,-76,-105490,-12390,-8330,112.0,0
984,1004,103,-64,-110880,-12950,-8260,113.0,0
999,1012,94,-35,-115710,-13300,-7560,110.0,0
1014,1006,93,-34,-115010,-12180,-6230,112.0,0
1054,1002,126,6,-89670,-7420,-1890,113.0,0
1069,1009,95,10,-82390,-5880,-700,113.0,0
1084,1003,109,49,-69160,-3570,1190,113.0,0
1099,1007,85,45,-63490,-2870,1960,113.0,0
1114,1018,83,32,-52150,-1400,2660,115.0,0
1129,1007,101,4,-47390,-630,3430,115.0,0
1139,1023,76,-19,-43680,1190,3570,114.0,0
1154,1014,80,-32,-38360,1960,3430,113.0,0
1169,1011,94,-55,-37380,3500,3010,113.0,0
1179,1013,84,-38,-38010,4060,2870,111.0,0
1194,1015,96,-61,-39060,4550,2800,115.0,0
1209,1019,96,-61,-39620,6300,3150,115.0,0
1219,1024,83,-62,-38920,7700,3290,113.0,0
1234,1032,68,-57,-37660,9030,3570,112.0,0
1249,1028,71,-99,-33950,12600,3430,112.0,0
1259,1033,66,-112,-31850,14840,3360,110.0,0
1274,1059,3,-98,-29540,19600,2590,115.0,0
1292,1111,94,40,-19250,21140,1260,112.0,0
1307,1263,252,20,-8330,24710,490,112.0,0
1317,1124,211,-351,-15680,24360,-1190,111.0,0
1332,992,49,48,-30450,23240,-4550,113.0,0
1347,1000,249,-207,-36890,23100,-6090,113.0,0
1357,993,-252,305,-36820,23030,-5320,117.0,0
1372,781,355,-4,-47250,16590,-8680,116.0,0
1387,1274,95,227,-48650,15260,-8400,116.0,0
1397,1116,201,142,-51730,11760,-8680,119.0,0
1412,1060,131,65,-53760,4970,-4690,123.0,0
1427,990,181,38,-54040,2170,-980,123.0,0
1437,1003,146,47,-53550,-3220,840,124.0,0
1452,941,120,-5,-51310,-5530,2310,123.0,0
1467,932,84,-7,-48440,-9170,3570,123.0,0
1477,958,112,-28,-46690,-10220,4270,124.0,0
1492,949,86,-5,-44660,-11480,5250,129.0,0
1507,920,91,-56,-40320,-14140,5460,129.0,0
1517,899,28,1,-38080,-15120,4620,124.0,0
1532,863,56,2,-35700,-16940,3360,127.0,0
1554,865,-36,-2,-25410,-21420,2030,128.0,0
1569,902,4,-28,-20720,-22190,2870,129.0,0
1584,891,-48,-5,-10080,-23940,3570,129.0,0
1594,873,-36,7,-4690,-24850,3780,127.0,0
1609,834,-52,3,560,-25690,3850,125.0,0
1624,842,-41,26,8190,-27440,3710,125.0,0
1634,879,-26,19,9660,-28350,3500,124.0,0
1649,943,-28,32,11130,-29820,3920,121.0,0
1664,1056,-3,63,12950,-30660,4690,121.0,0
1674,1081,-10,47,14910,-31360,5950,115.0,0
1689,1118,-1,66,17010,-32200,8260,116.0,0
1704,1103,37,41,16590,-32550,9940,116.0,0
1714,1079,46,25,15120,-32340,11410,115.0,0
1729,1057,54,24,8890,-31150,14490,113.0,0
1744,1410,628,-217,4340,-23240,16450,113.0,0
1754,1243,606,1201,-28420,-22610,13370,113.0,0
1769,996,336,-244,-101710,-23240,11200,114.0,0
1784,1092,250,91,-116410,-11900,13300,114.0,0
1802,1146,340,237,-136220,-10500,7420,114.0,0
1812,897,195,-75,-152600,-9660,9660,112.0,0
1827,1003,-34,-75,-132160,-4970,9240,114.0,0
1842,1003,134,19,-109200,-1190,10010,114.0,0
1852,1017,-82,-38,-93240,1050,10290,108.0,0
1867,1060,-41,0,-78260,4270,10010,113.0,0
1882,1018,85,194,-44240,11690,10640,113.0,0
1892,1068,-142,-86,-34370,12880,8610,113.0,0
1907,1097,139,161,-22680,14490,9380,113.0,0
1922,1085,-49,39,-4340,16730,9870,118.0,0
1937,1029,-136,56,6090,19390,7140,118.0,0
1947,979,-64,111,18270,19040,5810,113.0,0
1962,1028,-35,-7,19460,18620,5250,111.0,0
1977,1051,-36,-55,20300,19530,3710,111.0,0
1987,1027,76,-95,16100,19600,3080,114.0,0
2002,1025,73,-64,9660,19740,2590,112.0,0
2017,1155,-55,-148,-12950,16170,1050,112.0,0
2036,1027,-65,215,-5320,15610,140,112.0,0
2058,961,139,147,-2310,9870,-1750,112.0,0
2073,988,73,88,-560,6930,-1260,112.0,0
2088,999,131,82,0,6020,-840,112.0,0
2103,989,118,144,140,4620,700,115.0,0
2118,1001,80,120,70,3290,2170,115.0,0
2128,999,90,118,1260,2310,3010,112.0,0
2143,1001,88,90,1610,210,3850,112.0,0
2158,998,74,102,2030,-1190,4620,111.0,0
2173,1017,68,42,2380,-1470,5040,111.0,0
2183,1002,104,61,2100,-1680,5250,114.0,0
2198,1015,61,51,1960,-1960,5810,112.0,0
2213,1013,74,57,2100,-2170,5950,112.0,0
2223,1017,35,69,1890,-2450,5880,112.0,0
2238,1037,22,13,2380,-2660,5390,113.0,0
