t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
120366,893,-375,247,30800,-19460,74760,116.0
120487,837,-533,289,33040,-22120,71890,116.0
120506,773,-530,269,38990,-27650,65030,121.0
120521,769,-515,203,39690,-30520,57540,121.0
120536,839,-506,96,39340,-31150,51310,124.0
120551,1007,-362,-5,37240,-29050,48860,124.0
120561,1051,-308,-64,36540,-26950,46970,125.0
120576,1068,-271,-90,34650,-21420,44450,125.0
120591,1059,-247,-104,32900,-17920,43890,124.0
120606,1049,-242,-115,28140,-10360,43400,124.0
120616,1049,-237,-122,25340,-6300,43400,125.0
120631,1075,-212,-150,22260,-2100,43610,128.0
120646,1100,-194,-136,15400,6930,43750,128.0
120656,1071,-219,-96,11550,11130,43540,128.0
120671,1038,-241,-39,7350,18270,42490,131.0
120686,1014,-271,47,-1750,21000,41580,131.0
120696,1009,-279,116,-5880,22960,40460,130.0
120723,1226,-405,318,-21770,22820,36680,128.0
120738,1261,-256,559,-31360,11760,20930,133.0
120755,1176,27,247,-22330,9240,18620,133.0
120770,1149,-185,47,-12390,5250,8470,137.0
120785,1045,16,170,-8190,5460,2380,137.0
120795,1012,-54,70,-5810,4130,-7350,134.0
120810,925,-23,17,-5250,3920,-13720,137.0
120825,1000,-24,164,-7210,2730,-24500,137.0
120835,1024,-35,53,-10920,2870,-29610,136.0
120850,990,-19,59,-13930,2520,-34370,136.0
120865,1017,-9,45,-20160,3010,-43820,136.0
120875,1047,-28,56,-23100,3290,-48440,137.0
120890,1109,-20,76,-25970,3640,-52780,134.0
120905,1119,-27,97,-31360,3640,-61110,134.0
120915,1147,-31,129,-33600,3220,-65170,133.0
120930,1246,-39,161,-35420,2310,-73010,136.0
120945,1212,-36,182,-37870,-1400,-76580,136.0
120955,1182,-26,204,-38640,-3570,-80150,133.0
120970,1137,-42,176,-38290,-7910,-86660,128.0
120985,1028,2,173,-37170,-10010,-88970,127.0
121000,985,18,150,-32690,-13650,-92120,127.0
121015,930,0,160,-29540,-15400,-93520,124.0
121030,913,41,163,-21280,-19810,-95480,124.0
121045,877,47,155,-15610,-21980,-94430,125.0
121060,868,15,126,-490,-26180,-93660,125.0
121070,852,56,76,8400,-27790,-92680,129.0
121085,839,77,59,27370,-29050,-88550,127.0
121100,795,65,67,35700,-29890,-86800,127.0
121110,771,84,54,42910,-30870,-84980,125.0
121125,757,101,25,54670,-32340,-80500,127.0
121140,829,107,31,60480,-32620,-77840,127.0
121150,884,98,21,67480,-33110,-71820,124.0
121165,981,77,28,84560,-33740,-68810,125.0
121180,1041,71,34,93940,-34860,-62790,125.0
121190,1069,43,45,104230,-35700,-59990,122.0
121205,1031,47,-4,124530,-36190,-57260,125.0
121220,1003,44,-25,138460,-35910,-52780,125.0
121230,966,49,-35,141890,-35350,-51240,120.0
121245,884,58,-55,143010,-34650,-50050,120.0
121260,905,-12,2,142170,-33530,-48440,120.0
121277,902,-41,-16,138320,-33250,-50820,121.0
121292,910,-19,5,136080,-32480,-52150,121.0
121307,913,-34,-127,131880,-31640,-53410,119.0
121322,898,141,142,129430,-29400,-52570,117.0
121337,912,-58,15,119140,-32550,-51380,117.0
121347,951,144,-130,112070,-31920,-52570,116.0
121362,883,31,80,103670,-28700,-50960,114.0
121377,1437,646,-805,87850,-31430,-51730,114.0
121387,895,-1252,337,142240,-21770,-22050,116.0
121402,749,1285,76,158410,3570,16520,115.0
121417,1035,-451,1227,156450,4620,23450,115.0
121427,630,-379,-805,104930,8050,16310,114.0
121442,763,88,729,53130,27300,43820,111.0
121457,1282,-764,-708,28070,20860,50610,111.0
121467,859,504,-12,27160,25900,47600,110.0
121482,874,-36,-303,-20020,15610,48440,108.0
121497,966,-75,0,-35420,770,46270,108.0
121507,1089,38,-15,-54180,-2380,45570,111.0
121522,1012,21,-150,-80290,-7280,44590,108.0
121539,1011,-127,-106,-88270,-10430,40740,107.0
121554,1044,-110,-113,-83720,-10500,34720,107.0
121564,1013,-105,-119,-74830,-7560,30800,107.0
121579,1069,-132,-12,-48650,-5950,26880,107.0
121594,1057,-127,5,-18970,-2730,19810,107.0
121604,1033,-86,-47,-3850,-1050,16730,109.0
121619,1022,-71,-52,10150,280,13930,107.0
121634,1053,-100,-53,35420,3010,8540,107.0
121644,1058,-73,-98,45220,4200,6510,109.0
121659,1007,28,-151,52780,4760,3640,104.0
121674,1044,1,-138,58520,5320,3430,104.0
121684,986,100,-156,56280,5040,3220,106.0
121699,965,131,-241,51240,3710,3920,105.0
121722,982,136,-239,27860,2590,5530,108.0
121737,986,143,-266,17290,1610,7770,104.0
121752,949,125,-258,-1330,1610,8540,104.0
121762,984,159,-295,-7700,1540,9030,105.0
121777,1019,3,-140,-13230,2800,10080,107.0
121794,962,81,-168,-12460,3640,10360,107.0
121809,1015,30,-84,-5810,5040,10710,107.0
121819,998,73,-132,-1540,5320,10710,105.0
121834,986,87,-127,5390,6370,10780,105.0
121849,1003,39,-140,7280,6650,10780,105.0
121859,1012,42,-105,7980,6860,10710,103.0
121874,1004,45,-151,5810,6370,10710,104.0
121889,999,92,-133,3920,6230,10920,104.0
121899,988,120,-142,1610,6020,12810,105.0
121914,969,171,-101,-840,6090,14210,103.0
121929,970,166,-86,-910,5320,17360,103.0
121939,993,105,-89,280,5390,18830,103.0
121954,992,139,-35,5670,5180,20370,101.0
121969,969,177,-112,9870,4760,24430,101.0
121979,1011,149,-142,3640,3920,26880,103.0
121994,1025,45,-241,-12180,2100,29470,101.0
122009,1191,46,266,2870,5250,31780,101.0
122019,1116,-148,-368,-630,3010,31360,101.0
122034,1044,-12,-262,420,4340,26530,104.0
122053,1028,-117,-141,1470,4480,19320,102.0
122068,976,-245,-22,4970,5040,15610,102.0
122078,970,-187,-8,7350,3640,11690,102.0
122093,1042,37,-139,2240,3920,8540,105.0
122108,974,-122,-62,420,2940,7210,105.0
122118,1002,-29,-159,-1890,2520,6160,104.0
122133,1034,34,-116,-4970,3920,6440,104.0
122148,1024,61,-199,-3990,4340,7420,104.0
122158,1015,32,-219,-2240,5320,8890,104.0
122173,1033,119,-184,-420,8540,11970,104.0
122188,1027,31,-179,-3150,10780,14840,104.0
122198,1033,66,-286,-7140,17080,15890,103.0
122213,1045,56,-275,-18970,20720,16380,102.0
122228,1051,87,-370,-33040,30870,17850,102.0
122243,1062,55,-314,-43120,36540,18620,102.0
122253,1051,83,-285,-55860,43050,19110,104.0
122268,1041,51,-144,-92750,55930,21210,106.0
122283,1123,76,38,-112070,60550,22680,106.0
122293,1211,171,57,-122290,61950,20650,103.0
122310,1280,1100,-590,-58730,52430,18970,105.0
122325,1362,-239,506,-88200,54250,24640,105.0
122335,1002,44,132,-96530,51520,24360,108.0
122350,968,302,100,-108010,48650,21910,109.0
122365,1331,377,187,-114590,45010,15820,109.0
122375,1251,361,-97,-114450,40040,13090,113.0
122390,1194,325,43,-111370,37730,6860,113.0
122405,1082,326,-62,-100730,36190,3570,113.0
122415,1031,330,-36,-93450,34860,-280,116.0
122430,1002,366,-74,-76720,32690,-7980,121.0
122445,954,367,-62,-68250,31430,-11620,122.0
122460,935,379,3,-51310,28280,-17920,122.0
