t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
72,1022,-6,-7,1610,-2030,2800,109.0,0
89,1022,-10,0,1680,-1190,2660,110.0,0
104,1021,-14,6,1680,-840,2450,110.0,0
119,1018,-4,18,1680,-560,2100,110.0,0
134,1017,-11,16,1680,-490,1890,109.0,0
149,1016,-13,22,1680,-560,1400,109.0,0
159,1017,-9,18,1750,-560,1120,109.0,0
174,1019,-20,13,1750,-630,700,109.0,0
189,1018,-2,28,1540,-560,140,109.0,0
199,1015,9,32,1540,-700,70,107.0,0
214,1017,12,39,1470,-1190,420,108.0,0
229,1014,30,51,1610,-1540,840,108.0,0
239,1013,35,51,1680,-2030,1330,108.0,0
254,1019,16,28,1890,-2660,2380,110.0,0
273,1019,15,26,1960,-2660,3010,109.0,0
288,1022,-4,0,1960,-2380,3150,109.0,0
298,1021,-17,-3,1890,-1960,3010,111.0,0
313,1022,-13,5,1750,-1190,2450,110.0,0
328,1017,-9,14,1750,-980,1890,110.0,0
338,1019,-15,6,1680,-840,1540,109.0,0
353,1019,-20,6,1540,-350,1260,111.0,0
368,1022,-27,-5,1470,350,280,111.0,0
378,1021,-39,-9,1400,770,-490,109.0,0
393,1021,-27,0,1260,1260,-1050,108.0,0
408,1023,-41,-5,1120,1820,-2380,108.0,0
418,1021,-8,26,1050,1960,-2660,109.0,0
433,1019,-6,16,1050,1960,-2870,111.0,0
448,1015,74,132,1330,980,-2310,111.0,0
458,999,134,197,1610,-1050,-980,108.0,0
473,985,169,244,2030,-8400,4340,110.0,0
488,968,272,346,3500,-13090,8540,108.0,0
503,998,202,257,5740,-20790,17150,108.0,0
513,1022,139,119,8890,-22120,19670,107.0,0
532,1059,-44,-148,14210,-19180,19040,110.0,0
547,1046,-232,-230,8050,-14420,15120,110.0,0
562,1032,-296,-745,-630,-1400,3220,110.0,0
572,1025,-400,-433,-1750,7630,-3430,109.0,0
587,1064,-232,-87,-2030,15050,-9870,109.0,0
602,1056,-83,-22,-3780,22120,-17920,109.0,0
612,1000,32,257,-2310,22330,-19040,110.0,0
627,1016,49,73,-1610,17360,-15470,109.0,0
642,937,443,446,4620,12600,-10290,109.0,0
652,912,636,434,4130,5670,-2450,108.0,0
667,935,684,616,4620,-10850,19110,110.0,0
682,941,642,562,7840,-19880,31640,110.0,0
692,1024,270,287,9870,-27440,42350,109.0,0
707,1291,420,-660,35630,-29750,48370,107.0,0
722,1117,-582,-527,59640,-24430,42630,107.0,0
732,826,-965,-1151,98350,-20230,34440,109.0,0
747,1092,-96,62,96460,770,24290,109.0,0
762,1027,-240,-269,58100,27790,3430,109.0,0
772,944,-850,34,-21280,37380,-9170,113.0,0
791,1159,-438,-907,16170,36050,-17920,111.0,0
806,806,78,1057,18130,29540,-18900,113.0,0
821,864,464,748,-7420,10430,-16170,113.0,0
831,995,814,638,-11270,840,-5880,113.0,0
846,967,442,536,-9380,-9660,7770,112.0,0
861,963,720,534,11970,-28490,35770,112.0,0
871,1092,725,201,5460,-32760,44730,112.0,0
886,1134,-45,-77,-1400,-31150,53270,112.0,0
901,1062,-325,-507,4060,-23730,48930,112.0,0
911,1021,-497,-748,-280,-12530,41860,114.0,0
926,938,-820,-1053,-25550,19390,20720,111.0,0
941,1047,-650,-388,-35700,36190,7210,113.0,0
956,1224,-591,-112,-26880,52780,-15820,113.0,0
966,1030,-823,328,-25200,54600,-25130,113.0,0
981,1197,496,887,-39480,47670,-45780,113.0,0
996,874,10,400,-99260,34860,-48230,113.0,0
1006,713,0,612,-109690,29890,-49560,116.0,0
1032,880,493,603,-69300,-1540,-17640,116.0,0
1049,814,322,697,-37940,-15190,25970,115.0,0
1064,639,61,760,25340,-43260,43890,113.0,0
1079,1038,254,204,42140,-58380,59290,114.0,0
1094,1481,1167,-177,11130,-44240,54740,114.0,0
1104,1031,-816,-775,-11130,-29050,56350,115.0,0
1119,984,-1279,-919,-7490,5740,38640,112.0,0
1134,1219,-426,-1099,1470,22050,27160,112.0,0
1144,1352,-182,-506,-14140,40950,17290,115.0,0
1159,1112,-88,-539,-56770,62160,-12180,116.0,0
1174,1095,350,301,-99960,72520,-42840,116.0,0
1184,750,-129,488,-126630,69230,-48930,121.0,0
1199,556,-105,786,-151270,58940,-55510,118.0,0
1214,655,55,1044,-147840,30380,-49000,118.0,0
1224,690,307,968,-129920,14700,-33460,120.0,0
1239,579,-115,1220,-105630,-3780,-17220,120.0,0
1254,113,72,1043,-45640,-49840,8470,120.0,0
1264,383,-600,896,-22960,-64050,16240,118.0,0
1279,912,-392,-537,-10500,-69510,19390,116.0,0
1294,1670,-187,-1088,10010,-59640,20510,116.0,0
1308,1621,-50,-1762,13440,-45290,14630,115.0,0
1323,1206,-480,-1078,-5390,770,11550,112.0,0
1338,1268,-442,-891,-17150,36960,-1750,112.0,0
1353,1719,188,-894,-26250,48790,-9170,112.0,0
1363,1286,270,-360,-41580,59570,-15400,117.0,0
1378,941,-306,278,-32060,60410,-11900,117.0,0
1393,600,-152,881,-24710,48440,-9940,117.0,0
1403,420,17,1499,-8400,31430,-2170,119.0,0
1418,272,-289,1115,62160,-11480,19670,121.0,0
1433,472,-291,736,121030,-32970,34160,121.0,0
1443,740,-127,364,169400,-55230,41440,118.0,0
1458,1299,-625,312,115500,-48510,47880,119.0,0
1473,1399,566,-1020,74270,-26320,31150,115.0,0
1488,1465,409,-614,34860,-6370,20300,115.0,0
1498,1397,93,-483,-10920,10640,4760,122.0,0
1513,1272,138,-353,-92050,38010,-26460,118.0,0
1528,1219,-124,-171,-118720,47530,-38220,118.0,0
1538,823,322,284,-131670,52920,-45500,121.0,0
1553,1746,712,571,-124880,41930,-53480,121.0,0
1570,1392,715,210,-82530,27580,-36680,121.0,0
1580,676,258,3,-53340,22610,-33740,133.0,0
1595,-533,297,373,-25690,16100,-31920,131.0,0
1610,-764,150,172,10990,-1610,-34510,131.0,0
1620,-842,220,96,15820,-9310,-39410,128.0,0
1635,-220,301,222,11760,-14770,-48020,121.0,0
1650,1314,-102,380,-61110,-32690,-48790,121.0,0
1660,1515,-227,-369,-228270,-48020,-54320,117.0,0
1675,1042,415,-1419,-169960,-11340,-6230,117.0,0
1690,501,-1716,837,-147280,-14070,-8960,114.0,0
1705,1152,-978,-1440,-61250,-11690,-4550,114.0,0
1715,1847,-737,-1293,-16240,-2240,3710,116.0,0
1730,1311,-799,-757,18970,9450,8610,116.0,0
1745,1351,-131,-653,32690,34300,-1050,116.0,0
1755,1306,108,-566,18270,46410,-10920,118.0,0
1770,1159,-3,-6,-980,55370,-27930,120.0,0
1785,528,266,1103,-20650,47880,-28420,120.0,0
1795,350,343,1579,-14770,32970,-21700,123.0,0
1810,281,519,1702,17360,-12110,6650,124.0,0
1829,129,95,1866,58870,-61040,34720,122.0,0
1844,745,292,508,76720,-75530,47390,122.0,0
1854,1238,275,-189,84070,-85190,55510,117.0,0
1869,1475,97,-883,59710,-75320,55300,114.0,0
1884,1317,-55,-726,35770,-59430,36540,114.0,0
1894,1483,-237,-1038,9520,-40600,22750,115.0,0
1909,1772,17,-1504,-45010,5810,10500,115.0,0
1924,1639,-409,-1443,-65660,52780,-12880,115.0,0
1934,1443,-723,-1191,-82390,70350,-24500,114.0,0
1949,1087,-496,-390,-73430,79450,-33320,118.0,0
1964,941,-259,962,-62090,72800,-35910,118.0,0
1974,647,96,1573,-48510,56490,-28140,121.0,0
1989,134,112,1921,-27440,33110,-15680,124.0,0
2004,65,-165,1839,37030,-21560,17500,124.0,0
2014,242,-373,1427,73640,-46970,33950,123.0,0
2034,1024,-198,0,133560,-79030,56210,118.0,0
2049,1257,-164,-505,139300,-79520,59080,116.0,0
2064,1583,165,-1013,121240,-65030,51240,116.0,0
2078,1633,175,-1039,47880,-18480,26600,117.0,0
2093,1701,478,-1206,-2170,8610,10710,113.0,0
2108,1670,198,-1215,-99610,60620,-22750,116.0,0
2123,1365,-54,-807,-127540,79800,-36400,116.0,0
2133,1303,271,-372,-140000,89600,-43750,118.0,0
2148,1024,155,1405,-136430,78190,-33600,123.0,0
2163,358,17,1682,-121030,55370,-14630,130.0,0
2178,620,98,1049,-34370,-21840,1820,130.0,0
2188,225,-441,1076,57330,-49420,18760,128.0,0
2203,-33,-581,698,301910,-84980,41860,129.0,0
2218,166,-264,324,410900,-94640,52360,129.0,0
2228,92,2,-102,480690,-102200,60830,123.0,0
2243,16,51,-774,510300,-98630,66290,120.0,0
2258,260,-233,-635,495740,-88760,57190,120.0,0
2268,1566,-1538,-205,442610,-79730,36120,116.0,0
2283,707,1011,143,154560,-13860,32900,115.0,0
2298,655,-846,-325,43050,27300,-11970,115.0,0
2308,477,-1945,241,-38780,36190,-39060,113.0,0
2323,1812,245,-995,-108360,41230,-56490,116.0,0
2342,996,163,192,-142660,59430,-61810,117.0,0
2357,641,185,416,-148750,47320,-61810,117.0,0
2367,864,486,680,-158200,38920,-54040,116.0,0
2382,869,447,520,-155820,32550,-43470,119.0,0
2397,751,186,322,-153580,12670,-31710,119.0,0
2407,823,136,225,-154910,6370,-29820,121.0,0
2422,1061,124,208,-152950,4830,-31360,119.0,0
2437,572,217,138,-144900,3430,-30940,119.0,0
2447,458,213,287,-139650,1190,-29960,116.0,0
2462,403,417,505,-114380,-17570,-21420,121.0,0
2477,1266,129,1155,-85610,-28280,-11970,121.0,0
2487,1392,4,135,-84910,-43890,-2380,119.0,0
2502,1172,-417,-176,-50330,-47180,22610,116.0,0
2517,942,-936,-379,20720,-43120,27510,116.0,0
2527,1252,-710,-852,83230,-35980,29820,116.0,0
2542,1642,-293,-939,45640,-15260,31570,117.0,0
2557,1386,-246,-1139,52710,350,17290,117.0,0
2572,146,-436,-257,15750,35000,4830,117.0,0
2582,1457,-186,-330,-6230,44660,-10010,116.0,0
2599,1338,651,-113,-52430,59220,-34300,122.0,0
2614,757,95,631,-62300,60480,-27300,122.0,0
2624,573,264,789,-66080,54530,-20790,121.0,0
2639,300,595,1056,-55580,18620,-14070,122.0,0
2654,251,965,1298,-52640,-33810,17150,122.0,0
2664,793,696,1126,-35560,-61180,29680,122.0,0
2679,472,-11,449,-1470,-84070,36400,122.0,0
2694,272,-172,472,110950,-103600,50190,122.0,0
2704,299,-535,153,175490,-110880,51310,119.0,0
2719,391,-752,-482,236250,-110600,49490,112.0,0
2734,1410,28,-695,280980,-86800,36190,110.0,0
2749,475,485,-1079,225120,-80430,32970,110.0,0
2759,743,-1137,-1108,198940,-25270,21630,117.0,0
2774,1097,-687,-780,161700,-1400,7420,116.0,0
2789,1223,311,-1112,87360,44030,-17430,116.0,0
2799,1007,-480,-719,43120,62300,-29260,116.0,0
2814,866,-713,18,7560,73710,-43680,111.0,0
2829,1412,-64,-494,-37170,68390,-69650,111.0,0
2839,1687,1317,622,-56840,68390,-62930,117.0,0
2858,670,771,1009,-94500,50260,-47880,117.0,0
2873,493,870,1482,-102970,36330,-23100,117.0,0
2888,615,595,1198,-82740,560,-6930,117.0,0
2898,588,329,1156,-66290,-16660,8330,116.0,0
2913,608,513,1043,-53550,-49840,33600,116.0,0
2928,674,-43,642,-34790,-65450,41090,116.0,0
2938,753,-80,312,-28630,-74270,44100,113.0,0
2953,1505,-1164,-813,-11480,-65800,40530,111.0,0
2968,1163,-62,-779,-17150,-48020,35560,111.0,0
2978,942,-1028,-1610,-2520,-32340,28350,112.0,0
2993,912,-580,-949,10990,7770,7630,113.0,0
3008,1193,-308,-1166,7910,25690,-14140,113.0,0
3018,1247,-701,-580,-9310,44870,-25900,111.0,0
3037,1633,-615,-1028,-10220,63630,-50960,114.0,0
3052,920,414,-15,-46620,76930,-51170,119.0,0
3067,789,123,790,-62790,67970,-46900,119.0,0
3077,667,88,727,-64750,58100,-43120,119.0,0
3092,535,470,832,-61180,42980,-34790,121.0,0
3111,1315,633,1096,-41720,8820,-9520,117.0,0
3126,1333,542,1026,-32480,-33810,12950,117.0,0
3136,1042,835,403,-26880,-50820,26180,120.0,0
3151,955,42,171,-20650,-60620,32760,123.0,0
3166,1205,70,-258,4760,-65660,34370,123.0,0
3176,1453,34,-544,30590,-57190,37800,129.0,0
3191,1359,-223,-562,57680,-27160,34930,131.0,0
3206,1156,-13,-622,100380,-10850,31780,131.0,0
3216,980,51,-709,108920,5740,27300,136.0,0
3231,781,116,-542,98490,34580,15470,139.0,0
3246,219,63,-335,87290,45080,9030,143.0,0
3261,-19,120,-123,61530,54390,-5250,143.0,0
3271,-130,141,164,49140,53760,-10430,140.0,0
3286,-96,244,303,35840,47670,-16800,134.0,0
3301,320,351,631,7420,26670,-16240,134.0,0
3311,608,270,937,-4620,10290,-14980,128.0,0
3326,747,386,820,-9800,-28840,-7770,126.0,0
3341,826,299,854,-7630,-46900,-2170,126.0,0
3351,1746,-182,423,-14700,-63140,5880,118.0,0
3368,1284,-508,995,-86660,-62510,33880,117.0,0
3383,1033,-1032,572,-87780,-51380,25340,117.0,0
3393,621,-427,-696,-91000,-46410,17430,114.0,0
3408,1280,-1187,-1613,-60550,-27160,17920,113.0,0
3423,1027,-1000,-1288,27580,6230,9730,113.0,0
3433,1072,-748,-534,5180,24220,-4340,110.0,0
3448,1391,-221,-805,-20370,35280,-17150,116.0,0
3463,1364,99,-249,-70000,50680,-42280,114.0,0
3478,776,-350,304,-87850,52850,-52920,114.0,0
3488,895,-9,465,-104440,51450,-67970,114.0,0
3503,1152,331,11,-131250,49140,-70140,118.0,0
3518,1163,596,581,-139510,38150,-59150,118.0,0
3528,900,-195,-257,-133700,26600,-39900,119.0,0
3543,487,-64,1218,-70700,5810,-24780,119.0,0
3558,209,1039,1428,-71540,-53410,-280,119.0,0
3568,216,1049,893,-65380,-77140,20720,116.0,0
3583,415,114,828,-60200,-98560,33320,118.0,0
3598,280,-277,-171,-13090,-129570,44100,118.0,0
