t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
30097,995,95,108,2800,-7700,1960,105.0
30209,999,83,101,2800,-8680,3080,105.0
30240,1039,85,29,2870,-7490,5880,104.0
30255,1043,60,-14,2450,-6230,6370,104.0
30270,1030,70,13,2100,-4130,7350,105.0
30285,1036,47,0,1890,-3080,7980,103.0
30300,1026,48,-12,1820,-1330,8470,103.0
30310,1039,30,-26,1610,-70,8260,104.0
30325,1050,-6,-32,1470,1260,7700,103.0
30340,1058,1,-22,1330,4130,7000,105.0
30355,1015,-34,15,1610,6020,5600,105.0
30365,1055,109,-12,1890,7000,5880,103.0
30380,1055,71,0,560,8120,5880,107.0
30395,1086,53,-71,-280,10990,5880,107.0
30405,1089,14,-88,280,12810,5810,103.0
30420,1044,55,12,-910,13930,5950,105.0
30435,1060,51,0,1050,15820,7560,105.0
30445,1059,126,51,630,16800,8540,105.0
30460,1043,130,87,-560,17360,10640,107.0
30477,1046,265,193,-5250,17990,12040,107.0
30487,1045,449,234,-14070,18900,12530,107.0
30502,1073,524,93,-47460,22820,11200,110.0
30517,1108,368,29,-64120,26320,11200,110.0
30527,1096,319,0,-77980,30100,11830,107.0
30542,1077,281,33,-97370,35980,12880,112.0
30557,1035,225,93,-102900,37660,17360,115.0
30572,984,238,253,-106540,36680,21210,115.0
30582,961,185,278,-105210,34370,25340,115.0
30597,860,92,426,-101080,26110,30450,116.0
30612,920,19,405,-100170,22050,33390,116.0
30622,930,21,321,-96810,18340,36050,118.0
30637,950,234,104,-90090,13090,42280,119.0
30652,1032,125,132,-87220,12110,51520,119.0
30662,1024,64,164,-81970,9730,55930,118.0
30677,958,28,113,-69510,6160,60550,120.0
30692,990,36,96,-54390,2240,70700,120.0
30702,1015,63,68,-46060,770,76160,121.0
30717,986,-43,71,-37520,-420,81060,120.0
30736,946,-174,97,-21560,-3780,89110,124.0
30751,902,-244,233,-6300,-7910,92960,124.0
30761,831,-339,328,490,-10780,92890,126.0
30776,648,-630,406,6160,-14560,91000,128.0
30791,602,-689,492,15890,-23450,82670,128.0
30801,679,-739,356,20160,-28770,78190,128.0
30816,751,-682,346,23310,-35630,68250,128.0
30831,775,-679,207,30310,-38080,63840,128.0
30841,782,-686,142,33180,-39410,59780,128.0
30856,830,-670,53,35070,-37870,51940,131.0
30871,980,-488,-44,34580,-35560,48370,131.0
30881,1007,-419,-43,33880,-32900,45570,130.0
30896,998,-389,8,32200,-27930,42210,129.0
30911,963,-388,29,30940,-25830,40460,129.0
30921,967,-370,23,29540,-23870,39900,131.0
30936,985,-342,-34,26670,-19320,39970,130.0
30951,1025,-315,-90,25130,-12740,40810,125.0
30966,1110,-229,-183,21560,-8470,41580,125.0
30976,1103,-255,-211,19320,-3710,42210,134.0
30993,1046,-299,-144,11060,7560,42560,133.0
31008,1017,-295,-75,5320,17570,41440,133.0
31018,1006,-276,-20,-910,21420,40670,135.0
