t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
90,1025,-21,-37,1610,-2380,1610,124.0
104,1023,-6,-57,1540,-1680,1120,124.0
118,1023,0,-49,1400,-70,630,106.0
131,1021,7,-23,1190,420,490,108.0
144,1014,10,2,1190,770,490,108.0
154,1019,9,-2,1330,700,560,105.0
167,1019,21,21,1540,910,770,105.0
177,1016,30,11,1610,560,1120,107.0
190,1021,38,2,1540,490,1540,108.0
203,1014,27,26,1470,0,2520,108.0
213,1012,34,34,1750,-490,2940,108.0
226,1018,23,11,1820,-770,3220,108.0
236,1013,8,21,1890,-980,3360,108.0
249,1020,13,-12,1960,-1260,3360,108.0
259,1020,14,-12,1890,-1050,3360,104.0
272,1018,11,-5,1750,-560,3430,107.0
285,1025,7,-39,1540,70,3500,107.0
295,1018,10,0,1400,700,3430,108.0
308,1015,-4,-5,1400,840,3080,108.0
318,1014,-13,5,1540,910,2730,108.0
331,1019,7,-32,1540,980,2590,105.0
344,1023,-6,-27,1470,1470,2520,105.0
354,1023,16,-8,1260,1960,2380,106.0
367,1019,27,2,1400,2240,2800,106.0
377,1015,7,9,1400,2100,2870,107.0
390,1016,43,32,1330,1960,3220,108.0
403,1011,32,64,1610,1400,3780,108.0
413,1008,23,65,1750,490,4130,107.0
426,1011,36,48,2730,-1540,5040,107.0
436,1005,8,41,4130,-2590,5390,107.0
449,1012,13,55,5600,-3640,5530,105.0
462,1010,16,54,5880,-5040,5670,105.0
472,1019,29,33,5180,-5110,5670,105.0
485,1026,30,-16,3780,-4900,5810,105.0
495,1033,78,14,3500,-4550,6020,106.0
508,1031,75,37,1750,-4270,6370,106.0
521,1017,10,-9,840,-4130,7490,106.0
531,1016,-1,-7,1820,-4340,8050,107.0
544,1034,76,21,910,-4340,8750,107.0
554,1029,37,-7,350,-4480,9590,109.0
567,1027,38,-11,840,-4480,11060,106.0
580,1027,34,-24,840,-3990,11760,106.0
590,1029,29,-17,700,-3570,12320,106.0
603,1021,28,17,840,-3430,13020,106.0
613,1015,-2,17,560,-3570,13510,109.0
626,1026,22,-3,140,-3710,14210,105.0
639,1012,-28,0,630,-3920,14420,105.0
649,1009,-44,3,840,-3920,14420,111.0
662,1013,-37,-9,980,-3990,14210,111.0
672,1015,-43,-33,1050,-3850,14000,110.0
685,1021,-46,-57,350,-2310,13440,109.0
698,1009,-49,-33,210,-1540,13300,109.0
708,1006,-62,-14,420,-1260,12950,109.0
721,1012,-83,-34,560,-980,11970,109.0
731,1014,-82,-57,280,-210,11480,110.0
744,1019,-17,-53,420,1610,11340,107.0
757,1019,-62,-46,420,2380,11270,107.0
767,1008,-103,-13,420,3080,10990,111.0
780,1014,-48,10,2030,2940,10640,111.0
