t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
210592,812,96,70,118440,-40740,-18550,135.0
210693,838,64,36,121800,-41790,-11830,135.0
210712,956,176,-70,124110,-37380,-2310,134.0
210727,928,201,80,124600,-36400,1750,131.0
210742,930,155,-23,116970,-32130,8260,133.0
210757,899,220,67,107170,-29540,10430,128.0
210772,959,331,16,78610,-25620,12740,128.0
210782,969,319,1,61320,-23380,14420,126.0
210797,1048,314,15,43190,-20720,16520,121.0
210812,1188,338,5,7980,-15260,17220,121.0
210822,1204,317,-9,-7910,-11830,18060,119.0
210837,1204,298,-12,-36750,-4480,18550,118.0
210852,1154,303,-15,-49210,-630,18550,118.0
210862,1401,409,-288,-58310,2940,18550,114.0
210877,1937,-1550,508,127120,15400,57960,112.0
210892,883,377,419,101920,25480,55230,112.0
210902,1240,275,-1096,90790,14630,52710,112.0
210917,615,325,-129,119140,24290,46410,114.0
210932,668,159,-382,114660,25270,42630,114.0
210942,850,-205,-153,112630,20580,41720,111.0
210957,1254,146,13,113820,25270,42420,111.0
210974,1094,29,-434,82250,20440,39760,108.0
210989,866,141,-288,71260,18970,35280,108.0
211013,1076,-33,-374,35000,15820,32130,109.0
211028,1040,-47,-388,21770,15750,28420,109.0
211043,1039,5,-347,-4480,14700,26670,105.0
211058,1010,-83,-194,-15890,14000,23940,108.0
211073,1034,33,-108,-7070,14000,22050,108.0
211083,1018,46,-127,-2030,13790,20510,104.0
211098,1012,8,-41,-14840,11830,18970,108.0
211113,1034,-75,-103,-18970,10640,18270,108.0
211128,989,-47,-256,-11690,8330,14840,108.0
211138,976,-43,-238,-1260,7840,11970,106.0
211153,984,-82,-232,5390,8400,7630,107.0
211168,954,-72,-266,70,9100,6160,107.0
211178,962,-38,-305,-2310,10080,4550,106.0
211193,966,24,-333,3360,12880,1890,108.0
211208,982,44,-252,5600,14560,1120,108.0
211222,1029,31,-181,3360,16660,280,106.0
211237,1024,50,-447,1470,16730,140,104.0
211252,977,126,-78,3920,18620,490,104.0
211267,957,23,-363,3220,18830,770,104.0
211277,967,40,-26,1820,19880,140,103.0
211292,945,1,-242,2590,18340,280,106.0
211307,991,-18,-153,2940,17500,-1260,106.0
211317,1019,64,-145,2660,18130,-1960,106.0
211332,1049,-19,-92,3220,17990,-2940,106.0
211347,1028,-30,-130,3640,18410,-5600,106.0
211357,1013,-30,-140,3220,17850,-6930,104.0
211372,1043,-11,-142,1190,17570,-8120,105.0
211387,1031,8,-194,-17290,14210,-10150,105.0
211397,1020,85,-142,-29680,12320,-10920,109.0
211412,1021,53,-97,-40040,10640,-11340,105.0
211427,972,206,-76,-49280,8680,-10850,105.0
211437,968,198,-74,-50120,8050,-9520,107.0
211452,977,215,-57,-44940,7840,-5110,107.0
211467,955,316,-37,-41650,7630,-1890,107.0
211484,943,407,-56,-37310,6650,6230,107.0
211494,932,428,-102,-37870,5950,11130,104.0
211509,927,427,-127,-39480,5460,20790,108.0
211524,954,346,-138,-40810,5810,25340,108.0
211534,952,320,-134,-38780,6790,29680,106.0
211549,968,273,-124,-29820,9660,37240,106.0
211564,961,250,-127,-23590,11550,40740,106.0
211574,1035,139,-213,-17220,13300,43680,105.0
211589,1313,-84,-79,-1960,19180,47460,108.0
211604,1038,-38,-271,-5950,20650,41160,108.0
211614,1046,-200,-353,-4410,27790,35910,106.0
211629,1041,-178,-212,-490,30800,30170,103.0
211644,995,-147,-160,-22540,39410,22540,105.0
211659,1004,-30,-84,-39270,42770,20720,105.0
211669,1010,90,-67,-56700,46130,20160,105.0
211684,1208,-176,0,-59640,49280,16730,102.0
211699,1363,194,-1242,-16800,40180,18340,102.0
211709,1157,142,142,-3150,49280,24290,105.0
211724,1036,744,140,-36890,49700,28210,105.0
211743,951,38,96,-85820,56770,27930,108.0
211758,1091,160,-105,-99960,64470,26250,108.0
211768,1254,340,-266,-109760,70420,27370,110.0
211783,1245,604,-201,-128380,75320,29540,112.0
211798,1155,548,180,-154700,80010,37870,112.0
211808,975,325,252,-164990,81200,41440,115.0
211823,885,234,512,-172200,72730,44660,118.0
211838,903,469,430,-178500,60340,54950,118.0
211848,800,361,163,-180740,47600,56210,121.0
211863,1443,335,427,-182350,41510,59920,125.0
211878,1193,-33,171,-172130,23170,60900,125.0
211888,1110,319,338,-157010,16660,60060,130.0
211903,1039,-212,-104,-74130,10570,63840,127.0
211918,1024,-298,35,-12390,10500,63000,127.0
211928,997,-104,37,44940,10850,62930,133.0
211943,962,-5,174,106260,9380,60690,136.0
211958,924,228,132,112140,7140,59010,136.0
211968,894,-87,33,110180,5880,56560,140.0
211983,839,82,52,95410,4130,47040,139.0
212002,838,5,23,78750,3780,40670,143.0
212023,756,0,33,63000,3500,32340,142.0
212038,744,-42,123,46900,420,23240,139.0
212053,773,-102,277,37030,-3710,17640,139.0
212063,800,-113,340,27090,-9590,11340,145.0
212078,809,-175,325,16800,-23590,-770,146.0
212093,781,-204,323,14700,-30520,-7140,146.0
212103,788,-247,264,12670,-37240,-20930,145.0
212118,846,-301,89,9940,-46550,-28770,145.0
212133,858,-229,53,10850,-48790,-41860,145.0
212143,878,-244,-1,13090,-48510,-46760,148.0
212158,918,-235,-136,20650,-47740,-50750,142.0
212173,901,-194,-103,31080,-41720,-58730,142.0
212183,899,-185,-147,35700,-38010,-62230,141.0
212198,882,-160,-141,38850,-34370,-65800,141.0
212213,903,-95,-137,39200,-27510,-72100,135.0
212228,943,-116,-143,37940,-23940,-77700,135.0
212238,939,-161,-30,36260,-20580,-81550,137.0
212255,1018,-104,-97,32550,-17290,-84910,130.0
212270,1075,-77,1,30800,-14980,-88760,130.0
212280,1193,1,56,28700,-14210,-89180,128.0
212295,1304,-21,109,25620,-14770,-89670,125.0
212310,1312,-50,163,13790,-18690,-90230,125.0
212320,1291,62,229,2590,-21420,-92120,129.0
212335,1286,111,272,-11200,-29890,-93450,125.0
212350,1249,63,278,-40810,-34370,-93940,125.0
212365,1232,69,294,-61740,-43890,-94430,125.0
212375,1222,20,293,-67340,-48510,-94850,122.0
212390,1200,84,291,-68950,-52710,-94990,129.0
212405,1200,-12,257,-59850,-59710,-91140,129.0
212415,1176,-42,214,-52920,-63560,-89810,129.0
212430,1137,-13,168,-45640,-66710,-86450,128.0
212445,1098,-144,63,-29610,-70420,-84840,128.0
212455,1097,-16,-16,-16310,-70840,-82810,131.0
212470,1076,-101,-129,16520,-65590,-75320,136.0
212485,991,-45,-123,33530,-61740,-70700,136.0
212495,918,-12,-117,49140,-58100,-66010,137.0
212514,740,6,-100,68250,-52150,-57750,145.0
212529,679,12,24,76370,-47950,-51170,144.0
212544,651,61,-53,79800,-48020,-47810,144.0
212554,661,124,-101,83020,-46200,-43540,141.0
212569,639,98,30,84280,-44030,-31920,147.0
212584,686,267,32,81200,-43890,-22050,147.0
212594,649,258,102,75670,-44660,-17430,143.0
212609,690,306,70,59010,-45360,-13510,141.0
212624,716,309,67,40040,-44730,-3710,141.0
212634,747,305,17,31080,-43120,1190,138.0
212648,723,317,-6,21490,-40810,5740,138.0
212663,739,261,-31,560,-35840,12040,138.0
212673,800,267,4,-8820,-33460,14070,137.0
212688,995,274,-14,-15960,-30940,15820,134.0
212703,1071,302,-22,-25130,-24500,21910,134.0
212713,1147,218,12,-30030,-20790,24360,135.0
212728,1215,236,42,-34650,-17710,25690,122.0
212743,1307,246,13,-44660,-11060,26250,126.0
212758,1355,266,14,-56770,-3780,25970,126.0
212773,1598,477,-246,-62370,700,25690,122.0
212788,1998,-1528,-1583,175210,23310,69440,117.0
212803,741,121,-153,141890,18200,68950,117.0
212818,1190,884,843,154910,35420,60060,117.0
212828,584,379,-583,158760,20160,49840,117.0
212843,482,571,-172,137200,31850,37940,115.0
212858,1470,-371,-998,101080,29820,29820,115.0
212868,1119,-984,-1053,204680,28140,42560,111.0
212883,1261,835,1124,168420,25620,34580,109.0
212898,695,-202,-852,154700,31640,34020,109.0
212908,729,106,-180,144550,29260,28210,110.0
212923,951,86,-271,93310,21280,27020,111.0
212938,1272,185,-556,60410,14840,25620,111.0
212948,976,53,-595,5950,9450,25130,108.0
212963,1019,24,20,-29540,6930,24920,107.0
