t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
44,1019,3,-25,1750,-770,1960,105.0
61,1018,8,-14,1750,-770,2030,104.0
76,1016,5,-9,1680,-840,2170,104.0
91,1015,7,-6,1680,-980,2240,102.0
106,1015,7,-6,1750,-1330,2240,106.0
121,1016,7,-6,1750,-1610,2380,106.0
131,1016,11,-9,1750,-1680,2450,107.0
146,1018,8,-11,1750,-1750,2590,108.0
161,1017,8,-14,1750,-1820,2800,108.0
171,1017,7,-13,1750,-1890,2870,105.0
186,1016,1,-15,1750,-1890,2870,106.0
201,1016,3,-14,1680,-2030,2870,106.0
211,1017,-2,-14,1680,-2100,2800,108.0
226,1016,-2,-13,1750,-2240,2660,104.0
241,1016,0,-11,1750,-2380,2590,104.0
251,1017,-2,-16,1750,-2450,2520,104.0
270,1018,-5,-19,1750,-2590,2310,106.0
285,1017,-4,-19,1820,-2520,2170,106.0
300,1020,-4,-34,1750,-2380,2240,106.0
310,1021,-7,-39,1750,-2170,2170,108.0
325,1019,3,-34,1680,-1680,2100,106.0
340,1021,-10,-43,1680,-1470,2100,106.0
350,1020,3,-28,1680,-1120,1960,108.0
365,1017,-10,-24,1680,-910,1820,106.0
380,1016,-4,-15,1750,-910,1470,106.0
390,1017,-6,-16,1750,-980,1330,107.0
405,1016,-2,-14,1680,-1050,1190,104.0
420,1018,3,-17,1750,-1120,1120,104.0
430,1019,2,-22,1610,-1120,1120,107.0
445,1019,-3,-23,1610,-1050,1050,107.0
460,1018,4,-20,1680,-840,980,104.0
475,1019,0,-20,1680,-770,980,104.0
485,1020,-9,-25,1750,-700,840,106.0
500,1018,5,-19,1820,-560,840,106.0
515,1021,6,-26,1680,-350,840,106.0
532,1020,-18,-12,1750,-280,630,107.0
547,1018,-15,-3,1820,-350,140,105.0
562,1019,-26,-7,1960,-560,-490,105.0
577,1019,4,-25,2240,-560,-560,105.0
587,1022,0,-25,2380,-350,-560,105.0
602,1024,-1,-28,2660,-70,-560,106.0
617,1016,-6,-12,2520,-280,-560,106.0
627,1024,17,-33,3010,-210,-700,106.0
642,1023,23,-21,2100,630,-490,103.0
657,1031,-2,8,1610,420,-630,105.0
672,1027,24,-35,2800,70,-350,105.0
682,1023,37,35,2730,0,70,104.0
697,980,52,29,2030,-1120,630,106.0
712,1022,26,0,2940,-1330,1050,106.0
722,999,63,-6,3010,-1470,1540,107.0
737,1015,61,-61,2170,-980,2730,106.0
752,1020,62,-98,1190,-210,3500,106.0
762,1028,61,-81,210,700,4270,105.0
777,1037,41,-33,-350,2240,5390,105.0
794,983,-99,42,-210,1960,4830,105.0
804,1081,-68,-77,2870,2730,5180,105.0
819,916,192,65,4200,4970,9870,108.0
834,1202,232,11,4550,700,14560,108.0
844,1150,9,78,4550,2310,16590,107.0
859,1158,0,107,2940,1680,13860,104.0
874,1123,59,98,-4690,2380,12390,112.0
889,1088,124,98,-9030,1470,9380,112.0
899,1090,114,79,-14210,1330,7910,111.0
914,1055,154,86,-21210,1050,6370,111.0
929,1030,153,67,-18690,2240,4060,111.0
939,991,144,50,-12460,2870,2800,112.0
954,899,126,22,-3920,4130,1260,113.0
969,925,162,64,14700,7420,-2450,113.0
979,938,176,74,22260,8820,-4830,115.0
994,965,209,101,27230,9870,-10500,113.0
1009,1023,244,142,30030,10360,-13370,113.0
1031,1028,279,104,26460,9870,-19040,115.0
1050,978,259,87,21560,11200,-23940,120.0
1065,979,278,103,18550,12670,-28980,120.0
1080,999,281,110,17150,13090,-32760,117.0
1095,973,305,129,12040,13580,-34160,118.0
1110,957,305,131,8960,12950,-36050,118.0
1120,954,297,146,6720,12180,-36470,119.0
1135,969,244,169,7840,11340,-36820,123.0
1150,968,229,158,18760,8750,-36680,123.0
1160,994,240,144,26250,7910,-36400,125.0
1175,1043,234,151,34440,6860,-36190,125.0
1190,1080,207,164,50820,4130,-34440,127.0
1205,1129,213,148,58520,2590,-32830,127.0
1215,1116,220,146,65380,1190,-31990,128.0
1230,1077,230,129,75460,-1260,-31290,126.0
1245,1014,242,121,78750,-3290,-29890,126.0
1255,934,224,80,77910,-3710,-29680,130.0
1270,871,223,75,75810,-3640,-29820,129.0
1285,835,211,40,69580,-4130,-30590,129.0
1298,764,180,13,66010,-3780,-31430,128.0
1313,792,160,25,60690,-2170,-33320,125.0
1328,874,131,23,59780,-1470,-34230,128.0
1343,923,126,45,60690,-210,-35910,128.0
1353,950,129,35,62020,210,-36470,127.0
1368,931,129,18,63000,700,-37590,128.0
1383,953,142,42,62860,1820,-38360,128.0
1393,957,143,26,61670,2100,-38850,128.0
1408,958,143,40,59640,2800,-39970,129.0
1423,1004,137,62,55930,2590,-40530,129.0
1433,1016,125,61,55160,2450,-40740,134.0
1448,1023,97,76,56630,1820,-41020,133.0
1463,1003,99,74,58520,1260,-41160,133.0
1473,988,86,78,61040,770,-40740,125.0
1488,975,107,25,67130,140,-39270,123.0
1503,932,101,24,69720,630,-36960,123.0
1513,908,82,32,71260,1470,-36260,127.0
1528,891,74,-13,71470,2100,-35630,126.0
1543,881,33,53,70140,3080,-34510,126.0
1558,910,-32,-30,69930,3710,-34580,121.0
1573,1525,780,206,163170,17920,14770,119.0
1588,861,712,367,241150,22960,36610,116.0
1603,-440,1275,-985,173950,28560,27300,116.0
1613,544,791,-346,176820,19250,28770,119.0
1628,882,79,-1,153720,20650,27860,118.0
1643,1214,289,-204,107450,13720,27020,118.0
1653,704,730,-664,74760,7140,26670,115.0
1668,846,372,-276,13090,-2590,27300,115.0
1683,1024,240,-236,-14070,-5180,27440,115.0
1698,934,310,-391,-52290,-8050,26530,115.0
1708,944,302,-348,-64330,-7070,26040,116.0
1723,1006,105,-380,-71050,-5250,25060,115.0
1738,980,187,-438,-73710,2520,22960,115.0
1748,1012,154,-413,-71190,8260,22120,110.0
1763,1006,196,-357,-67620,19110,21420,114.0
1778,970,244,-342,-61670,24290,21420,114.0
1788,986,219,-297,-58870,29120,21560,113.0
1803,995,175,-264,-54670,37030,21770,114.0
1820,962,214,-114,-55510,38920,21140,114.0
1830,1281,357,227,-51170,42210,20090,116.0
1845,1146,-152,558,0,44380,23730,112.0
1860,1036,332,-58,8470,38570,25900,112.0
1870,936,652,29,-5460,33250,26600,112.0
1885,824,439,249,-18970,27720,25410,115.0
1900,903,394,164,-34300,19600,25270,113.0
1915,912,155,194,-36680,16310,25760,113.0
1925,918,124,305,-34510,13580,27020,114.0
1940,898,47,369,-22050,8470,28000,115.0
1955,899,27,380,-13580,3150,30450,115.0
1965,890,29,358,-4900,770,31010,113.0
1980,937,31,288,9590,-1960,31150,113.0
1995,959,55,229,19180,-5740,31500,113.0
2005,976,74,174,21630,-6930,31570,110.0
2020,994,147,71,22400,-7630,31430,110.0
2041,1011,170,14,19180,-8330,29680,113.0
2056,1008,188,-6,10010,-9380,28420,113.0
2071,1009,149,6,1470,-9800,26250,111.0
2086,1022,82,31,-1120,-10080,25410,110.0
2101,1025,42,32,350,-9590,24780,110.0
2116,1025,20,40,3570,-8960,24920,110.0
2126,1030,5,48,7840,-8120,25480,110.0
2141,1021,27,31,15470,-6860,26040,107.0
2156,1036,12,18,17850,-6230,25690,102.0
2171,1006,70,43,19180,-5460,25130,102.0
2181,1045,60,60,16730,-5880,24080,106.0
2196,1090,265,-171,-3640,-8050,19250,104.0
2211,1054,-229,74,-2660,-6370,18760,104.0
2221,1072,-52,-57,3220,-5390,17850,109.0
2236,1082,89,-14,210,-2940,14420,105.0
2251,1052,-166,8,-70,-2450,12390,105.0
2261,1046,-66,-15,2450,-1750,10500,105.0
2276,1007,-72,86,980,-1260,6370,108.0
2291,995,-73,99,1330,-2730,2940,108.0
2301,1002,5,80,2030,-3500,1750,107.0
2316,987,14,104,1470,-4410,1050,105.0
2333,1004,94,-5,1960,-5740,840,105.0
2344,1015,113,24,1750,-5670,1470,105.0
2359,1009,93,41,1330,-5880,2940,106.0
2374,1021,78,11,1190,-5880,3430,108.0
2389,1007,62,46,1400,-6300,3990,108.0
2399,1004,74,56,1470,-6790,4340,107.0
2414,1011,60,58,1330,-7490,4550,104.0
2429,993,78,38,1540,-8610,5110,104.0
2439,1002,73,-23,1190,-8610,5460,103.0
2454,1047,90,-63,1050,-8120,6720,107.0
2469,1021,75,-8,1120,-6090,7350,107.0
2479,1040,44,-58,1120,-5530,7700,105.0
2494,1038,53,-50,1190,-3500,8190,103.0
2509,1043,42,-86,770,-2380,8120,103.0
2519,1067,43,-117,210,-840,8050,105.0
2534,1085,78,-155,-1120,3500,8050,106.0
2549,1084,51,-147,-2520,5810,7910,106.0
2559,1080,13,-127,-3500,7980,6510,105.0
2574,1061,-105,-125,-2240,11550,6020,102.0
2593,1057,6,-69,-70,14630,4270,105.0
2608,1021,-26,-35,-420,16870,2730,105.0
2618,999,-1,44,840,16590,2870,107.0
2633,978,161,203,350,15400,3850,108.0
2648,942,153,312,-2730,9450,6090,108.0
2658,902,188,404,-3990,5180,7980,108.0
2673,968,277,275,-3920,770,11200,110.0
2688,1021,356,202,-5740,-4830,18830,110.0
2698,1048,601,300,-11690,-6300,22820,107.0
2713,965,600,304,-24780,-6930,29750,110.0
2728,1078,382,79,-44730,-8470,32900,108.0
2743,1156,378,-58,-48650,-8260,42210,108.0
2753,1090,195,-93,-41230,-8050,47530,113.0
2768,1049,22,-105,-32830,-8050,52080,112.0
2783,1092,80,-177,-14070,-7910,60690,112.0
2793,1071,19,-133,-7280,-6510,64190,110.0
2808,1071,110,-147,-2450,-4900,67410,113.0
2823,1127,204,-257,-1820,910,72800,113.0
2833,1154,190,-272,-5250,5460,74760,111.0
2852,1145,-29,-147,-14770,14210,76090,113.0
2867,940,-210,-16,-19530,17150,72240,117.0
2882,834,-307,262,-26810,17710,68740,117.0
2892,796,-374,296,-29820,15050,64610,119.0
2907,758,-457,315,-36610,9100,54950,120.0
2922,765,-491,260,-38360,5460,50400,120.0
2932,794,-489,203,-38710,2450,46410,117.0
2947,869,-463,12,-35980,-1750,39830,120.0
2962,971,-340,-7,-32830,-2870,37660,120.0
2972,945,-394,3,-28280,-3920,35210,120.0
2987,914,-454,-9,-17780,-6160,34230,123.0
3002,963,-385,-58,-12740,-6650,32900,123.0
3012,1028,-306,-119,-8050,-5740,33110,122.0
3027,1119,-165,-186,-350,-4060,33880,123.0
3046,1061,-185,-112,3920,70,35770,124.0
3061,1004,-206,-52,420,3990,36820,124.0
3071,967,-196,20,-4130,5950,36680,125.0
3086,1004,-134,28,-10920,8050,36610,124.0
3103,1013,82,63,-27930,11130,35840,125.0
3118,958,-102,199,-52920,12320,34790,125.0
3128,1287,-98,352,-61950,11550,32340,123.0
3143,1216,196,273,-60270,13720,26950,130.0
3158,1108,157,-87,-45010,12810,23240,130.0
3168,1020,-126,-50,-33950,15680,18480,129.0
3183,1128,38,0,-22680,19110,14350,130.0
3198,1142,-14,57,-210,22610,6090,130.0
3208,1225,-34,127,7140,23240,140,133.0
3223,1218,22,169,12180,20720,-12110,133.0
3238,1039,39,173,16660,19250,-17850,133.0
3248,935,82,92,17080,17430,-23380,133.0
3263,897,70,84,13720,16310,-33740,136.0
3278,937,69,166,10990,14700,-38920,136.0
3288,1011,21,219,7840,12530,-44170,135.0
3303,1104,34,218,4970,6230,-55370,133.0
3318,1124,43,221,6090,3290,-63420,133.0
3328,1060,39,160,9030,420,-66500,131.0
3343,952,88,136,16590,-2940,-68880,131.0
3362,920,91,150,23240,-6160,-71820,130.0
3377,912,104,166,25480,-10360,-74340,130.0
3387,913,114,171,29890,-12810,-75040,127.0
3402,974,73,156,33040,-14980,-76090,131.0
3417,1000,110,180,45430,-19530,-75950,133.0
3432,1029,23,88,53760,-20160,-75950,133.0
3442,1010,54,54,62440,-20790,-76020,134.0
3457,975,52,55,77490,-20930,-75040,131.0
3472,888,63,36,82810,-21420,-74340,131.0
3482,854,62,21,86800,-21490,-73920,129.0
3497,809,67,-35,91490,-20790,-73290,127.0
3512,815,43,-60,93800,-17850,-72590,127.0
3522,852,40,-70,94570,-15890,-72520,127.0
3537,970,50,-73,95270,-14140,-72380,124.0
3552,1021,3,3,96320,-11340,-71750,124.0
3562,1110,-10,73,96740,-10990,-71890,122.0
3577,1216,-2,75,96880,-12110,-71750,122.0
3592,1274,36,92,96110,-14630,-71400,122.0
3602,1255,-8,105,95200,-16100,-70560,120.0
3621,1150,-7,100,92960,-19600,-68600,120.0
3636,1089,8,61,92190,-22190,-65380,122.0
3651,979,6,-5,90790,-22400,-63210,122.0
3661,919,-12,1,90230,-21840,-60970,126.0
3676,877,-12,9,88970,-20860,-56140,137.0
3691,826,-16,-7,86940,-19390,-53060,137.0
3701,844,10,-8,83930,-18550,-50610,137.0
3716,855,6,35,73290,-16590,-45500,128.0
3731,958,44,42,66920,-16240,-40320,128.0
3741,1008,63,74,59570,-15820,-37520,125.0
3756,1093,72,108,42350,-16870,-35070,120.0
3771,1063,79,120,31150,-18130,-30240,124.0
3786,1005,99,162,4620,-19670,-27930,124.0
3796,955,84,138,-8400,-21140,-25340,125.0
3811,905,79,34,-27370,-21910,-19600,126.0
3826,850,-50,49,-31920,-20720,-17220,126.0
3836,858,-27,10,-33810,-19600,-15540,117.0
3851,950,-71,75,-30170,-16870,-11200,118.0
3866,1154,-83,46,-24220,-15960,-5670,118.0
3879,1375,-391,338,-4830,-13510,-980,121.0
3894,1678,-1244,859,-3010,1960,24220,119.0
3909,906,-871,-118,43400,7210,45990,115.0
3924,988,132,423,61180,13440,57470,115.0
3934,920,163,281,48370,10220,50610,117.0
3949,715,297,-368,27720,10500,48720,117.0
3964,871,82,-167,38920,10220,39690,117.0
3974,1031,-103,-148,43540,13790,39480,114.0
3989,1170,-306,118,47530,16520,38220,114.0
4004,1063,-27,-226,54460,18130,28630,114.0
4014,965,160,-243,55300,20370,26390,114.0
4029,994,97,-124,54670,21700,21700,112.0
4048,1035,-30,-23,50330,21560,16730,112.0
4063,1013,100,-115,39130,19250,14980,112.0
4073,1054,129,-62,31080,17150,13720,110.0
4088,1011,129,1,21420,11130,12600,113.0
4103,989,163,-38,-350,7000,11760,113.0
4113,974,188,-29,-9870,4060,11270,110.0
4128,974,214,0,-27160,-2310,11340,111.0
4157,903,214,0,-31990,-9240,11340,113.0
4172,908,206,51,-28560,-10570,10500,112.0
4187,1160,92,172,-24010,-12460,16660,111.0
4202,907,133,79,-18620,-14490,17360,111.0
4212,872,393,72,-13300,-17220,17150,110.0
4227,1048,23,58,-980,-16240,16660,109.0
4242,1097,78,20,17360,-14770,17220,109.0
4252,1039,116,-106,26040,-11970,17710,112.0
4267,974,206,-190,32830,-8680,18200,108.0
4282,1012,124,-207,35700,-4830,18830,108.0
4292,1038,85,-183,33530,-3500,19040,110.0
4307,1009,84,-185,28980,-3080,18690,105.0
4322,1021,130,-159,19320,-2520,17640,105.0
4332,1021,-14,-105,14560,-2240,17150,107.0
4347,1023,97,-64,11550,-3360,15890,106.0
4362,1001,96,-189,7910,-2450,15470,108.0
4377,1008,97,-127,8680,-210,14840,108.0
4387,1011,73,-173,9800,1120,14700,110.0
4404,1008,76,-142,10290,2240,14070,110.0
4419,1023,88,-147,9730,4060,13930,110.0
4429,1009,74,-145,7700,4760,13930,108.0
4444,1006,93,-181,2450,5880,14000,106.0
4459,1017,109,-154,-770,6300,14560,106.0
4469,982,162,-185,-2940,7140,15260,107.0
4484,984,151,-132,-3640,9240,16520,107.0
4499,1005,120,-108,-2310,10430,17290,107.0
4509,993,133,-107,-910,11340,18900,107.0
4524,1007,113,-113,2730,13300,19600,105.0
4539,1003,115,-139,4130,15820,21420,105.0
4549,1000,125,-178,4830,17640,22400,106.0
4564,994,126,-239,4900,19950,23450,107.0
4579,1021,67,-172,3500,24430,25130,104.0
4594,1034,30,-203,1890,26250,25410,104.0
4604,1065,-112,-119,-700,27650,25480,107.0
4619,1039,-239,176,-910,30170,24220,103.0
4634,1098,-183,384,2240,30100,18340,103.0
4644,1065,-104,-92,1750,25830,17150,108.0
4663,1233,408,157,-280,23310,19040,103.0
