t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
210739,895,259,-231,59010,6510,46900,108.0
210864,1101,-134,-115,54600,6720,45710,108.0
210879,1047,-10,-96,54880,8400,41300,103.0
210894,1024,-44,-109,50330,7560,38920,101.0
210909,1052,-76,-77,35770,4200,33180,101.0
210923,1038,-84,-45,26810,2030,29890,99.0
210938,1042,-115,-23,11340,-3640,23240,101.0
210953,1036,-72,-8,6580,-5880,19950,100.0
210968,1035,-82,-19,2660,-9730,13650,100.0
210978,1029,-51,-50,2870,-11200,10710,99.0
210993,1020,-24,-46,3570,-12180,6300,101.0
211008,1021,-2,-82,3920,-13720,4620,98.0
211023,1016,20,-75,3570,-15190,2310,98.0
211033,1010,46,-85,2450,-15960,1610,99.0
211048,986,104,-64,2590,-16870,1190,99.0
211063,985,114,-103,6930,-18200,1330,99.0
211073,987,115,-162,11970,-17640,1680,98.0
211088,989,97,-161,19180,-15960,1890,101.0
211103,986,122,-228,34790,-11900,2730,101.0
211113,984,132,-240,41510,-9450,3430,99.0
211128,992,122,-239,46270,-5320,4970,98.0
211143,997,122,-253,48440,-3850,5810,98.0
211153,1002,127,-264,45920,-2730,6650,100.0
211168,1004,117,-270,37380,-770,8120,100.0
211187,996,99,-302,29540,2030,8890,98.0
211202,1006,94,-272,25270,3150,9240,98.0
211212,1000,81,-288,20580,4200,9450,99.0
211227,1009,78,-284,9310,5670,9590,99.0
211242,998,62,-254,280,6090,9380,99.0
211252,997,81,-173,-4830,6650,9170,100.0
211279,995,49,-181,630,8470,8330,99.0
211294,1005,45,-100,1330,8540,7770,97.0
211309,1000,62,-153,1540,8260,7630,99.0
211324,999,55,-93,1330,7980,7630,99.0
211339,1001,58,-96,1260,6790,7980,99.0
211349,1005,60,-84,1330,6020,8120,96.0
211364,1000,44,-39,1540,4970,8120,99.0
211379,1008,35,-47,1750,2590,8050,99.0
211389,1003,52,-94,1680,2030,7980,98.0
211404,1007,20,-122,1750,1820,7700,96.0
211419,1009,5,-115,1890,1750,6370,96.0
211432,1008,2,-123,1960,1750,5530,94.0
211447,1008,14,-97,2310,1680,4200,100.0
211462,1006,26,-113,2380,1610,3780,101.0
211477,1003,57,-114,2450,1330,3500,101.0
211487,1004,77,-111,2380,1260,3920,100.0
211502,1006,66,-179,2100,1260,5040,97.0
211517,1010,52,-156,1820,3150,5460,97.0
211527,1010,41,-175,1820,4060,5670,96.0
211542,1006,48,-181,2100,6090,5670,97.0
211557,1012,44,-146,2170,6930,5600,97.0
211567,1007,62,-185,2030,7700,5740,98.0
211582,1008,64,-196,1890,10220,6510,97.0
211597,1012,63,-214,1820,11760,6930,97.0
211607,1012,66,-216,1820,13580,7910,96.0
211622,1010,72,-233,1960,17570,8540,96.0
211637,1014,67,-215,1960,21700,9800,96.0
211647,1013,66,-203,1960,23590,10500,98.0
211662,1016,82,-191,1960,25480,11340,100.0
211677,1019,94,-215,3570,29260,13440,100.0
211690,1017,100,-200,3850,31360,14560,95.0
211705,1024,108,-183,1820,35140,17290,97.0
211720,1029,89,58,-1820,37310,18830,94.0
211735,1086,286,76,-16240,38010,22050,94.0
211745,1029,66,183,-29680,38150,23660,97.0
211760,1163,14,221,-40460,36750,25270,99.0
211775,1079,286,-700,-5600,27090,27300,99.0
211785,1209,58,176,3990,32270,31710,99.0
211800,1192,246,250,-1190,32060,34300,102.0
211815,1151,527,141,-43610,36120,34440,102.0
211825,1148,175,-54,-62790,40320,35210,100.0
211840,1062,53,-43,-82040,48930,35070,100.0
211855,1093,179,-137,-86730,52150,34580,100.0
211865,1087,181,-114,-89880,54110,34160,103.0
211880,1045,259,155,-99820,55930,33460,103.0
211895,943,206,102,-108850,55020,37100,103.0
211905,915,390,256,-117110,53760,36960,108.0
211920,501,110,328,-123130,46760,34370,109.0
211935,857,138,76,-126630,33180,30310,109.0
211950,1086,139,298,-127120,27860,28910,110.0
211965,1087,85,-64,-110180,21840,27300,111.0
211980,1140,125,23,-94570,15120,26880,113.0
211995,1101,-88,116,-39200,14910,28350,114.0
212010,1019,51,-12,-9450,14210,27090,114.0
212020,969,42,89,15260,15260,26670,115.0
212035,908,260,127,41370,14490,26390,117.0
212050,906,158,105,44730,12880,25130,117.0
212060,911,71,-32,45360,14350,22330,119.0
212075,994,58,209,37170,12530,19530,123.0
212090,1043,83,161,23800,7280,12320,123.0
212100,1067,64,245,15960,3430,8050,127.0
212115,1088,-8,274,9170,-1400,3570,122.0
212130,1049,-99,214,4060,-10710,-5530,122.0
212140,1003,-140,159,6510,-14350,-10220,119.0
212155,932,-135,111,10990,-17010,-19390,122.0
212170,915,-111,51,21490,-19320,-23240,122.0
212180,922,-121,33,26530,-19600,-26810,119.0
212195,932,-107,30,32130,-19110,-34370,121.0
212214,930,-55,30,31640,-18410,-40880,120.0
212229,877,-73,-35,30100,-17920,-43680,123.0
212244,827,-17,-28,22400,-14700,-49980,123.0
212254,791,-7,-29,17850,-13300,-52290,121.0
212275,723,25,-21,9940,-10010,-55650,119.0
212290,739,12,-39,6090,-6440,-58800,121.0
212305,811,3,9,-910,-5040,-60550,121.0
212315,867,10,26,-3920,-3850,-62090,118.0
212330,926,21,81,-8470,-3290,-64400,113.0
212345,1081,45,113,-9870,-3640,-65030,113.0
212360,1120,50,109,-11830,-4970,-65660,113.0
212370,1150,57,136,-13160,-5390,-66080,113.0
212385,1169,59,128,-15190,-6160,-67200,113.0
212400,1142,93,185,-22050,-7630,-67690,113.0
212410,1142,95,193,-26110,-9310,-68040,111.0
212425,1127,98,204,-30450,-13230,-68950,111.0
212440,1132,99,227,-39550,-15400,-69370,111.0
212450,1142,83,236,-43540,-17780,-69860,108.0
212469,1159,97,234,-48370,-22540,-70770,111.0
212484,1160,98,259,-51170,-27790,-70910,108.0
212499,1119,48,270,-51100,-30940,-71540,108.0
212509,1092,45,231,-49070,-34160,-72030,113.0
212524,1064,78,142,-39690,-38570,-70910,115.0
212539,1038,28,93,-30170,-39060,-67270,115.0
