t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
30084,1028,-14,57,10080,-5110,3920,111.0
30202,1033,-2,14,12320,-5600,2660,111.0
30231,1020,83,-89,11830,-3360,3220,111.0
30244,1002,139,-58,7490,-3010,3920,111.0
30257,994,129,-38,3570,-3150,4550,111.0
30271,999,114,-1,-3010,-4060,5810,111.0
30281,1004,105,73,-4130,-4900,6650,110.0
30294,982,140,50,-3710,-5810,7560,111.0
30307,1001,127,42,-1540,-6090,9870,111.0
30317,1027,54,35,2310,-5530,10920,113.0
30330,1021,102,-7,12600,-4620,11620,113.0
30340,1003,69,-54,16590,-3570,12320,111.0
30353,1023,36,-62,20090,-2310,12880,112.0
30366,1020,50,-60,23660,70,13440,112.0
30376,1026,41,-88,23450,1330,13440,111.0
30389,1040,30,-227,22680,3640,13160,111.0
30399,1030,60,-251,20020,6370,13020,109.0
30412,1041,23,-262,14980,8960,12880,109.0
30425,1039,30,-229,910,13160,12740,109.0
30435,1023,66,-190,-6440,14910,12320,108.0
30448,1264,-240,166,-12180,16730,11620,108.0
30458,998,-347,367,-3780,18270,10080,107.0
30471,1043,220,-102,3640,15400,6300,107.0
30484,947,-184,290,280,10780,4620,107.0
30494,947,146,195,3220,6300,3010,108.0
30507,975,-70,241,980,3150,2240,108.0
30517,984,5,141,2310,-280,1470,108.0
30530,982,107,115,1750,-4270,1610,108.0
30543,1008,121,54,2800,-5530,2240,108.0
30553,1002,103,69,2310,-6020,3430,106.0
30566,1008,74,53,2240,-6580,5950,106.0
30576,1004,128,48,2590,-7070,7490,107.0
30589,996,80,54,2800,-8330,8680,111.0
30602,1009,68,31,3290,-9030,9660,111.0
30612,1071,21,36,4620,-9730,10430,109.0
30625,1025,-99,5,3850,-9940,10710,109.0
30635,1040,69,-31,3150,-9170,10570,108.0
30648,1024,-38,-54,3290,-8610,9730,108.0
30661,1019,-4,-53,3220,-7770,8890,108.0
30671,1024,-53,-66,3080,-6930,8050,106.0
30684,1028,-21,-63,2590,-4760,6580,106.0
30694,1029,-28,-83,2380,-3500,6020,110.0
30707,1033,2,-102,2100,-2030,5670,109.0
30720,1033,0,-103,1960,1330,5530,109.0
30730,1034,12,-101,1890,3010,5600,108.0
30743,1036,32,-90,2100,4760,5810,108.0
30753,1038,39,-91,2240,6370,6370,105.0
30766,1039,49,-65,2310,7840,7000,108.0
30779,1046,104,-43,350,10150,8540,108.0
30789,1119,177,11,-140,10850,9940,108.0
30802,1017,123,-48,-420,12180,11480,108.0
30812,1081,392,181,-7980,13160,11200,109.0
30825,1320,536,172,-29120,16240,10710,108.0
30838,1229,702,-37,-71050,25550,11480,108.0
30848,1108,185,-7,-77350,26950,11970,113.0
30861,954,-12,101,-78890,28000,12110,113.0
30871,1111,-2,-168,-77280,28420,13440,111.0
30884,1188,165,-324,-76440,33670,14910,116.0
30897,1178,47,-49,-77350,36400,15820,116.0
30907,1055,29,112,-82950,39060,15190,113.0
30920,1008,65,90,-91420,40740,14210,113.0
30930,1042,166,121,-100730,42490,13300,117.0
30943,1036,99,84,-117950,42840,10780,118.0
30956,960,68,178,-126560,42490,9730,118.0
30966,914,9,273,-134750,42910,8400,124.0
30979,940,53,244,-141750,39900,5740,124.0
30989,925,68,305,-147350,38080,4480,121.0
31002,930,-178,248,-155750,31500,1050,125.0
31015,1077,9,396,-142870,28910,-4270,125.0
31025,993,-218,184,-111650,23450,-5670,127.0
31038,956,-246,291,-36120,17990,-13160,127.0
31048,1015,-300,184,3430,15890,-16240,131.0
31061,1001,-186,333,37170,13440,-18550,130.0
31074,1032,-67,184,65240,9030,-21420,130.0
31084,1037,16,274,85680,6580,-23520,134.0
31097,933,38,1,106820,-560,-25620,134.0
31107,805,119,333,109620,-2940,-26250,134.0
31120,1133,97,238,110670,-7630,-28560,135.0
31133,979,186,38,110740,-10010,-28700,135.0
31143,951,105,68,110040,-10850,-29260,134.0
