t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
71,1017,22,3,1540,-1120,1680,109.0,0
87,1018,28,-5,1540,-1050,1610,109.0,0
102,1018,26,-1,1470,-980,1750,109.0,0
117,1018,35,-4,1540,-910,1820,108.0,0
132,1017,23,7,1470,-980,1820,109.0,0
147,1016,21,6,1540,-1050,1820,109.0,0
157,1017,30,10,1610,-1190,1750,108.0,0
172,1018,41,3,1610,-1470,2240,109.0,0
187,1018,34,3,1680,-1470,2730,109.0,0
197,1016,35,6,1680,-1680,2940,108.0,0
212,1018,25,-3,1680,-1680,2940,109.0,0
227,1019,24,3,1680,-1750,2870,109.0,0
237,1016,18,-1,1750,-1750,2660,107.0,0
252,1017,25,1,1750,-1750,2590,106.0,0
271,1019,24,-3,1680,-1680,2520,108.0,0
286,1018,21,-9,1610,-1610,2450,108.0,0
296,1017,16,-12,1610,-1540,2170,110.0,0
311,1018,22,-2,1610,-1400,2030,105.0,0
326,1019,24,-8,1610,-1260,1960,105.0,0
336,1019,27,-2,1680,-1190,1960,108.0,0
351,1019,27,-8,1610,-980,2100,107.0,0
366,1017,28,-6,1540,-910,2170,107.0,0
376,1019,31,-7,1540,-770,2240,107.0,0
391,1018,28,3,1610,-770,2450,106.0,0
406,1016,37,8,1540,-840,2520,106.0,0
416,1017,35,13,1610,-1050,2730,106.0,0
431,1015,36,16,1750,-1610,3150,110.0,0
446,1018,41,15,1820,-1890,3570,110.0,0
456,1020,41,11,1820,-2170,3850,106.0,0
471,1020,22,6,1960,-2520,3990,108.0,0
486,1025,31,-4,1890,-2590,3920,108.0,0
501,1017,19,-8,1610,-2520,3920,108.0,0
511,1018,14,-16,1540,-2450,3920,107.0,0
530,1018,5,-20,1890,-2100,3780,108.0,0
545,1019,11,-20,1610,-1470,3430,105.0,0
560,1020,11,-31,1820,-1120,3290,105.0,0
570,1020,20,-25,2030,-700,3220,109.0,0
585,1019,12,-10,2100,-70,3150,107.0,0
600,1018,17,-5,2240,0,3080,107.0,0
610,1019,25,2,2170,-70,3080,110.0,0
625,1019,25,10,1960,-210,3220,111.0,0
640,1019,26,14,1680,-630,3360,111.0,0
