t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
84,1015,34,17,1610,-2730,2450,111.0,0
100,1016,30,9,1610,-3080,2310,111.0,0
115,1020,29,4,1680,-3290,2240,110.0,0
130,1018,44,4,1820,-3290,2310,111.0,0
145,1020,45,-4,1820,-3150,2590,110.0,0
160,1020,36,-8,1820,-3010,2590,110.0,0
170,1019,32,-12,1750,-2800,2590,109.0,0
185,1020,27,-11,1680,-2310,2310,109.0,0
200,1018,29,-6,1680,-2030,2100,109.0,0
210,1017,38,5,1680,-1890,2030,109.0,0
225,1018,37,5,1680,-1890,2170,110.0,0
240,1016,31,12,1680,-2100,2170,110.0,0
250,1015,31,13,1680,-2170,2100,112.0,0
269,1016,28,16,1750,-2520,1820,109.0,0
284,1018,28,3,1960,-2450,1750,112.0,0
299,1018,28,9,1820,-2520,1400,112.0,0
309,1019,33,-1,1820,-2450,1330,113.0,0
324,1017,37,2,1890,-2380,1400,109.0,0
339,1018,40,-8,1890,-2240,1400,109.0,0
349,1019,36,3,1890,-2170,1400,111.0,0
364,1018,36,2,1890,-2170,1470,110.0,0
379,1018,34,5,1890,-2170,1470,110.0,0
389,1018,36,1,1960,-2240,1400,111.0,0
404,1018,39,-5,1960,-2170,1470,111.0,0
419,1019,45,-8,1960,-2030,1610,111.0,0
429,1020,48,-9,1820,-1820,1750,110.0,0
444,1019,43,-7,1680,-1540,2100,109.0,0
459,1018,39,-5,1680,-1400,2170,109.0,0
474,1017,32,0,1540,-1260,2170,109.0,0
484,1017,37,3,1540,-1330,2170,110.0,0
499,1017,34,6,1540,-1400,2100,111.0,0
514,1017,39,3,1610,-1610,2170,111.0,0
527,1017,40,2,1680,-1610,2310,110.0,0
542,1016,40,3,1750,-1750,2450,111.0,0
557,1016,36,-2,1750,-1750,2520,111.0,0
567,1017,35,-4,1750,-1680,2520,108.0,0
582,1017,31,-3,1750,-1680,2450,110.0,0
