t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
30091,1012,-105,135,-2240,-12320,910,110.0,0
30201,1024,297,-373,6020,-11830,1260,110.0,0
30231,1025,200,-197,-4970,-4270,4690,110.0,0
30246,1004,189,-62,-14420,910,7980,110.0,0
30261,1016,47,-120,-14000,1960,7770,113.0,0
30276,1010,-14,-74,-17080,5460,7980,111.0,0
30291,1025,59,-46,-16520,6510,7560,111.0,0
30301,1047,-47,9,-16590,7350,5950,112.0,0
30316,1007,66,-170,2800,6720,4410,111.0,0
30331,1014,-64,57,6230,6300,2870,112.0,0
30346,1001,-3,40,-630,5460,2450,112.0,0
30357,1016,54,-24,1470,4130,1680,110.0,0
30372,1010,63,86,1540,2380,980,111.0,0
30387,1014,51,20,1400,1400,980,111.0,0
30397,1009,22,53,1470,840,1050,108.0,0
30412,1016,57,27,1470,-280,1190,112.0,0
30427,1013,47,43,1610,-1120,1610,112.0,0
30437,1013,69,32,1540,-1610,1960,111.0,0
30452,1015,54,31,1610,-1890,2450,113.0,0
30467,1017,62,15,1750,-2520,3010,113.0,0
30477,1018,55,15,1750,-2660,3220,109.0,0
30492,1018,45,17,1820,-2730,3290,111.0,0
30507,1019,30,14,1820,-2940,3220,111.0,0
30517,1019,30,12,1750,-3010,3010,112.0,0
30532,1017,36,9,1680,-3080,2590,113.0,0
30547,1019,34,4,1470,-3080,2310,113.0,0
30557,1018,36,7,1260,-2940,2170,110.0,0
30572,1019,31,-2,770,-2590,1890,111.0,0
30587,1017,32,-21,980,-2310,1610,113.0,0
30602,1019,43,-5,1400,-1820,1470,113.0,0
30617,1019,44,-8,1400,-1610,1470,112.0,0
30632,1018,40,-3,1470,-1190,1400,111.0,0
30647,1018,40,1,1540,-980,1400,111.0,0
30662,1017,38,3,1470,-910,1330,111.0,0
30672,1019,46,3,1470,-840,1330,112.0,0
30687,1019,45,-5,1470,-560,1330,110.0,0
30702,1020,54,3,1470,-420,1470,110.0,0
30712,1019,54,0,1400,-420,1610,108.0,0
30727,1022,61,-9,1470,-70,2100,109.0,0
30742,1024,62,-8,1470,210,2520,109.0,0
30752,1021,66,-17,1260,560,3010,111.0,0
30767,1062,162,-75,1610,-420,3640,110.0,0
30782,1064,158,17,-4060,3220,5530,110.0,0
30792,1027,135,89,-12040,3010,6300,110.0,0
30807,1260,232,70,-16380,3360,7490,110.0,0
30822,1067,277,-67,-26530,6160,11970,110.0,0
30832,1265,-173,208,-27440,7350,9660,112.0,0
30847,1120,106,87,-28210,6300,9940,116.0,0
30862,1125,128,110,-31360,6720,11480,116.0,0
30875,1168,49,151,-32410,7000,11830,115.0,0
30890,1153,100,145,-31220,6300,11410,116.0,0
30905,1124,86,139,-30100,5530,11200,119.0,0
30920,1119,88,147,-26530,5040,10640,119.0,0
30930,1059,90,112,-24010,4690,10220,121.0,0
30945,1038,78,106,-21140,5110,9590,122.0,0
30960,992,71,113,-14840,5390,8890,122.0,0
30970,970,58,108,-11550,5670,8120,128.0,0
30985,954,60,112,-5320,5810,6160,131.0,0
31000,916,65,111,-3010,5740,5110,131.0,0
31010,890,53,107,-1400,5670,4130,135.0,0
31025,873,54,103,-210,5320,1470,137.0,0
31040,868,38,94,490,5110,-1050,133.0,0
31055,821,24,73,3500,4970,-2450,133.0,0
31065,822,20,65,5180,4970,-3850,138.0,0
31080,821,7,69,6720,5040,-6580,140.0,0
31095,799,12,63,8610,4830,-8050,140.0,0
31105,803,5,66,9100,4550,-9170,139.0,0
31120,802,3,62,11060,3500,-11060,139.0,0
31141,742,-14,42,14140,2590,-12460,133.0,0
31156,718,-32,38,15540,1960,-14280,133.0,0
31166,691,-9,31,16940,1680,-14980,136.0,0
31181,619,0,39,18760,1190,-15330,130.0,0
31196,588,-6,23,19320,350,-15890,130.0,0
