t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
30105,552,-888,669,-177520,-62300,-60410,166.0,0
30227,564,-1428,348,-116690,-94640,-74200,166.0,0
30267,519,-1184,-397,2870,-122780,-109690,150.0,0
30282,592,-1275,-663,73850,-130410,-121730,150.0,0
30297,602,-996,-896,113260,-132510,-121870,140.0,0
30312,832,-670,-1399,187670,-132090,-112910,133.0,0
30327,1254,77,-1647,227500,-130200,-104440,133.0,0
30337,1351,265,-1734,269080,-125930,-92750,125.0,0
30352,1600,1656,-720,352450,-113540,-65310,119.0,0
30367,1378,1997,1060,357210,-95480,-54460,116.0,0
30382,1070,242,-1640,368200,-82390,-38500,116.0,0
30392,971,641,-1584,388430,-73010,-14980,120.0,0
30407,1478,1664,-1112,388430,-34160,23450,121.0,0
30422,1128,833,-720,363720,-15050,38150,121.0,0
30432,1072,441,-1115,347620,1960,47600,127.0,0
30447,1044,840,-430,293230,51660,64470,125.0,0
30462,1567,243,754,221340,61460,47250,125.0,0
30472,1758,785,-1006,80850,62790,57750,128.0,0
30487,981,499,-368,-70770,92330,52780,131.0,0
30502,1355,869,-841,-163800,118300,41160,131.0,0
30512,950,372,-34,-276010,121030,41580,136.0,0
30527,1709,-18,-283,-299460,134470,39340,142.0,0
30542,1620,476,54,-370090,135450,31010,142.0,0
30560,1589,12,196,-427840,129010,19460,167.0,0
30575,1184,-158,292,-446810,122710,14840,167.0,0
30590,860,-406,-25,-466060,102690,-5390,176.0,0
30605,892,-300,185,-469140,92750,-15750,184.0,0
30620,1103,-851,-101,-399350,81410,-31080,184.0,0
30630,846,-1738,-350,-279860,84210,-21420,196.0,0
30645,400,-1659,985,-123480,92050,-29820,204.0,0
30660,381,-1046,293,174860,95550,-37380,204.0,0
30670,301,-270,430,229810,88690,-51800,207.0,0
30685,261,-154,383,228690,68320,-73640,210.0,0
30700,769,121,1915,56280,58870,-77910,210.0,0
30710,810,-13,130,-116690,51030,-75250,214.0,0
30725,492,-640,651,-44940,55300,-60550,205.0,0
30740,213,-485,-2,7630,50260,-59780,205.0,0
30750,175,-639,447,66780,49980,-56000,213.0,0
30765,219,-403,405,182420,39690,-56140,218.0,0
30780,220,-135,243,216510,22330,-61880,218.0,0
30790,214,-50,196,236180,14350,-63840,224.0,0
30805,238,74,149,243880,5180,-64470,224.0,0
30824,423,239,284,239120,-5740,-65940,214.0,0
30839,737,991,925,46130,-16520,-52850,214.0,0
30854,586,123,314,-16310,-21350,-56140,214.0,0
30864,834,518,-129,-21000,-23940,-55720,205.0,0
30879,889,50,183,-16590,-21070,-47670,193.0,0
30894,1068,468,144,-10990,-21630,-46970,193.0,0
30904,1093,95,210,-4550,-20860,-39550,187.0,0
30919,1156,244,173,1680,-17640,-40390,187.0,0
30934,1185,91,161,-1960,-15260,-41930,187.0,0
30944,1202,111,51,-4200,-13020,-42980,183.0,0
30959,1207,32,71,2800,-11270,-44100,173.0,0
30974,1164,60,160,24360,-9940,-42070,173.0,0
30984,1195,-99,41,38780,-8540,-41230,164.0,0
30999,1276,30,97,51450,-7420,-38850,160.0,0
31014,1283,95,-7,68740,-7070,-34020,160.0,0
31024,1315,192,-87,77210,-5250,-29260,155.0,0
31039,1552,140,1,86030,-1960,-16800,156.0,0
31054,1381,168,67,98700,1960,-11060,156.0,0
31064,1282,167,-60,102620,2730,-5670,154.0,0
31087,1418,824,472,107940,7700,15890,146.0,0
31102,1452,371,237,-24290,2590,20370,144.0,0
31117,1158,45,-46,-99400,-7140,37100,137.0,0
31132,1293,-102,-217,-139370,-10220,43470,137.0,0
31142,721,132,391,-132510,-9660,44940,143.0,0
31157,617,374,93,-130970,-11200,44800,142.0,0
31172,1060,-115,104,-122710,-9100,49210,142.0,0
31182,964,-349,267,-120680,-10850,48160,143.0,0
31197,942,-47,371,-111790,-13160,46760,149.0,0
31212,807,-120,460,-103460,-12110,48370,149.0,0
31222,990,-53,176,-98560,-11130,50260,149.0,0
31237,927,-41,297,-77140,-12460,52500,149.0,0
31261,867,-95,471,-51870,-18060,59080,147.0,0
31276,855,-100,486,-49910,-21840,57820,140.0,0
31291,882,-115,384,-60900,-31220,46690,140.0,0
31301,725,-221,662,-78610,-40670,34370,139.0,0
31316,1536,-1399,1051,-96390,-52920,18200,136.0,0
31339,256,-1713,1570,-7630,-77630,-18480,137.0,0
31354,1101,-624,199,14140,-88690,-31920,132.0,0
31369,1037,-892,58,42770,-95620,-46690,132.0,0
31379,887,-1304,-93,67970,-95480,-52430,127.0,0
31394,1007,-1351,295,103880,-92960,-58310,125.0,0
31409,1108,-1391,-18,201390,-84070,-57330,125.0,0
31419,1163,-1121,-33,257810,-77630,-55650,123.0,0
31434,1703,775,-281,299670,-55510,-68740,117.0,0
31449,205,357,-448,326480,-59150,-85050,117.0,0
31459,971,-1198,-137,376600,-46060,-75040,119.0,0
31474,1096,-838,-889,429940,-14630,-49420,119.0,0
31489,698,588,-1422,443520,-5670,-42350,119.0,0
31499,930,359,-1289,460390,9240,-33040,117.0,0
31514,935,1265,-1429,467740,43960,-6580,116.0,0
31529,1065,491,-1620,441280,56560,13720,119.0,0
31544,1013,710,-1972,341320,80080,20790,119.0,0
31554,1032,695,-1983,260890,90090,25060,116.0,0
31569,1037,553,-1945,66220,104090,27580,117.0,0
31592,897,432,-1615,-119630,113610,25060,116.0,0
31607,1699,820,-337,-203350,116550,6440,116.0,0
31617,1581,1929,32,-260260,129710,-2940,119.0,0
31632,1147,207,-953,-292040,126280,-6510,128.0,0
31647,602,888,-589,-371280,116060,-19460,140.0,0
31662,660,-120,-690,-407190,111230,-22960,140.0,0
31672,567,-139,-491,-433440,104300,-24990,140.0,0
31687,519,-476,-136,-468440,86520,-23240,139.0,0
31702,441,-671,-88,-486990,58940,-32900,139.0,0
