t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
60320,602,-68,-12,36470,17150,47250,124.0
60334,751,562,-719,58870,12390,46830,124.0
60348,787,-125,-332,60620,16380,44170,116.0
60376,939,29,-158,89670,19810,35070,115.0
60390,881,149,-219,93800,17640,31780,115.0
60403,976,-83,-74,102060,16100,30310,109.0
60416,1176,-234,-23,100450,14700,28140,109.0
60426,1441,419,-673,79030,7350,24290,113.0
60439,462,-502,-1074,-7840,4060,26810,113.0
60449,957,137,107,-17990,4480,22050,113.0
60462,964,-90,-267,-10640,3430,16590,114.0
60475,755,-210,-581,-21350,5460,11970,114.0
60485,955,-317,-121,-33110,8050,6650,112.0
60498,1118,-270,-456,-27860,7140,1890,112.0
60508,894,-94,-525,-10500,5950,-1540,112.0
60521,1041,-92,-104,10430,7280,-5320,113.0
60534,1023,-147,-55,16870,7070,-9100,113.0
60544,963,-42,-201,7700,6020,-9520,112.0
60557,1032,94,-88,4550,5320,-10360,112.0
60567,1021,71,-91,8540,4760,-10640,111.0
60580,989,105,-184,7630,3920,-9730,108.0
60593,983,168,-209,0,2170,-6370,108.0
60603,994,184,-191,-2730,1820,-4480,110.0
60616,967,273,-192,-3920,1750,-2170,110.0
60626,923,282,-171,-3500,2100,980,111.0
60639,937,279,-216,-1120,1820,7280,111.0
60652,974,265,-268,4340,3430,10220,111.0
60662,1020,192,-306,-420,4130,13020,116.0
60675,980,157,-294,-7000,4830,15610,116.0
60685,1020,73,-205,-6580,5950,17010,107.0
60702,988,17,-263,-5530,7840,17640,112.0
60715,997,-7,-198,-5880,8540,16030,112.0
60725,1027,-56,-168,-4130,8890,14630,111.0
60738,1022,-60,-184,-3080,9800,13020,111.0
60751,988,-65,-202,-1820,10080,11270,111.0
60761,987,-84,-176,-910,10360,9380,108.0
60774,991,-70,-153,-140,10150,5600,108.0
60784,992,-50,-144,700,9800,4060,111.0
60797,1000,-38,-102,2030,9450,2520,108.0
60810,1004,0,-121,2520,8750,1330,108.0
60820,1003,27,-141,2590,8400,630,108.0
60833,1006,35,-119,2590,7840,490,108.0
60843,1006,72,-152,2450,7910,1400,109.0
60856,1000,185,-171,1470,8050,3220,109.0
60869,999,123,-189,350,8190,7840,109.0
60879,1004,189,-164,980,8330,10150,106.0
60892,1004,118,-195,-1470,8750,11690,106.0
60902,999,83,-194,-1610,9310,12740,109.0
60915,1008,70,-200,-2380,10080,13650,110.0
60928,1011,49,-184,-2730,11830,14490,110.0
60938,1022,31,-172,-2730,12740,14350,111.0
60955,1026,48,-129,-4060,13650,14350,108.0
60968,1021,50,-88,-11620,14980,14910,108.0
60978,1013,49,-108,-17710,15610,15610,110.0
60991,1010,81,-157,-22260,16100,16660,110.0
61001,1013,74,-183,-24430,16800,17850,110.0
61014,1024,103,-202,-23520,18550,20230,108.0
61027,1024,108,-269,-15330,19810,21490,108.0
61037,1019,78,-281,-9380,21210,22610,108.0
61050,1004,66,-280,-2940,22680,23590,108.0
61060,1001,35,-298,2870,24290,24290,110.0
61073,997,-9,-282,9450,28700,24710,109.0
61086,992,-61,-272,9170,31500,24360,109.0
61096,986,-92,-248,6370,34720,23660,115.0
61109,993,-100,-230,1540,38080,21280,115.0
61119,989,-98,-221,-5250,41580,20090,106.0
61132,989,-107,-188,-21770,49000,18970,113.0
61145,1012,-27,-155,-29470,52220,18270,113.0
61155,1025,-3,-141,-37030,55230,18130,107.0
61168,991,-20,-96,-44660,60060,19110,107.0
61178,1008,35,-57,-50610,62370,21000,109.0
61191,1095,427,-43,-27300,59570,17150,109.0
61208,1574,432,-57,-30240,66570,21420,113.0
61222,1117,281,-89,-32410,66990,23450,113.0
61232,818,146,458,-40390,68600,28350,114.0
61245,857,-68,269,-44940,63770,31500,114.0
61255,823,101,204,-47530,63560,32060,118.0
61268,786,61,276,-60830,60970,30870,117.0
61281,1099,97,164,-61460,57330,32760,117.0
61291,1166,284,273,-64330,56630,35770,125.0
61304,1456,109,312,-62510,48510,42350,125.0
61314,1244,249,420,-62230,41230,43400,128.0
61327,1148,132,123,-60760,38290,44100,132.0
61340,1131,108,245,-57820,34790,44520,132.0
61350,1026,133,157,-53060,30730,44730,136.0
61368,848,52,31,-40110,28000,42700,141.0
61382,847,31,-13,-28420,27020,41230,141.0
61392,825,31,17,-23100,27580,39760,144.0
61405,836,47,64,-19040,27720,38080,144.0
61415,861,56,74,-15680,26810,36470,145.0
61428,889,82,99,-9730,23730,34090,149.0
61441,916,32,158,-6580,21560,32830,149.0
61452,906,32,168,-3710,18830,31220,150.0
61465,890,12,152,-700,13300,27510,150.0
61479,879,-42,225,6790,10080,25130,150.0
61489,975,-46,243,10220,6090,22260,152.0
61502,1050,-56,248,13440,1890,19390,152.0
61512,1085,-75,261,16870,-2240,16310,153.0
61525,1047,-136,264,25760,-11060,8470,158.0
61538,908,-145,227,31360,-15330,3920,158.0
61548,859,-132,235,37380,-19250,-280,153.0
61561,815,-118,221,43470,-23380,-7280,153.0
61571,796,-105,189,49280,-27160,-10290,155.0
61584,803,-94,157,60130,-33110,-12950,155.0
61597,818,-95,131,65590,-35560,-15330,155.0
61607,829,-116,105,71330,-37310,-17780,153.0
61620,832,-122,104,82320,-40040,-23100,153.0
61630,852,-109,76,86870,-40740,-25620,152.0
61643,891,-91,58,90720,-41020,-28000,151.0
61656,925,-82,58,93450,-41370,-30310,151.0
61666,957,-60,61,95340,-41720,-32690,148.0
61679,972,-42,79,97230,-42770,-36610,148.0
61689,968,-37,89,97090,-43540,-38360,148.0
61702,902,-23,73,96460,-44450,-40250,142.0
61719,869,38,57,92120,-44450,-44520,142.0
61729,869,-12,133,88410,-44940,-46130,141.0
61742,911,48,96,84490,-46830,-47740,135.0
61755,936,65,115,76370,-49000,-49210,135.0
61765,943,68,150,72660,-51100,-49560,135.0
61778,1049,96,144,68950,-52640,-49490,135.0
61788,1076,107,158,65240,-54250,-49280,131.0
61801,1088,112,134,61600,-55860,-48720,126.0
61814,1089,104,114,54530,-57960,-48650,126.0
61824,1103,105,107,50960,-58590,-48580,123.0
61837,1138,103,100,47390,-59010,-48510,123.0
61847,1169,95,99,44030,-59010,-48510,122.0
61860,1181,98,86,41300,-58450,-48510,118.0
61874,1202,104,47,37170,-57330,-48090,118.0
61885,1188,97,39,35350,-55930,-47880,118.0
61898,1164,82,-3,33460,-51730,-47810,119.0
61911,1156,46,5,29820,-48650,-47880,119.0
61921,1153,97,-11,29050,-46130,-48020,120.0
61934,1090,61,-22,28070,-43330,-48020,120.0
61944,1043,90,-19,26740,-40460,-48160,117.0
61957,989,84,-15,23310,-35070,-47740,119.0
61974,871,106,-26,21770,-29750,-46200,119.0
61984,798,102,-7,20440,-29750,-45360,121.0
61997,714,79,-21,17290,-25200,-44940,120.0
62010,536,94,-27,15400,-22890,-44590,120.0
62020,493,89,-17,13300,-20650,-44100,122.0
62033,480,87,-13,8330,-16660,-43540,122.0
62043,462,84,0,12250,-25270,-41020,124.0
62056,153,-1494,621,12880,32830,16940,127.0
62069,756,-191,-473,40530,-14560,2590,127.0
62079,672,95,794,44940,34300,22820,124.0
62092,1417,-517,1020,30520,45780,51870,124.0
62102,1184,-989,-476,22260,34020,52850,124.0
62115,703,344,-551,28910,35840,43050,120.0
62128,1093,492,498,36680,36680,42070,120.0
62138,1100,-425,-60,29680,36610,38920,121.0
62151,1032,48,169,31290,34230,34020,121.0
62161,1025,138,63,23310,30800,31640,118.0
62174,1022,-22,37,16310,28630,30100,118.0
62187,1028,-100,95,3710,22750,26110,118.0
62197,1014,-71,-7,-560,20510,23660,118.0
62210,1036,-9,71,-4130,18900,21980,118.0
62223,1024,-44,25,-6160,17500,20650,117.0
62236,1011,-25,79,-4410,15540,17710,116.0
62249,1022,-7,114,-1610,14490,16520,116.0
62259,1023,1,76,1820,13510,15610,118.0
62272,1018,14,53,6090,13020,14700,115.0
62285,1014,23,5,13440,12880,14280,115.0
62295,1018,35,-5,15540,13020,13930,117.0
62308,1011,57,-18,16380,13090,13790,117.0
62318,1010,50,-1,15820,13090,13650,118.0
62331,1015,36,31,12600,11830,13510,115.0
62344,1012,46,15,11480,11200,13370,115.0
62354,1018,25,18,10990,10780,13300,117.0
62371,1017,38,1,12530,10780,13370,116.0
