t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
180500,925,374,65,-4970,-30870,14420,151.0
180594,1094,369,88,-13230,-28630,16660,151.0
180613,1232,301,78,-28490,-23380,16590,139.0
180628,1280,291,55,-39830,-16940,15960,136.0
180643,1266,309,83,-45710,-10360,13300,131.0
180658,1230,329,53,-56700,-6580,12460,131.0
180668,1203,317,69,-61390,-2940,11690,126.0
180683,1150,294,67,-59220,2450,9730,125.0
180698,1998,-1995,-1604,79100,-6790,33530,121.0
180713,1366,216,244,177590,12250,52290,121.0
180723,919,51,-1017,165270,13160,53970,126.0
180738,652,125,69,184590,26740,44520,122.0
180753,680,647,-403,192220,24080,40810,122.0
180763,1090,-220,-249,185080,20230,37800,116.0
180778,1061,131,-311,164430,20860,37800,117.0
180793,1132,14,-414,141750,18900,39620,117.0
180803,1012,246,-514,119350,17150,38990,121.0
180818,915,277,-471,66570,12950,37590,115.0
180833,891,80,-543,43260,10220,36960,115.0
180843,941,192,-445,20650,7420,35420,112.0
180858,1038,93,-349,-31290,2100,35210,108.0
180889,948,139,-233,-89180,-6930,35210,114.0
180904,997,68,-106,-108920,-13720,34510,108.0
180919,1006,21,-122,-112560,-16380,33810,116.0
180934,974,-13,-152,-106540,-18620,31010,111.0
180949,1015,-2,-61,-97160,-17990,25970,111.0
180959,830,-71,-227,-87360,-17010,22680,111.0
180974,1142,-202,72,-56980,-7490,20090,117.0
180989,777,-118,-180,-45080,-4200,12460,117.0
180999,1073,170,-581,-11130,3150,11900,118.0
181014,1078,-128,-148,-2800,4550,12040,116.0
181029,1009,47,-303,26250,13090,10010,116.0
181039,901,123,-250,37520,15890,8680,115.0
181054,1007,32,-243,45850,18200,7700,111.0
181069,1038,152,-173,53900,22190,6160,111.0
181079,1008,164,-182,51940,22400,6230,105.0
181094,955,174,-210,45080,18760,7420,113.0
181109,967,250,-180,23520,17710,8120,113.0
181123,980,142,-290,8540,12460,9730,113.0
181138,977,202,-179,-20370,9170,10360,110.0
181153,965,183,-214,-40600,5250,12180,109.0
181168,973,166,-138,-45990,3570,13090,109.0
181178,980,136,-132,-46830,2800,14000,113.0
181193,987,147,0,-36820,2590,15610,111.0
181208,980,134,-21,-27930,2590,16660,111.0
181218,970,152,-29,-16870,2940,18270,110.0
181233,986,111,-8,4690,3500,18970,112.0
181248,983,110,-39,13090,2660,19950,112.0
181258,1043,77,-129,13230,770,20230,109.0
181273,1020,-7,-257,-6790,-840,20720,110.0
181288,1029,89,-51,-2380,420,18970,110.0
181298,1050,-35,-338,-3570,2030,18270,107.0
181313,1022,62,-244,-5530,4270,17220,107.0
181328,1022,-8,-321,-2870,8890,14910,101.0
181343,1019,19,-307,-2520,11340,12250,101.0
181353,1009,21,-315,-1610,14350,11480,107.0
181368,998,56,-307,-840,20370,10780,107.0
181385,999,51,-267,70,25200,10220,107.0
181395,998,89,-249,420,27370,10360,108.0
181410,996,99,-244,490,29190,11410,109.0
181425,1003,95,-191,490,32480,12110,109.0
181435,1004,72,-178,840,33810,12810,112.0
181450,1005,74,-161,1260,36120,13860,101.0
181465,1005,87,-202,1400,37590,14350,101.0
181475,1006,84,-203,1260,39270,14840,106.0
181490,1004,86,-204,630,43190,15820,107.0
181505,1002,71,-196,420,45150,16310,108.0
181520,1006,85,-174,-70,49280,17080,108.0
181530,1012,72,-163,140,51310,17780,112.0
181545,1011,100,-161,420,53340,19740,105.0
181560,1311,-149,758,-2450,59080,20510,105.0
181570,1626,700,-345,1960,50470,19740,101.0
181585,1596,1158,-465,-41020,65590,25480,107.0
181600,956,380,-43,-55860,66150,29260,107.0
181610,906,416,422,-77770,67620,29330,110.0
181625,833,321,389,-103670,66780,31360,113.0
181644,963,474,280,-128730,60760,36820,112.0
181659,993,747,268,-132930,57540,42980,112.0
181669,1062,0,415,-142940,51940,48860,116.0
181684,767,261,552,-154350,38850,54460,123.0
181699,1108,359,423,-154490,20510,56700,123.0
181709,1225,122,184,-150990,17920,56280,131.0
181724,844,-100,-104,-94780,12320,59710,129.0
181739,958,-418,15,37590,15330,60830,129.0
181749,979,-200,120,95060,16380,60270,139.0
181764,964,147,212,130340,17920,60340,126.0
181779,938,392,-31,147700,14910,60200,126.0
181789,981,205,285,141610,17640,57610,133.0
181804,976,282,131,133210,14210,52920,138.0
181819,974,43,106,112420,15050,50400,138.0
181829,1014,101,62,102060,14490,45920,139.0
181844,1058,92,47,81550,13720,39830,138.0
181859,1119,-19,316,65450,8890,35770,138.0
181875,1085,48,387,28000,-1890,24430,138.0
181894,1061,-130,353,6790,-16240,12810,142.0
181909,1054,-237,256,3360,-22610,6300,142.0
181924,1048,-212,175,490,-31990,-6300,138.0
181939,965,-225,128,-1190,-34720,-18340,148.0
181954,884,-187,38,-4340,-37310,-24150,148.0
181964,852,-197,6,-6160,-37030,-29540,157.0
181979,835,-170,-38,-7280,-34300,-38850,143.0
181994,809,-137,-100,-7210,-31500,-42420,143.0
182004,814,-158,-138,-6790,-28140,-45780,153.0
182019,810,-155,-188,-5880,-18830,-52920,153.0
182034,842,-149,-129,-5810,-13860,-56140,153.0
182044,879,-109,-137,-6090,-9940,-62090,141.0
182059,908,-77,49,-7280,-1960,-64260,138.0
182074,1015,-134,-130,-7490,2170,-68600,138.0
182084,1007,-73,31,-7980,3010,-69580,137.0
182099,1087,-65,-16,-7000,4270,-69300,142.0
182114,1109,-54,117,-5740,3920,-70490,142.0
182124,1150,-26,96,-6580,2940,-70210,119.0
182139,1161,5,188,-10010,630,-69720,136.0
182156,1108,-52,249,-21210,-6230,-70770,135.0
182171,1090,77,324,-39130,-16240,-73150,135.0
182181,1090,11,329,-46690,-22190,-73710,128.0
182196,1106,-20,309,-52430,-27440,-74130,127.0
182211,1092,-68,301,-55930,-37380,-76020,127.0
182221,1046,41,184,-53130,-42490,-74900,137.0
182236,1033,-77,222,-48090,-45640,-73430,140.0
182251,1058,-20,183,-37520,-54320,-73640,140.0
182261,1074,-20,103,-31850,-57120,-72660,132.0
182276,1076,-171,89,-25340,-59500,-71190,140.0
182291,1099,-78,-93,-2310,-59710,-69020,140.0
182301,1091,-74,-82,12810,-57050,-66010,138.0
182316,1079,-58,-91,45290,-51940,-59010,145.0
182331,1004,-6,-89,59780,-49630,-54950,145.0
