t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
60173,1001,90,-209,9940,6720,21420,102.0
60278,1000,68,-218,9870,7910,22680,102.0
60293,1000,81,-229,11130,11340,23380,102.0
60308,1036,24,-259,11200,14350,25200,103.0
60323,1055,-110,-173,-1820,16310,25690,103.0
60333,1049,132,-276,-4200,17850,24850,105.0
60348,1038,-100,-358,-1610,24290,22890,102.0
60378,1022,-162,-346,2730,35700,14280,102.0
60393,1010,-80,-380,3080,39900,8890,102.0
60408,998,-90,-273,1470,47950,7000,102.0
60423,1019,0,-218,140,53760,5950,103.0
60438,1087,202,15,-10150,56070,7140,103.0
60448,1283,239,447,-24220,58240,9100,102.0
60463,1344,623,-539,-25410,52220,13090,103.0
60478,1425,626,679,-49560,54740,15680,103.0
60488,1202,235,510,-67550,56490,22120,103.0
60503,1021,651,267,-104930,54110,28910,106.0
60518,1013,548,6,-117530,48230,30240,106.0
60528,961,607,51,-123760,45710,31010,110.0
60543,1159,525,46,-123830,33880,31430,112.0
60558,1099,586,256,-112350,23520,29820,112.0
60568,1123,456,17,-100870,21070,28420,113.0
60583,1075,280,66,-80780,17920,25550,119.0
60598,1093,251,89,1120,17570,25340,119.0
60608,1067,74,2,41860,16940,22540,117.0
60623,970,536,125,69580,16170,21700,121.0
60638,918,710,4,77070,13790,14420,121.0
60653,801,542,71,62370,11270,9450,126.0
60668,725,511,52,31360,11830,5740,128.0
60683,726,381,-10,560,10430,420,126.0
60698,764,309,33,-13650,10500,-2590,126.0
60708,789,230,85,-26390,9940,-5110,125.0
60723,831,123,117,-43400,6440,-11340,124.0
60738,920,-6,149,-47180,4480,-15120,125.0
60753,950,-144,198,-45710,-1750,-22750,125.0
60763,953,-163,256,-41160,-5180,-27510,122.0
60778,955,-175,221,-34930,-12950,-37240,127.0
60793,976,-323,176,-14630,-15750,-42980,127.0
60803,992,-308,115,-2730,-18130,-49350,122.0
60818,999,-272,87,18760,-20160,-60830,123.0
60833,1013,-207,58,26740,-20370,-65660,123.0
60843,992,-135,58,32410,-20580,-70000,124.0
60858,977,-111,36,35980,-21630,-76790,123.0
60873,969,-28,58,35420,-21910,-80920,123.0
60883,967,-31,21,34510,-22260,-82530,122.0
60898,976,-22,-90,31430,-21000,-84630,122.0
60917,992,53,-107,28770,-16170,-85470,121.0
60932,1010,51,-99,28210,-10220,-83860,121.0
60942,1025,54,-78,27580,-7700,-83090,121.0
60957,1081,86,-44,25690,-5390,-81970,119.0
60972,1103,97,-40,24360,-1820,-77700,119.0
60982,1113,203,-79,22330,910,-74200,122.0
60997,1189,219,-74,20090,3360,-70140,121.0
61012,1235,229,-22,15120,7490,-61320,121.0
61022,1246,249,9,10850,8540,-56980,123.0
61037,1217,233,86,5250,8610,-49210,122.0
61052,1191,262,160,-9380,4760,-46130,122.0
61062,1241,268,165,-17430,1400,-42420,123.0
61077,1266,235,238,-29190,-7280,-34230,124.0
61092,1250,181,226,-31220,-12950,-30520,128.0
61107,1227,154,189,-29610,-22750,-24080,128.0
61117,1192,98,238,-27580,-27440,-22050,131.0
61132,1145,128,112,-24920,-32270,-19390,131.0
61147,1071,-20,172,-20020,-39690,-16520,131.0
61157,976,89,65,-14140,-43540,-16170,131.0
61174,935,45,-27,7000,-44030,-12740,132.0
61189,880,-1,-46,22610,-43680,-11200,132.0
61199,827,-25,-97,41860,-42840,-9310,138.0
61214,795,34,-99,85190,-39760,-5320,141.0
61229,712,81,-135,107310,-38430,70,143.0
61244,640,254,-65,140630,-36400,2520,143.0
61254,625,376,-97,148260,-36890,5530,144.0
61269,593,386,17,147770,-39340,10010,144.0
61284,602,603,-51,140560,-40040,9660,144.0
61294,626,423,12,130060,-42000,12180,139.0
61309,633,451,-71,108080,-43260,13440,141.0
61324,611,434,-130,96670,-43470,13510,141.0
61334,639,423,-195,86940,-43190,11970,137.0
61349,692,420,-143,70910,-40460,10920,141.0
61370,768,375,-124,61460,-36680,8820,140.0
61385,805,356,-110,60900,-32830,6790,133.0
61400,836,305,-110,63560,-30380,5600,133.0
61410,879,288,-98,66570,-28140,4550,136.0
61429,1016,295,-92,70560,-23240,2170,127.0
61444,1066,289,-55,68810,-17850,-280,126.0
61459,1160,289,-48,65870,-15400,-2800,126.0
61469,1172,290,-45,61390,-12810,-4130,123.0
61484,1171,285,-13,47040,-7700,-5390,124.0
