t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
60189,1018,-56,-302,-61320,1260,-24850,129.0,0
60304,991,-105,-306,-59640,6020,-24220,129.0,0
60324,964,-122,-308,-50470,9240,-24920,128.0,0
60339,999,-104,-329,-43750,11200,-26250,125.0,0
60354,993,-81,-355,-27930,14280,-26460,123.0,0
60369,978,-68,-384,-19040,17500,-26460,125.0,0
60384,1012,-18,-254,-420,18550,-26460,125.0,0
60394,989,-45,-257,8400,19250,-26390,124.0,0
60409,980,-73,-221,19740,19740,-26040,122.0,0
60424,1019,42,-76,20720,19950,-25550,122.0,0
60453,1003,-17,0,7140,19390,-23170,120.0,0
60468,1022,72,-1,-6650,18900,-21350,120.0,0
60483,1019,41,-14,-13020,18760,-18760,117.0,0
60498,1020,55,-86,-20020,18480,-17640,117.0,0
60513,1026,83,-119,-21070,19460,-14980,118.0,0
60528,1023,73,-149,-21700,20580,-13160,118.0,0
60538,1029,78,-159,-20650,21560,-11550,117.0,0
60553,1025,71,-157,-16380,23310,-8820,113.0,0
60568,1037,96,-143,-12390,23800,-7700,113.0,0
60582,1047,125,-121,-4480,24710,-4900,115.0,0
60597,1027,47,-89,-1540,24850,-3710,113.0,0
60612,1030,50,-18,2240,24290,-1960,114.0,0
60627,1019,45,-10,4200,23730,-560,114.0,0
60637,1016,43,13,6020,22820,140,115.0,0
60652,1010,53,77,9590,20300,980,116.0,0
60667,1001,12,81,10920,16870,1960,116.0,0
60677,999,-14,72,12390,15400,1890,116.0,0
60692,1007,-1,72,11830,14140,1680,115.0,0
60707,1006,-11,76,8820,12250,1120,115.0,0
60717,1014,-7,189,5880,11340,910,113.0,0
60732,994,-12,113,2800,9870,140,114.0,0
60747,977,-132,67,1190,6790,-2520,114.0,0
60757,982,-123,43,2730,5390,-4480,113.0,0
60772,970,-156,72,2730,3990,-8890,115.0,0
60787,1020,-61,-32,1120,4340,-11130,115.0,0
60797,1012,-47,-33,2240,4620,-12810,113.0,0
60812,986,-84,56,2800,3920,-15470,113.0,0
60827,1202,312,40,1680,2870,-17150,113.0,0
60845,1025,-53,14,-1470,2170,-15260,113.0,0
60860,1090,111,-194,-140,4900,-12250,113.0,0
60875,1031,156,-61,210,6860,-10220,114.0,0
60890,1044,191,-39,630,11130,-4760,114.0,0
60905,1029,168,1,1190,12670,-2100,114.0,0
60915,1039,207,89,1610,13720,2800,113.0,0
60930,995,90,115,840,12530,4410,114.0,0
60945,988,50,169,770,8610,4830,114.0,0
60955,988,35,147,770,6230,4200,113.0,0
60970,958,-38,192,1050,3710,2800,115.0,0
60985,976,2,195,1050,-1820,-770,116.0,0
61000,1031,-42,13,1400,-3080,-2590,116.0,0
61010,1015,-13,68,1470,-3500,-4200,115.0,0
61025,1008,-9,29,1400,-4340,-6860,115.0,0
61040,1035,33,-10,1400,-4340,-7490,115.0,0
61050,1019,95,25,1120,-4130,-6650,113.0,0
61065,1011,131,40,560,-4270,-5390,116.0,0
61080,1007,146,47,420,-4760,-2100,116.0,0
61094,999,154,57,910,-5040,-140,113.0,0
61109,1012,161,19,1820,-4620,4060,114.0,0
61124,1009,139,13,1960,-3920,5950,112.0,0
61139,1009,116,21,1680,-2940,8610,112.0,0
61149,1025,81,-33,1540,-2170,9450,113.0,0
61164,1024,41,3,1540,-1400,9870,116.0,0
61179,1010,-4,8,1540,-1120,9240,116.0,0
61189,1028,8,15,1750,-1120,8470,112.0,0
61204,1001,44,80,1890,-2170,7420,113.0,0
61219,1005,-6,79,1680,-3290,6790,113.0,0
61229,1001,16,99,1960,-4550,5880,111.0,0
61244,1007,-15,79,1610,-7140,3360,112.0,0
61259,1032,-21,0,1610,-7700,2240,112.0,0
61269,1020,21,22,1820,-7910,1470,112.0,0
61284,1033,23,-36,1820,-6790,840,114.0,0
61299,1036,67,-34,1820,-5740,1120,114.0,0
61309,1036,55,-61,1680,-4480,2450,112.0,0
61324,1029,66,-43,1960,-1400,3150,115.0,0
61339,1030,78,-31,2100,1050,5180,113.0,0
61361,1012,85,78,2170,1120,7000,113.0,0
61376,1003,76,84,2170,-70,8470,113.0,0
