t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
30071,811,164,100,-32060,15400,6230,124.0
30158,827,78,178,-35070,13300,4060,124.0
30173,847,-13,213,-35910,7700,-980,126.0
30188,851,-63,237,-34440,4060,-7840,125.0
30228,869,-217,247,-8120,-18480,-26250,125.0
30243,892,-249,128,490,-21560,-31570,125.0
30258,910,-240,113,17780,-24990,-42280,123.0
30273,958,-211,51,25270,-24990,-47390,123.0
30288,974,-178,12,36540,-25060,-56140,125.0
30303,979,-160,9,40740,-24710,-59990,125.0
30313,972,-128,-40,43890,-24080,-66710,124.0
30328,945,-46,-99,46340,-20300,-69160,123.0
30343,935,-5,-129,45850,-14140,-71610,123.0
30353,915,-16,-155,44940,-10220,-72800,121.0
30368,891,-20,-143,41720,-6440,-75600,122.0
30383,902,-34,-122,38220,350,-78960,122.0
30393,944,-60,-90,36330,1330,-80780,123.0
30408,1142,14,49,34650,3290,-82320,118.0
30423,1238,31,66,32200,3080,-82530,118.0
30433,1280,30,115,28980,2450,-82530,114.0
30448,1291,52,106,23730,700,-83510,120.0
30463,1263,82,258,6720,-3920,-83930,120.0
30473,1251,33,236,-3570,-8050,-84630,113.0
30488,1219,104,285,-25620,-17150,-86030,116.0
30503,1209,94,307,-34930,-22120,-85610,118.0
30518,1208,59,280,-45500,-31920,-85050,118.0
30536,1152,141,246,-41440,-40460,-81340,117.0
30551,1089,-16,256,-37170,-42840,-78960,124.0
30566,1082,0,72,-28280,-48440,-78190,117.0
30581,1038,66,-12,-17360,-49070,-76580,117.0
30591,982,-41,-30,-4060,-47670,-73430,119.0
30606,939,-17,-80,27370,-43960,-67200,126.0
30621,835,6,-57,43050,-41650,-60200,120.0
30636,719,39,-77,67970,-37520,-56910,120.0
30646,670,65,-60,75880,-35490,-53830,119.0
30661,641,83,-72,83230,-32060,-47740,120.0
30676,637,113,-36,84490,-30310,-44870,120.0
30686,642,139,-18,85750,-28980,-41720,126.0
30701,621,142,-7,88060,-26670,-34160,124.0
30716,594,219,-71,88690,-25690,-30520,124.0
30726,615,155,-3,86730,-23520,-23170,127.0
30741,764,203,74,79590,-22820,-19950,122.0
30756,848,270,90,76090,-23730,-10920,122.0
30766,965,324,92,72170,-23660,-5460,125.0
30781,1052,309,61,59150,-22610,-700,117.0
30800,1068,381,35,38500,-19880,8190,113.0
30815,1093,290,71,4340,-16310,12740,113.0
30825,1155,366,39,-13300,-13860,14840,114.0
30840,1663,1210,-495,-25760,-12600,16940,115.0
30855,1987,141,1078,87850,14350,81690,115.0
30865,1473,1101,-889,70350,2660,73220,116.0
30880,790,648,-442,80570,12880,75950,112.0
30895,439,561,-28,75670,12880,66640,114.0
30910,291,340,-152,49140,15610,55230,114.0
30920,1142,155,-926,90370,14560,53410,111.0
30935,1415,-713,568,82530,23030,55720,113.0
30950,1021,106,-798,71330,20860,52500,113.0
30960,570,600,-244,61530,19950,47810,111.0
30975,1210,-245,-437,50470,19880,44730,111.0
30990,1168,106,-482,32830,22120,41300,111.0
31000,879,338,-417,23030,23450,39270,109.0
31015,975,182,-328,11410,24570,35560,111.0
31030,1063,-15,-323,-8120,25760,33950,111.0
31040,1002,133,-298,-17220,25970,32130,110.0
31062,993,117,-156,-36120,25130,28070,111.0
31077,990,149,-75,-54250,20860,27230,107.0
31092,983,155,-49,-62860,15050,25200,110.0
31107,999,75,22,-75810,12110,24360,110.0
31117,1008,43,47,-80360,8890,23240,105.0
31132,1006,32,67,-83020,3010,21000,109.0
31147,1001,54,104,-80780,560,20090,109.0
31157,995,63,109,-77350,-1540,19110,108.0
31172,988,24,87,-65240,-4130,17010,104.0
31187,1014,31,54,-56980,-4550,15540,104.0
31197,1003,30,39,-48300,-4480,14630,104.0
31221,992,128,26,-20860,-2940,14490,102.0
31236,977,147,23,-13230,-2730,15540,103.0
31251,997,146,28,-1890,-3010,16310,103.0
31266,1003,160,38,6300,-4550,18550,103.0
31276,975,171,24,10850,-5040,19600,103.0
31291,982,159,24,16380,-5250,20650,101.0
31310,992,129,-11,29260,-4690,22820,101.0
31325,994,121,-95,38920,-3570,24290,101.0
31335,1005,116,-71,42560,-2870,24990,102.0
31350,988,121,-110,44240,-2590,25550,99.0
31365,1006,89,-124,41580,-2240,26180,99.0
31375,991,127,-160,37380,-2590,26460,97.0
31390,999,116,-194,31990,-2520,26600,102.0
31405,1003,80,-171,22190,-2310,26600,102.0
31415,1007,84,-228,17640,-1820,26670,101.0
31430,1022,50,-200,8680,-210,26810,100.0
31445,1028,78,-216,3780,70,27160,100.0
31455,1326,-529,-278,-1260,-490,28210,98.0
31470,1028,63,-339,8190,1330,25690,101.0
31485,1067,-148,-289,9450,4200,21000,101.0
31495,1042,-103,-22,7420,7140,17990,102.0
31510,995,-88,-237,3080,9800,14770,96.0
31525,1016,-139,17,-6090,11970,10500,100.0
31540,1001,46,-20,-14630,12110,9730,100.0
31550,1015,66,30,-22820,11970,10290,98.0
31574,1052,154,-11,-23100,9240,15470,100.0
31589,1090,278,-292,-3360,4410,17640,102.0
31604,1056,219,285,13440,3360,24920,101.0
31619,1067,300,107,3710,1260,27860,101.0
31629,1086,259,-93,-6300,1610,34160,102.0
31644,1007,22,-36,4760,770,36400,103.0
31659,1029,92,64,2590,770,38290,103.0
31669,1035,46,-82,-3710,1470,38990,99.0
31684,1023,-60,-130,-1610,2100,39690,102.0
31699,1038,56,-40,-5460,4130,40250,102.0
31709,1053,45,-115,-8890,5250,39970,106.0
31724,998,-102,-116,-10150,5950,38920,105.0
31739,1092,242,250,-45010,12390,33180,105.0
31749,1084,318,-112,-67970,14490,31080,108.0
31764,1079,93,-76,-90790,21350,27860,110.0
31779,1077,63,-274,-119140,31360,26740,110.0
31789,1132,111,-274,-129640,36260,25620,113.0
31804,1140,131,-349,-145250,46060,24780,118.0
31823,1090,-1,-287,-158270,52710,24430,119.0
31838,1008,281,-120,-160370,55020,23730,119.0
31848,1124,314,-251,-168420,55510,21140,120.0
31863,1065,172,76,-200340,56840,22680,120.0
31878,903,86,132,-208320,58730,25060,120.0
31888,901,20,-86,-211750,54460,26250,111.0
31903,1065,-270,22,-184730,45990,27160,110.0
31918,1277,-249,169,-146790,41230,30030,110.0
31928,1223,-454,162,-82180,42210,31430,114.0
31943,1217,18,213,66710,35910,28070,111.0
31958,1169,30,457,148120,29540,26530,111.0
31973,1255,-127,386,153930,23660,25480,111.0
31983,1434,582,495,153650,20790,21840,113.0
31998,1029,308,186,141470,15680,22120,116.0
32013,1100,333,259,131040,16310,21840,116.0
32023,1069,411,8,120330,16030,22330,118.0
32038,977,278,113,95130,16380,20860,118.0
32053,998,297,126,81760,16100,17780,118.0
32063,958,244,174,57330,14630,15820,122.0
32085,927,125,192,33950,9590,9240,117.0
32100,988,55,293,21700,7210,1120,119.0
32114,981,-65,249,3010,-210,-3990,119.0
32124,899,-92,261,-2870,-5320,-9800,120.0
32139,876,-115,249,-8190,-13580,-22960,122.0
32154,824,-182,129,-17850,-17150,-29680,120.0
32169,859,-193,66,-18760,-19810,-43470,120.0
32179,873,-199,42,-15610,-19390,-49280,121.0
32194,894,-170,0,-11830,-18480,-54600,125.0
32209,898,-118,-11,-3220,-16170,-62580,125.0
32227,914,-91,-25,4200,-12810,-68110,121.0
32242,890,-35,-63,6650,-10500,-70210,121.0
32257,868,-21,-56,8470,-5740,-73150,123.0
32272,847,12,-63,7980,-3500,-74060,130.0
32287,875,-39,-63,6020,2030,-75740,130.0
32297,894,-9,27,5180,4060,-77000,117.0
32312,980,10,-53,4690,6650,-77980,116.0
32327,1101,23,20,5390,7070,-77700,116.0
32341,1159,24,24,6510,8050,-76790,118.0
32356,1204,22,87,8960,7210,-76440,122.0
32371,1182,9,127,9800,4760,-76160,125.0
32386,1128,4,145,9870,2660,-76440,125.0
32396,1121,-5,179,9450,280,-76720,118.0
32411,1134,-4,191,7770,-5320,-77840,115.0
32426,1175,5,208,6860,-8470,-77980,115.0
32436,1204,28,220,6020,-11970,-78050,120.0
32451,1195,27,246,4200,-19670,-77840,121.0
32466,1166,35,253,3360,-28210,-77210,121.0
32476,1133,40,240,2800,-32340,-76510,122.0
32491,1049,42,173,3570,-35840,-75600,119.0
32506,1010,109,142,6720,-40250,-71750,122.0
32521,913,84,87,9450,-40880,-68810,122.0
32531,884,58,63,12180,-41790,-66360,120.0
32546,846,83,75,18270,-42700,-60970,124.0
32561,819,99,20,22190,-43260,-54320,124.0
32571,783,84,5,26180,-42700,-50820,118.0
32586,764,47,-22,35350,-40110,-47390,125.0
32608,740,85,-28,48930,-37730,-39480,122.0
32623,715,151,-18,59150,-35560,-31290,117.0
32638,765,157,13,61670,-34020,-21980,117.0
32648,839,240,37,63770,-31850,-16380,122.0
32663,957,365,-68,66080,-30660,-10640,126.0
32678,802,301,-56,48720,-23870,-1120,126.0
32688,830,204,31,33810,-22400,-560,122.0
32703,969,376,123,17920,-19390,1330,116.0
32718,973,371,10,-15120,-16030,4970,116.0
32728,966,420,53,-32060,-13160,6860,120.0
32743,1020,384,95,-48230,-10710,8610,113.0
32758,1046,404,51,-74690,-6300,10010,113.0
32768,1069,367,144,-84350,-3570,10990,113.0
32783,1099,380,136,-92260,-4200,12670,110.0
32798,1998,-1990,-821,22680,-11270,41370,110.0
32808,985,-361,1532,107030,18130,65100,111.0
32823,473,1488,-910,98490,14140,66570,111.0
32838,367,-92,529,108920,18970,58380,111.0
32856,815,269,-70,119070,19390,48650,106.0
32871,1305,136,13,132160,22400,46970,106.0
32886,1159,-32,-139,138180,22750,47040,106.0
32901,879,375,-185,132930,24500,43960,106.0
32916,872,328,-146,127050,25480,38570,106.0
32926,1056,29,-145,120120,25550,37660,103.0
32941,1049,157,-238,101430,23380,37170,102.0
32956,954,257,-298,88620,21770,33740,102.0
32966,918,307,-294,57400,20720,32130,102.0
32981,1027,205,-366,40600,19880,30870,106.0
32996,1037,205,-333,5390,18340,29540,102.0
33011,958,308,-327,-13650,17080,28980,102.0
33021,961,300,-277,-33390,15120,28560,106.0
33036,982,281,-167,-72030,9380,28350,103.0
