t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
75,1027,-91,-33,1610,2100,1470,99.0
91,1021,-48,-29,1890,2800,350,99.0
106,1000,-59,29,1750,2660,-910,99.0
121,1016,-46,-30,1260,1960,-1540,99.0
136,1019,-37,-27,1400,2170,-1960,99.0
146,1025,0,-46,1680,2730,-1890,99.0
161,1014,-45,-7,910,3080,-2100,101.0
176,998,-44,24,1330,2380,-2730,101.0
191,993,-17,49,1470,1610,-3010,101.0
201,999,0,36,1400,770,-3150,102.0
216,1008,25,-3,1120,-70,-2520,99.0
231,1019,12,-9,980,-210,-1470,99.0
241,1017,17,-7,1330,-280,-840,100.0
256,1009,11,3,1120,-560,-280,100.0
275,1014,-9,-2,1190,-910,-140,102.0
290,1016,-3,-16,1120,-770,-210,102.0
300,1024,-30,-38,1050,-490,-280,102.0
315,1022,-2,-21,1470,-210,-350,99.0
330,1015,-26,-39,1050,490,-840,99.0
340,1021,-55,-20,980,700,-1400,101.0
355,1022,-11,-24,1400,980,-1750,102.0
370,1011,4,14,1050,980,-1960,102.0
380,1012,24,-8,1120,840,-1680,101.0
395,1010,40,0,1260,490,-560,102.0
410,1008,29,25,910,140,-70,102.0
420,1010,41,7,1260,-70,560,100.0
435,1006,37,25,1820,-630,1820,101.0
450,1014,24,-2,1820,-770,2170,101.0
460,1019,32,-1,1820,-840,2590,99.0
475,1023,37,8,420,-770,3150,101.0
490,1012,41,33,-1120,-770,3220,101.0
500,1012,44,37,-2730,-910,3010,101.0
515,1007,124,78,-8890,-1190,2520,104.0
534,990,219,155,-29960,-980,-1050,100.0
549,981,272,169,-44940,-910,-6230,100.0
559,1128,121,-9,-60410,-2730,-2800,97.0
574,938,-284,-67,-19810,-1960,1540,101.0
589,984,-196,95,6510,-3990,4550,101.0
599,981,62,54,4620,-4900,4410,101.0
614,932,-31,26,2660,-5250,3920,99.0
629,1182,-184,-353,3290,-6650,4900,99.0
639,999,14,32,-980,-2380,3150,100.0
654,1051,-129,47,2590,-4270,2590,99.0
669,1007,35,-29,70,-5460,1890,99.0
679,1021,-60,-14,2030,-5670,1890,98.0
694,1003,11,74,0,-6790,1960,98.0
709,1027,14,-15,-630,-7280,2030,98.0
719,1027,8,-23,-2240,-7700,2310,101.0
734,1024,5,-68,-9310,-8400,2100,101.0
749,1024,1,-77,-14770,-8610,2030,101.0
764,1018,-13,-86,-26880,-9030,1260,101.0
774,1009,-2,-71,-32620,-9170,840,99.0
793,1020,-8,-60,-43190,-9730,140,102.0
808,1028,-14,-61,-47460,-10080,-420,102.0
818,1026,-10,-37,-50400,-10360,-560,98.0
833,1019,-4,-7,-53340,-10710,-700,102.0
848,1000,-14,-5,-52220,-11340,-1120,102.0
863,1006,-22,4,-50750,-11620,-1400,102.0
873,1019,-20,7,-47950,-11550,-1470,100.0
888,1003,-20,43,-40250,-11620,-1820,101.0
903,1026,1,10,-36400,-11480,-1190,101.0
913,1010,35,-10,-31640,-11270,-700,102.0
928,1005,36,-48,-21700,-10080,-140,104.0
943,1010,44,-68,-16450,-7700,1120,104.0
953,1018,31,-61,-7560,-6370,1610,100.0
968,1018,30,-126,-4130,-4900,1960,100.0
983,1025,10,-120,-1260,-2100,2310,100.0
993,1023,-12,-119,-1610,-1050,2030,102.0
1008,1025,-19,-117,-2520,-140,1610,100.0
1037,1015,-12,-111,-6580,2100,490,100.0
1054,1025,4,-92,-11690,3150,-350,99.0
1069,1020,5,-77,-18970,3080,-630,100.0
1084,1004,15,-29,-22120,2660,-840,100.0
1094,1011,-1,-45,-24150,2310,-1050,100.0
1109,1009,11,-27,-23870,2520,-1470,101.0
1124,1008,10,-16,-22750,2590,-1820,101.0
1134,1018,-2,19,-21210,2590,-1890,101.0
1149,1029,-24,-21,-16310,2310,-2100,101.0
1164,1021,-14,-8,-12110,3360,-2660,100.0
1179,1024,-10,-5,-4550,3640,-3010,100.0
1189,1013,12,-7,-1890,3850,-3150,103.0
1204,1015,22,-13,-560,3570,-3430,103.0
1219,1006,45,2,-910,3220,-3360,103.0
1229,1009,49,-16,-1750,2730,-3220,102.0
1244,1013,89,-16,-3500,2240,-2310,100.0
1259,1000,106,-44,-4970,1960,-420,100.0
1269,1000,124,19,-6580,910,1050,104.0
1284,993,149,-6,-9450,210,2660,102.0
1299,983,151,11,-5530,140,6370,102.0
1313,991,113,-22,-1750,140,8190,104.0
1328,998,119,-34,10010,2660,11340,101.0
1343,1012,47,-84,14560,4130,12530,103.0
