t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
60152,1046,-32,-109,2660,3920,23660,98.0
60236,1021,-74,-399,3150,9380,19250,98.0
60257,1024,-107,-226,4970,13090,13790,97.0
60272,1017,-71,-170,2730,15890,8400,97.0
60287,1002,-71,-65,2450,18270,6020,97.0
60302,1015,-15,16,1820,16870,3500,98.0
60317,1002,57,59,1750,14840,3570,98.0
60327,1013,88,85,1890,12390,4550,98.0
60342,1017,86,66,2380,7980,7770,96.0
60357,1016,77,5,2870,6440,9380,96.0
60367,1019,66,-1,3430,5250,10500,97.0
60382,1029,69,-58,3710,3780,12530,98.0
60397,1030,78,-52,4690,3640,13860,98.0
60431,1052,192,-396,37310,4410,13650,97.0
60446,1041,116,-165,54670,7420,15050,97.0
60461,1036,167,-68,50960,8750,16730,98.0
60476,1065,221,68,6090,15470,22750,96.0
60491,1068,26,-47,-15610,18760,25480,96.0
60505,1036,-2,-63,-2030,19320,26950,95.0
60520,1066,-17,111,10990,20860,29120,99.0
60535,978,-23,70,-1260,16170,31080,101.0
60550,1052,26,-24,-3710,15050,32200,101.0
60560,1010,-79,102,2100,12810,33320,101.0
60575,1014,57,97,-2380,9030,33040,100.0
60590,1026,-20,-7,-3850,5950,33810,102.0
60605,1005,-5,92,-1960,4060,34020,102.0
60615,1005,-18,65,-4200,3010,34160,98.0
60630,1020,-24,-16,-10780,3290,33950,104.0
60645,1078,12,-116,-17080,5250,33460,104.0
60655,1077,-55,-190,-21770,7980,33110,103.0
60670,1066,-102,-290,-23450,13790,33250,105.0
60685,1141,-74,-392,-21210,17220,35210,105.0
60695,1150,-39,-384,-18830,21700,36540,101.0
60710,1127,-36,-314,-13230,30170,38080,104.0
60725,1148,12,-311,-11550,38290,40530,104.0
60735,1127,5,-272,-15610,42910,40950,105.0
60750,1013,-45,-41,-20720,46760,41020,106.0
60775,896,-105,355,-37030,46690,39480,105.0
60790,857,-117,404,-40390,42630,39410,109.0
60805,842,-102,389,-43470,33600,41090,109.0
60815,860,-85,310,-43120,29190,42980,108.0
60830,873,-147,231,-42070,25480,47950,108.0
60845,1020,-32,56,-38570,22190,50960,110.0
60860,1075,-24,-102,-31920,21630,58100,110.0
60870,1098,24,-86,-28350,22540,62090,111.0
60885,1031,-67,-61,-24710,23660,66290,110.0
60900,1006,-103,15,-17360,24290,72730,110.0
60910,984,-177,98,-14560,24080,74340,113.0
