t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
60202,1229,365,-2,53270,-140,6440,135.0
60313,1260,392,43,37030,3990,8120,135.0
60328,1835,743,564,102900,31640,59990,115.0
60343,1297,1065,61,126210,10710,47670,117.0
60362,281,515,221,108220,41090,55160,115.0
60389,1217,223,138,77560,34230,47320,114.0
60404,930,-70,-680,44730,33180,46340,112.0
60419,967,291,-337,26460,32270,45220,109.0
60434,1019,35,-303,-8470,34930,44380,109.0
60444,986,142,-317,-27090,34440,43400,110.0
60459,957,90,-370,-43820,32830,41580,109.0
60474,957,176,-144,-70770,29820,40950,109.0
60484,966,106,-80,-80850,27930,40460,112.0
60499,957,133,13,-87780,22120,39200,109.0
60514,993,74,121,-95340,19040,38640,109.0
60524,1007,55,193,-94990,15820,37940,107.0
60539,1006,39,185,-85540,10150,35560,107.0
60554,1011,0,194,-77210,7910,33950,107.0
60564,1014,-15,178,-67550,6230,32200,108.0
60579,1013,-17,66,-43890,5180,28560,109.0
60594,1005,10,-4,-30870,6510,24850,109.0
60607,989,64,-127,-6650,11550,23450,109.0
60622,1026,65,-147,1890,14770,22540,105.0
60637,991,164,-169,7630,19460,21910,107.0
60652,997,150,-154,5250,21770,22400,107.0
60662,1004,151,-84,910,21630,22680,107.0
60677,991,136,-57,-8470,21700,22820,106.0
60692,1007,79,-35,-7280,22960,22540,106.0
60702,1066,27,-53,-1400,25410,21840,105.0
60717,1120,179,104,6090,26600,20160,104.0
60732,1086,-31,-71,-770,24920,20160,104.0
60742,1053,140,204,-2590,24640,19180,103.0
60757,1013,37,232,-700,21840,18830,104.0
60772,992,133,169,630,16660,18830,104.0
60782,973,148,175,-2240,12670,19110,102.0
60797,950,110,235,-2520,6790,20650,103.0
60812,929,87,249,0,3920,21980,105.0
60827,921,122,245,2520,-2170,24080,105.0
60837,908,151,237,3010,-5390,25270,104.0
60852,962,65,195,4480,-8260,26460,102.0
60871,981,123,114,7420,-12740,28490,102.0
60881,1004,147,51,7280,-14420,29540,100.0
60896,1023,102,50,5320,-15470,32130,100.0
60911,1195,-244,-29,3640,-15680,34790,101.0
60926,1143,116,-17,3430,-13020,34300,101.0
60936,1118,-43,-122,1540,-11620,33530,102.0
60951,1054,-243,-149,3920,-7070,29470,102.0
60966,1101,23,-109,3850,-3150,28910,102.0
60976,1054,-44,-11,8890,-2660,28210,102.0
60991,959,-104,-145,560,-630,25410,100.0
61006,1018,-43,-44,2730,1050,24640,100.0
61016,1008,-19,78,3500,1330,23450,101.0
61031,1030,-41,-67,1190,2030,23100,104.0
61046,1046,51,11,2310,3640,23660,104.0
61056,1033,24,12,910,4060,24080,103.0
61071,1031,-27,-7,350,4340,24570,103.0
61086,1028,-16,2,490,4690,25200,103.0
61096,1040,-1,-10,-350,4830,25410,105.0
61111,1044,-67,-59,-1190,5320,25340,104.0
61128,1100,84,-63,-4900,8260,24570,104.0
61143,1088,65,-59,-16870,13510,23450,104.0
61153,1080,14,-83,-21490,16450,23170,106.0
61168,1088,-32,-153,-24290,19320,23100,106.0
61183,1121,-1,-189,-25830,25270,24150,106.0
61193,1136,29,-196,-25130,28140,25620,109.0
61208,1112,29,-121,-24990,31360,28560,111.0
61223,1086,90,-46,-26320,35490,30030,111.0
61233,1072,108,55,-29050,37240,31570,113.0
61248,1034,138,162,-32270,37240,35840,113.0
61263,986,-82,317,-41790,37030,39690,113.0
61273,863,298,390,-46270,34300,39410,115.0
61288,970,-198,320,-54460,25970,38290,117.0
61303,1159,120,265,-62300,23100,39340,117.0
61313,1442,141,453,-73150,21140,40390,119.0
61328,1139,232,104,-72800,15540,39270,121.0
61343,1166,259,222,-68320,12950,36330,121.0
