t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
90267,989,166,-117,-6230,-9660,21700,106.0
90381,1000,82,-37,-13300,-10990,21770,106.0
90396,998,65,15,-7980,-10780,21070,102.0
90411,1031,-19,-2,2380,-9310,20580,105.0
90426,1027,27,-121,25130,-4970,19180,105.0
90436,1029,36,-176,31990,-2450,18900,105.0
90451,1030,34,-188,34020,1680,18620,103.0
90466,1021,47,-300,25620,3710,18550,105.0
90481,1031,42,-290,10290,8120,18270,105.0
90491,1030,18,-312,3290,10500,17850,102.0
90506,1031,0,-257,-2590,12880,17360,103.0
90521,1034,-3,-215,-7770,18130,16310,103.0
90549,1023,-7,-134,-6160,24920,14350,100.0
90564,1026,2,-119,-6160,26530,13650,100.0
90579,1159,-360,246,-5600,28140,12880,102.0
90594,1045,110,-164,1890,27300,11200,103.0
90609,1124,137,36,-4550,25900,10640,103.0
90619,1145,63,-147,-7140,25620,10430,102.0
90634,1114,-177,-114,-6300,29330,11970,104.0
90649,1080,67,-147,1610,30940,11060,106.0
90664,1149,36,-232,840,37450,10150,106.0
90674,1173,34,-229,420,41790,10150,107.0
90689,1125,233,-86,-2240,45780,10780,107.0
90704,1068,407,174,-16800,50190,12250,107.0
90714,1045,472,282,-29890,50750,12110,110.0
90729,947,466,410,-41580,49140,15820,111.0
90744,873,413,546,-59290,41720,19250,111.0
90754,849,455,604,-63350,36260,23590,112.0
90769,865,437,549,-69230,24150,36400,114.0
90784,916,434,455,-69440,18410,43470,114.0
90797,896,403,454,-70980,8120,55860,115.0
90812,873,234,313,-73500,4760,61110,116.0
90827,983,499,153,-72380,840,74760,116.0
90842,1129,207,-137,-70980,-140,80010,116.0
90852,1063,172,-133,-68320,420,85190,114.0
90867,985,-105,-204,-57330,3220,94640,119.0
90882,1031,-147,-215,-50540,5530,100660,119.0
90892,994,-210,-133,-42700,6930,102410,121.0
90907,792,-510,108,-24360,6300,102550,124.0
90922,725,-622,192,-15610,490,97580,124.0
90932,677,-689,325,2590,-3780,94430,125.0
90947,679,-787,307,11130,-8120,90650,125.0
90962,724,-781,249,29610,-17010,82040,125.0
90972,751,-823,217,39340,-20860,77140,126.0
90987,842,-760,138,48580,-24430,72030,127.0
91002,869,-795,129,64400,-28070,62720,127.0
91012,936,-632,-78,78400,-28420,57120,128.0
91027,913,-340,-41,113750,-22400,46270,130.0
91042,1507,-463,-46,139790,-22890,42770,130.0
91057,972,-69,-109,68740,-22190,30240,132.0
91072,1304,198,-77,68880,-22050,27300,134.0
91087,1335,-1368,112,-22260,-3080,32550,134.0
91102,1236,-97,-740,-27790,-6020,22260,136.0
91117,1214,-340,-286,-3360,10850,22120,136.0
91127,1304,-126,-203,10220,18130,16450,136.0
91142,1228,-82,-47,19740,22820,6860,138.0
91157,1174,38,-19,28630,30240,2870,138.0
91167,1139,-141,-90,28000,31780,-1330,139.0
91182,1167,-16,37,20230,33320,-15400,138.0
91197,1154,59,45,14840,32410,-20440,138.0
91207,1165,-1,122,7700,31570,-25760,134.0
91222,1136,40,218,-11760,25130,-37800,141.0
91237,1111,54,282,-23730,20440,-43750,141.0
91247,1117,56,304,-36820,14280,-55790,137.0
91262,1126,51,335,-62090,140,-61390,139.0
91277,1097,-1,304,-70490,-12880,-71750,139.0
91287,1056,-32,275,-73080,-18270,-76720,136.0
91302,978,-105,223,-69160,-22680,-81760,140.0
91319,951,-85,150,-56420,-29470,-91420,139.0
91334,939,-95,117,-48160,-31640,-99050,139.0
91344,912,-119,64,-38360,-33390,-102550,139.0
91359,841,-59,42,-19040,-33810,-105560,143.0
91374,816,-2,57,-6300,-34230,-109410,143.0
91384,796,19,58,-2800,-34580,-110670,142.0
91399,724,81,65,-980,-35000,-111580,138.0
91414,723,110,80,-1190,-36330,-111090,138.0
91424,732,142,128,-1820,-37310,-109760,137.0
91439,760,131,129,-2100,-39270,-106400,139.0
91454,785,137,110,1330,-43400,-104090,139.0
91464,819,118,112,6160,-45010,-101150,135.0
91479,862,92,93,13230,-47600,-94920,136.0
91494,912,95,58,32830,-48230,-91560,133.0
91509,936,83,4,55930,-48020,-83860,133.0
91519,953,71,-6,67620,-47530,-80080,128.0
91534,986,65,-13,78400,-46830,-76510,132.0
91557,1030,50,-36,105840,-44240,-66220,129.0
91575,1029,47,-39,112560,-41720,-60270,129.0
91590,1062,59,-55,120610,-39830,-57890,129.0
91600,1099,88,-57,122430,-38150,-55790,123.0
91615,1133,83,-20,123340,-34440,-51730,124.0
91630,1133,61,-15,123340,-33180,-49910,124.0
91640,1117,57,-11,123340,-32060,-48370,125.0
91655,1102,42,3,123200,-30240,-45640,123.0
91670,1072,48,12,123130,-29470,-42490,123.0
91680,1042,249,25,122640,-28420,-40040,120.0
91695,979,176,22,108640,-27860,-40460,124.0
91710,922,102,47,87990,-26880,-38220,124.0
91720,879,169,57,76580,-26810,-36960,121.0
91735,834,110,-1,64260,-26530,-36470,121.0
91750,827,120,31,37380,-24220,-36330,120.0
91765,925,182,19,22610,-22960,-36190,120.0
91775,975,197,46,5530,-21280,-35490,116.0
91790,1660,-592,465,-7630,-18410,-19600,115.0
91805,748,-272,-554,61320,-12180,5040,115.0
91815,1389,-512,0,87290,22820,34650,118.0
91836,1367,-1910,486,40390,27720,59990,114.0
91851,846,134,-93,23170,23870,64400,113.0
91866,737,935,-490,2240,16660,57260,113.0
91876,892,139,-137,-13720,12810,54740,116.0
91891,1200,-324,135,-24570,9660,54950,116.0
91906,928,119,-366,-37660,5040,51100,116.0
91916,944,55,-299,-40460,5180,48020,112.0
91931,1025,-119,-300,-32130,10710,41510,115.0
91946,1003,-33,-365,-23940,15330,38080,115.0
