t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
27,1017,33,5,1400,0,-910,109.0
43,1016,38,11,1400,-140,-280,109.0
58,1020,31,-8,1540,-140,70,108.0
73,1024,32,-24,1540,560,630,112.0
88,1026,15,-28,1470,1120,770,110.0
103,1023,31,-13,1540,1890,1120,110.0
113,1020,24,7,1610,1680,1260,113.0
128,1008,29,54,1750,910,1260,109.0
143,1004,46,97,1750,-1400,1680,109.0
153,992,59,90,1750,-2940,2100,112.0
168,1012,39,49,1680,-4270,2660,110.0
183,1022,17,1,1680,-5250,2660,110.0
193,1022,7,-3,1610,-5180,2520,111.0
208,1020,7,-15,1470,-4620,2030,108.0
223,1022,3,-33,1330,-4270,1750,108.0
233,1023,13,-36,1330,-3710,1470,111.0
248,1019,19,10,1330,-3220,1330,112.0
263,1016,31,12,1330,-3360,1540,112.0
289,1018,38,9,1610,-4760,2380,113.0
304,1014,-6,-21,1680,-4550,2170,113.0
319,1022,17,-20,1750,-4060,2030,110.0
334,1021,-9,-43,1610,-3010,1330,109.0
349,1020,8,-44,1610,-2310,840,112.0
364,1022,11,-14,1750,-1540,490,112.0
374,1023,18,2,1960,-1400,560,111.0
389,1016,21,14,2030,-1470,560,114.0
404,1016,41,4,2030,-2100,630,114.0
414,1012,48,12,1890,-2240,910,112.0
429,1011,30,22,2240,-2870,1330,110.0
444,1013,86,4,2520,-3150,1820,110.0
454,1006,69,6,2030,-3290,2590,110.0
469,1012,39,6,2310,-4410,3710,113.0
484,1024,26,-18,2030,-4690,4410,113.0
494,1014,33,9,2310,-4690,4970,111.0
509,1021,47,-26,2730,-5110,5460,113.0
524,1018,30,-13,2590,-4830,6230,113.0
535,1019,26,-24,2520,-4550,6300,110.0
550,1023,-3,-48,2380,-3920,6230,110.0
565,1018,-13,-33,2170,-3290,5040,110.0
575,1018,-23,-33,2030,-3010,4270,110.0
590,1015,-24,-12,1820,-2800,3500,112.0
605,1014,0,-23,1750,-2870,2030,110.0
620,1020,0,-34,1680,-2450,1400,110.0
630,1018,-5,-30,1610,-2240,980,113.0
645,1016,20,-11,1540,-2310,840,113.0
660,1019,36,-14,1610,-2380,1400,113.0
670,1018,46,-16,1750,-2310,2030,109.0
685,1017,42,-6,1890,-2310,2800,113.0
700,1019,45,-41,2100,-2450,3850,113.0
710,1019,47,-35,2030,-2100,4550,112.0
725,1019,17,14,1820,-1890,5670,107.0
740,1026,57,-49,1610,-1540,6720,107.0
750,1040,73,-13,1960,-1330,7560,110.0
765,1047,125,-25,280,-980,8820,109.0
780,1015,12,-20,1820,-1190,9520,109.0
794,1014,29,10,3290,-1960,10290,110.0
809,1025,40,4,2730,-2310,10710,112.0
824,1020,26,-2,2170,-2590,11340,112.0
839,1018,20,-6,3080,-2940,11690,112.0
849,1021,15,-14,3850,-3220,12040,111.0
864,1019,11,-32,5320,-3290,12460,112.0
879,1018,-16,-54,6930,-3500,12530,112.0
889,1019,-28,-66,9730,-3570,12390,111.0
904,1019,-21,-47,16030,-3500,12250,115.0
919,1016,-22,-39,20790,-3780,12110,115.0
929,1017,-20,-32,21910,-3850,12040,112.0
944,1016,-13,-5,22400,-3920,12040,113.0
959,1018,-11,-3,21700,-4340,12180,111.0
974,1015,-15,0,20580,-4410,12320,111.0
984,1013,-26,-3,19390,-4480,12530,114.0
999,1020,-12,-1,16590,-4270,12740,114.0
1014,1021,-11,-18,15120,-3990,13020,114.0
1036,1017,-20,-30,11270,-3570,13440,115.0
1052,1016,-34,-22,10430,-3080,13650,115.0
1067,1022,-10,-9,8330,-3010,13930,115.0
1082,1024,-15,-5,5880,-2870,14700,114.0
1097,1016,-19,-14,4900,-2940,15190,114.0
1112,1014,-37,-10,3920,-3150,16170,114.0
1122,1020,-26,-15,3920,-3360,16590,116.0
1137,1019,-28,-11,3920,-3570,17010,117.0
1152,1014,-54,-27,4970,-4200,17990,117.0
1162,1011,-51,-33,5880,-4410,18410,115.0
1177,1018,-42,-23,7000,-4620,18970,120.0
1192,1012,-74,-34,10080,-5390,19180,120.0
1202,1016,-65,-46,11830,-5670,19390,119.0
1217,1016,-61,-47,15400,-5810,19950,118.0
1232,1013,-75,-79,17500,-5810,20230,118.0
1242,1017,-74,-81,19880,-5600,20510,119.0
1257,1019,-79,-95,25130,-5110,21000,117.0
1272,1009,-96,-90,27930,-4760,21210,117.0
1282,1008,-102,-81,30730,-4550,21630,118.0
1297,1010,-106,-78,35840,-4060,21630,121.0
