t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
120409,1000,40,224,1050,-980,2100,131.0,0
120519,1003,20,223,1190,-910,1610,131.0,0
120538,993,42,230,1540,-840,1540,135.0,0
120553,988,38,230,1120,-1120,1540,134.0,0
120568,1004,47,214,910,-1120,1750,135.0,0
120583,989,40,239,980,-1190,1890,135.0,0
120593,990,38,237,1260,-1260,1960,134.0,0
120608,992,45,232,1540,-1750,2310,134.0,0
120623,992,38,240,1330,-1890,2380,135.0,0
120638,985,45,247,1470,-2310,2660,135.0,0
120648,985,41,244,1750,-2660,2800,135.0,0
120663,989,46,248,1890,-3080,3220,136.0,0
120678,999,46,219,2660,-3080,3500,136.0,0
120688,1000,40,210,2800,-3010,3710,135.0,0
120703,1000,41,218,2730,-2870,3780,134.0,0
120718,997,32,225,2660,-2800,3780,134.0,0
120728,1000,26,221,2590,-2730,3710,136.0,0
120743,998,22,225,2450,-2800,3150,134.0,0
120758,992,25,230,2520,-2870,3010,134.0,0
120768,996,21,225,2450,-2940,2730,135.0,0
120783,998,20,216,2380,-3080,2170,133.0,0
120800,1000,30,215,2100,-3010,1750,133.0,0
120810,1005,29,204,1820,-2870,1610,136.0,0
120825,1004,32,205,1610,-2660,1470,131.0,0
120840,1003,34,203,1890,-2170,1400,135.0,0
120866,1008,42,201,2030,-1610,1400,132.0,0
120881,997,31,222,1540,-1400,1470,132.0,0
120896,997,33,221,1330,-1400,1330,132.0,0
120906,998,35,220,1330,-1400,1260,130.0,0
120921,992,35,236,1120,-1540,1190,134.0,0
120936,987,45,242,630,-2030,1260,134.0,0
120946,987,30,231,910,-2240,1330,133.0,0
120961,998,34,223,1260,-2520,1540,131.0,0
120976,991,37,239,1960,-2870,1540,131.0,0
120986,993,38,224,2170,-3080,1610,133.0,0
121001,995,45,226,2310,-3570,1890,134.0,0
121016,998,50,213,2310,-3640,2100,134.0,0
121026,1005,43,201,2380,-3570,2310,133.0,0
121041,1002,42,213,2590,-3430,2660,134.0,0
121062,1008,38,195,2660,-3080,2730,133.0,0
121077,1006,32,193,2170,-2730,2520,132.0,0
121092,998,26,212,1750,-2590,2310,132.0,0
121102,1005,11,198,1890,-2450,2100,134.0,0
121117,1025,8,164,3220,-1120,1400,133.0,0
121132,977,39,247,1470,-1890,1050,133.0,0
121142,998,24,210,1260,-2100,910,131.0,0
121157,1017,49,173,910,-1890,1120,135.0,0
121172,1014,35,191,210,-1330,1120,135.0,0
121182,991,47,217,280,-840,1470,130.0,0
121197,999,21,194,840,-770,1610,134.0,0
121212,1003,40,230,1680,-1050,1610,134.0,0
121222,983,22,234,1470,-1470,1610,132.0,0
121237,981,38,245,2100,-1890,1750,133.0,0
121252,985,41,249,1890,-2940,1960,133.0,0
121262,987,33,228,2170,-3360,2030,131.0,0
121277,992,47,223,2030,-3640,2170,134.0,0
121292,997,47,205,2170,-3780,2520,134.0,0
121305,1006,48,193,2450,-3710,2800,134.0,0
121320,1010,47,188,2730,-3290,3150,133.0,0
121335,1004,47,200,3010,-3010,3360,132.0,0
121350,1005,43,197,2730,-2660,3360,132.0,0
121360,1005,15,185,2660,-2450,3290,132.0,0
121375,1004,31,224,2590,-2100,2800,134.0,0
121390,1003,36,203,2310,-2240,2590,134.0,0
121400,1005,16,196,2030,-2100,2380,132.0,0
121415,1005,32,193,1330,-1750,1820,134.0,0
121430,1007,31,196,1120,-1470,1610,134.0,0
121440,1004,34,200,980,-1260,1470,137.0,0
121455,1003,25,198,1050,-1190,1260,133.0,0
121470,1002,39,198,1680,-840,1400,133.0,0
121480,1000,51,189,1750,-700,1330,133.0,0
121495,1000,33,220,1540,-630,1400,132.0,0
121510,1000,34,208,1680,-490,1330,132.0,0
121520,1002,43,212,1330,-630,1330,131.0,0
121535,992,31,226,1610,-910,1330,132.0,0
121550,994,43,216,2100,-1120,1470,135.0,0
121569,994,29,228,2310,-1540,1540,135.0,0
121579,993,41,219,2100,-1820,1680,132.0,0
121594,1004,49,213,2170,-1820,1890,134.0,0
121609,996,45,225,2310,-2240,1960,134.0,0
121624,997,46,205,2520,-2310,2450,134.0,0
121634,1003,54,198,2310,-2030,2590,134.0,0
121649,1005,46,216,1190,-2380,2520,133.0,0
121664,998,36,202,700,-2310,2730,133.0,0
121674,1003,44,216,420,-2100,2730,133.0,0
121689,1003,33,206,700,-1890,2660,131.0,0
121704,1007,23,202,1190,-1750,2450,131.0,0
121714,1003,34,202,1330,-1820,2380,133.0,0
121729,999,29,206,1610,-1960,2240,131.0,0
121744,1008,40,193,1050,-1750,2100,131.0,0
121754,1008,20,202,350,-1680,1960,131.0,0
121769,986,36,212,700,-1890,1680,131.0,0
121784,1009,40,196,0,-1820,1750,131.0,0
121794,1009,40,196,70,-1680,1820,132.0,0
121809,1005,37,195,140,-1260,2030,130.0,0
121826,1003,47,197,-210,-1050,2310,135.0,0
121841,994,34,217,0,-980,2380,135.0,0
121857,993,34,222,700,-1400,2520,132.0,0
121872,989,27,232,980,-1750,2380,134.0,0
121887,990,33,225,1120,-2730,2380,133.0,0
121902,991,36,224,1260,-2940,2310,133.0,0
121912,995,30,201,1470,-3080,2310,133.0,0
121927,1000,31,204,1890,-3080,2310,130.0,0
121942,1004,32,196,1960,-2870,2240,130.0,0
121952,1006,37,192,1680,-2870,2240,131.0,0
121967,1004,31,196,1540,-2730,2240,132.0,0
121982,1005,35,193,1190,-2730,2170,132.0,0
121992,1006,33,193,1120,-2660,2100,134.0,0
122007,1001,30,201,980,-2520,2030,131.0,0
122022,999,36,206,1120,-2450,1890,131.0,0
122032,1000,39,206,1190,-2450,1960,130.0,0
122047,1001,39,202,1190,-2450,2100,129.0,0
122062,1002,39,202,1050,-2520,2240,129.0,0
