t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
30105,1221,40,162,25130,-40530,-88690,137.0
30223,1159,22,127,48790,-48160,-80290,137.0
30252,970,11,5,86520,-54250,-66710,152.0
30265,841,39,-54,98490,-55580,-61670,152.0
30278,775,73,-89,109060,-55650,-50680,156.0
30292,609,112,-77,122780,-55440,-44800,156.0
30302,553,78,-85,127050,-55440,-39270,159.0
30315,518,167,-80,130830,-55300,-33880,161.0
30328,523,165,-44,137550,-55790,-21280,161.0
30338,579,176,-7,140210,-56700,-15050,164.0
30351,679,251,1,142590,-57680,-8330,164.0
30361,705,237,-36,144270,-58240,-1470,163.0
30374,731,256,-71,145180,-57750,10850,163.0
30387,740,264,-76,144550,-54180,16310,163.0
30398,724,100,-96,143080,-52010,21140,162.0
30412,773,144,-76,140070,-49560,22960,156.0
30425,762,262,-44,129360,-44170,24990,156.0
30435,789,188,-9,122430,-41930,25550,155.0
30448,870,238,-49,113680,-40110,25760,155.0
30458,915,232,16,103670,-37660,25480,153.0
30471,956,249,11,93170,-34090,24150,150.0
30484,999,246,34,72170,-31920,23380,150.0
30497,1059,247,41,61670,-30380,22470,143.0
30510,1118,253,66,41440,-27720,20370,139.0
30523,1006,240,152,31920,-26950,19180,139.0
30533,800,175,192,22680,-27510,17500,136.0
30546,550,217,263,14630,-29400,12740,136.0
30556,260,33,330,6370,-32900,7630,132.0
30569,-14,48,332,-4830,-43680,2240,125.0
30582,623,702,-552,560,-52290,-5810,125.0
30592,1122,-821,625,43540,-60480,29680,117.0
30605,1963,-836,487,46830,56560,83020,117.0
30615,-1037,953,-556,113400,1050,77910,115.0
30628,-1279,-1575,-973,117250,-10850,69930,114.0
30641,1708,-1173,1201,176960,21280,57820,114.0
30651,1308,100,-325,151620,1330,55930,113.0
30664,659,-488,-1997,-58310,-6510,51940,113.0
30674,739,-188,-63,-41440,-11900,39410,111.0
30687,900,-383,-725,840,700,31220,112.0
30700,747,5,-813,-13930,1050,20230,112.0
30710,1115,-229,-269,-9800,3150,15680,111.0
30723,1011,-165,-482,-5040,6580,13160,111.0
30733,956,64,-536,-1960,8610,10640,108.0
30746,943,-93,-478,-1120,11480,7630,112.0
30761,958,-29,-397,1190,17850,1890,112.0
30771,947,-68,-408,2590,19180,-350,110.0
30784,966,18,-429,3220,21420,-1750,110.0
30794,955,18,-447,3640,23660,-2870,114.0
30807,939,88,-467,4550,27930,-3570,108.0
30820,940,31,-286,4060,28560,-3920,108.0
30830,979,204,-234,5250,29120,-3570,109.0
30843,941,135,-143,4340,27580,-2240,109.0
30853,954,174,-49,4410,24990,-630,109.0
30866,975,223,35,2660,17430,4130,112.0
30879,952,177,-193,1960,14560,6440,112.0
30889,965,135,-173,840,12740,8260,110.0
30902,972,120,-181,280,11270,10220,110.0
30912,977,108,-254,-280,10290,10780,108.0
30925,972,53,-230,-910,10080,10780,107.0
30938,975,49,-203,-1050,9730,10430,107.0
30948,983,51,-170,-1050,8960,10010,109.0
30961,991,72,-142,-1050,6790,9800,109.0
30971,987,81,-138,-700,5390,10010,111.0
30984,977,77,-196,-560,4270,10150,114.0
30997,983,77,-218,-490,3500,10290,114.0
31010,975,79,-254,-560,3220,10430,107.0
31023,971,66,-224,0,3010,10290,110.0
31036,977,67,-231,-210,2590,10360,110.0
31046,984,36,-268,-630,2450,10080,112.0
31059,986,48,-312,-630,3640,9660,112.0
31069,987,14,-329,-630,4970,8960,110.0
31082,974,-19,-330,-490,6510,7770,110.0
31095,968,-57,-358,-140,9800,4340,110.0
31105,966,-63,-330,490,11200,2310,109.0
31118,974,-49,-280,2240,12180,280,109.0
31128,970,-33,-294,3290,12950,-1470,107.0
31141,971,-1,-271,3990,13790,-2800,110.0
31154,988,48,-222,4830,14490,-3640,110.0
31164,989,89,-226,4480,14770,-3150,105.0
31177,986,72,-258,4340,15330,-2660,105.0
31187,992,78,-255,4340,16100,-2310,106.0
31200,984,69,-308,4130,17080,-1960,105.0
31213,982,20,-360,3080,20510,-2100,105.0
31223,1000,-24,-414,2800,23240,-2870,107.0
31241,980,124,-374,3850,28770,-3220,110.0
31255,1000,104,-374,3990,31780,-2940,110.0
31268,994,163,-378,4130,37800,420,108.0
