t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
30075,649,84,108,37170,-5320,-5600,164.0,0
30180,655,82,81,33670,-5600,-6930,164.0,0
30210,703,57,81,21140,-6090,-11060,169.0,0
30225,716,32,81,17150,-6160,-11690,169.0,0
30240,722,36,33,14980,-6510,-12600,164.0,0
30255,700,23,20,13580,-6650,-13160,164.0,0
30270,695,26,23,10920,-5740,-13510,164.0,0
30280,677,25,-31,10150,-5320,-13440,159.0,0
30295,641,-41,-28,9380,-4130,-13860,153.0,0
30310,621,4,-32,10080,-3920,-13160,146.0,0
30325,601,-84,-34,10850,-3360,-13580,146.0,0
30335,608,-81,-23,11130,-2450,-14770,138.0,0
30350,667,-134,9,11620,-2450,-16030,129.0,0
30365,709,-117,12,11550,-3570,-19670,129.0,0
30375,741,-124,17,38500,-21350,-28910,115.0,0
30390,902,-1494,-68,-63980,-89810,23450,108.0,0
30405,377,958,66,22260,350,22120,108.0,0
30415,338,664,-212,17570,-10500,22260,112.0,0
30430,1204,-430,152,-5460,-31150,18130,107.0,0
30447,691,331,-199,9660,-18550,10080,107.0,0
30457,864,-118,-118,8120,-22820,10150,110.0,0
30472,1326,-341,9,24640,-14980,8190,106.0,0
30487,1046,175,-416,28980,-12880,7910,107.0,0
30502,992,-27,-31,-2590,-9380,7490,107.0,0
30512,1054,138,80,3080,-6230,6650,106.0,0
30527,1007,66,-210,6090,-5180,6300,110.0,0
30542,1053,-42,-118,1680,-1610,4690,110.0,0
30552,1027,6,49,1470,1750,2870,107.0,0
30567,1001,-43,50,1260,140,840,109.0,0
30582,1025,-23,-97,630,1890,-630,109.0,0
30592,1037,70,33,-420,2870,-1330,109.0,0
30607,1034,84,-89,70,3850,-1330,105.0,0
30622,1020,90,-73,-1050,4130,-770,105.0,0
30632,1029,116,-11,-1750,4690,490,111.0,0
30647,1010,85,-15,-1260,4900,1330,108.0,0
30662,1025,120,3,-1540,3850,2660,108.0,0
30672,998,134,46,-3080,2800,3500,105.0,0
30687,1000,101,33,-6510,1680,4130,108.0,0
30708,1004,86,61,-8190,-210,5250,108.0,0
30723,1030,-22,74,-5530,-1540,5880,108.0,0
30733,1016,26,108,770,-1680,6090,108.0,0
30748,1029,65,10,5110,-3080,6090,107.0,0
30763,1008,52,69,2240,-3080,5740,107.0,0
30778,1022,29,-17,2380,-3920,5180,107.0,0
30788,1019,46,-9,2310,-3640,4900,108.0,0
30803,1017,49,-43,2310,-3570,4690,109.0,0
30818,1023,33,-18,1960,-2590,3920,109.0,0
30828,1019,-5,-48,1820,-2170,2940,108.0,0
30843,1023,122,-77,1960,-1470,2380,110.0,0
30858,1016,4,-24,1610,-70,3360,110.0,0
30868,1021,50,-65,1610,420,3010,109.0,0
30883,1020,44,-20,1400,1540,2590,108.0,0
30898,1019,42,-44,1260,1680,2450,108.0,0
30908,1018,39,-12,1190,2240,2240,108.0,0
30923,1018,47,-6,1050,2520,2030,107.0,0
30938,1019,49,-11,1050,2870,1960,107.0,0
30951,1019,62,-12,700,3290,2100,110.0,0
30966,1021,53,-4,490,3570,2240,106.0,0
30981,1023,41,-19,910,3780,2310,106.0,0
30996,1027,17,-25,1260,3920,2240,106.0,0
31006,1018,47,0,1470,4200,1960,107.0,0
31021,1017,37,-8,1400,4060,1610,111.0,0
31036,1020,37,-11,1400,4200,1260,111.0,0
31046,1018,46,6,1400,4480,1190,105.0,0
31061,1024,30,-17,1330,4620,1050,110.0,0
31076,1021,34,-12,1190,5250,490,110.0,0
31086,1020,41,13,1260,5390,350,108.0,0
31101,1019,44,15,1400,5180,420,112.0,0
31116,1018,39,57,1330,4690,210,112.0,0
31126,1007,67,31,1330,3990,350,107.0,0
31141,1014,74,26,1050,3640,910,108.0,0
31156,1021,54,31,-910,2590,1120,108.0,0
31166,1010,38,42,-490,2380,1400,108.0,0
31181,1014,74,52,770,1680,2170,107.0,0
31202,1018,64,64,2310,840,2730,109.0,0
31221,1026,41,53,4830,-210,3570,110.0,0
31236,1008,42,44,6580,-560,4270,109.0,0
31251,997,46,113,7560,-1750,4200,109.0,0
31261,960,80,120,6580,-2800,3920,110.0,0
31276,1051,81,44,5740,-4620,3500,109.0,0
31291,1233,209,-11,-70,-5810,3850,109.0,0
31301,919,-91,68,-560,-1330,5110,111.0,0
31316,1261,29,145,910,-4270,420,110.0,0
31331,1156,178,212,4620,-3290,630,110.0,0
31341,1224,71,29,8750,-3640,2170,111.0,0
31356,1145,18,0,18130,-2940,2590,110.0,0
31371,1177,77,172,21490,-1960,3080,110.0,0
31381,1183,107,144,24570,-1960,3360,114.0,0
31396,1144,94,81,28070,-2380,3290,118.0,0
31411,1181,101,108,29120,-1750,3010,118.0,0
31421,1186,107,130,29890,-980,2940,119.0,0
31436,1133,109,96,31080,-1050,2940,123.0,0
31451,1133,113,109,32760,-1050,3290,123.0,0
31461,1113,105,124,33250,-420,3290,128.0,0
31478,1047,81,74,33250,-70,2660,132.0,0
31493,1031,111,122,31360,420,2380,139.0,0
31508,1011,81,117,27300,420,1890,139.0,0
31518,968,79,93,25270,140,1680,140.0,0
31533,910,73,96,22820,490,1610,145.0,0
31548,872,69,69,18130,1190,1120,145.0,0
31558,839,89,61,16030,1330,1190,149.0,0
31573,802,60,70,14000,1610,840,151.0,0
31588,746,63,57,10710,1820,560,151.0,0
31598,746,44,44,9870,1960,560,149.0,0
31613,742,7,49,9660,2940,-70,155.0,0
31628,717,40,71,10500,3010,-420,155.0,0
31638,720,16,56,11480,2730,-350,152.0,0
31653,719,0,52,14560,2800,-910,150.0,0
31668,728,20,40,15960,3220,-980,150.0,0
31678,738,12,47,17430,3430,-910,151.0,0
31693,739,29,54,19740,3430,-1190,149.0,0
31708,762,27,58,19880,3500,-1540,147.0,0
31723,756,48,65,19390,3430,-1750,147.0,0
31738,764,48,73,18900,3080,-1890,141.0,0
31753,701,16,30,15960,3570,-3080,139.0,0
31768,634,44,68,10640,4550,-5320,131.0,0
31783,529,-35,25,7280,4970,-7770,131.0,0
31793,484,-40,33,3290,5880,-10570,126.0,0
31808,470,-71,29,-5740,7280,-17290,116.0,0
31823,487,-540,158,2170,-18480,2450,116.0,0
31833,247,160,-442,-77350,-97440,12250,111.0,0
31848,469,-388,396,-1820,-18690,14210,112.0,0
31863,951,-836,-200,-8330,-34090,7210,112.0,0
31873,1285,55,-284,14840,-27020,7140,110.0,0
31888,850,-236,388,33810,-16240,9590,110.0,0
31903,1082,-242,-665,55090,-13720,10850,110.0,0
31913,1276,154,-250,60270,-4200,11830,109.0,0
