t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
180628,998,-178,-86,-1750,6580,3500,107.0
180747,991,-182,50,210,6300,-70,107.0
180766,966,-76,88,1540,2660,-1470,104.0
180781,1034,46,6,1050,1820,-980,106.0
180796,1035,118,52,1540,910,1960,104.0
180811,1039,138,64,1260,0,6580,104.0
180821,1011,57,79,350,-910,8260,106.0
180836,1021,56,70,1680,-4480,9590,107.0
180851,1004,-29,44,2170,-7070,10080,107.0
180861,959,-196,21,2520,-7980,8680,105.0
180876,981,-183,-33,3010,-8190,6650,108.0
180891,1008,-199,-107,1750,-6160,1330,106.0
180906,985,-281,-122,2310,-4410,-1750,106.0
180916,956,-310,-63,2520,-2800,-5250,105.0
180931,945,-271,-25,3570,-2660,-12810,104.0
180946,970,-214,-20,3920,-2870,-19320,104.0
180956,957,-220,7,4130,-3150,-22400,105.0
180971,970,-197,-75,3640,-1540,-25340,106.0
180986,1102,80,-89,4410,-910,-29330,106.0
180996,1196,393,-42,2800,-350,-28280,105.0
181011,1036,116,96,3290,-1260,-26880,101.0
181028,997,25,85,2240,-4130,-19950,101.0
181038,1008,212,109,3850,-5880,-16730,103.0
181053,1013,174,33,3080,-7910,-8540,102.0
181068,994,242,-6,2940,-8680,-4410,102.0
181092,1020,122,-16,2590,-8330,5320,104.0
181107,1017,18,-54,2590,-7840,6510,104.0
181122,1020,-28,-58,2520,-7000,6090,104.0
181137,1025,-36,-68,2590,-6440,5250,102.0
181152,1028,-36,-104,2660,-4690,3920,102.0
181162,1026,-38,-113,2590,-3500,3220,103.0
181177,1026,-40,-89,2380,-1190,1680,102.0
181192,1016,-35,-40,2310,-350,910,104.0
181207,1004,-7,11,2380,-1330,0,104.0
181217,1008,13,10,2590,-1960,350,101.0
181232,1009,48,-1,2660,-2380,1120,102.0
181247,1016,50,-62,2730,-2660,3290,102.0
181257,1022,23,-54,2660,-2100,4200,104.0
181272,1020,-6,-69,2520,-1470,4480,104.0
181291,1017,-14,-30,2450,-560,3990,106.0
181306,1021,-33,-53,2100,-140,3430,106.0
181316,1021,-27,-63,2030,140,2800,105.0
181331,1024,-24,-84,2100,1750,1890,101.0
181346,1032,-43,-96,2030,2940,1400,101.0
181356,1033,-34,-104,2100,4060,700,104.0
181371,1029,-36,-81,2310,6510,-350,102.0
181386,1048,-26,-109,2520,7490,-980,102.0
181396,1053,-20,-122,2170,8540,-1400,100.0
181411,1049,15,-74,1890,10850,-1330,103.0
181426,1053,43,-73,1890,11620,-490,103.0
181436,1066,48,-111,1820,13160,560,105.0
181451,1114,135,-139,4270,14280,2170,107.0
181466,1080,233,-150,-2170,18900,4830,107.0
181476,1050,7,-155,-490,21490,6510,105.0
181491,1165,194,-326,910,25270,8750,106.0
181506,1153,197,-226,-1540,33950,12950,106.0
181516,1122,58,-176,-630,37730,14070,107.0
181531,1104,130,-150,560,40600,15960,109.0
181548,1090,515,353,-13160,45850,18200,110.0
181563,1042,560,304,-50540,46970,18970,110.0
181573,1024,481,370,-68250,46830,19740,113.0
181588,894,476,420,-80920,44310,20720,112.0
181603,903,238,365,-92540,37380,25900,112.0
181613,923,235,235,-96320,35280,29190,117.0
181628,971,248,173,-100240,34020,36470,116.0
181643,1002,234,218,-104090,28070,40250,116.0
181653,955,183,204,-107450,26460,43330,121.0
181668,956,174,177,-111650,22960,49350,122.0
181683,1039,156,120,-114520,21000,52010,122.0
181693,1050,-1,48,-116410,19670,53760,123.0
181708,921,231,1,-117530,18060,58590,123.0
181723,1032,-124,-13,-112280,17780,60270,123.0
181733,1063,-211,150,-106890,16660,59570,129.0
181748,1205,-376,130,-51660,14140,58380,126.0
181763,1214,-383,94,-12460,10430,51800,126.0
181773,1178,-312,127,24220,7980,47460,129.0
181788,1115,-233,177,77070,5740,41860,131.0
181807,969,20,113,92190,770,29820,134.0
181822,994,-306,-32,86520,-560,16240,134.0
181832,948,0,135,78680,-2030,9100,134.0
181847,955,-16,-19,71330,-1960,4130,137.0
181862,907,-3,-62,52220,-140,-7490,137.0
181872,903,24,-66,43400,1400,-12250,142.0
181887,913,0,-33,34790,3500,-20860,141.0
181902,902,13,-63,17640,7840,-25340,141.0
181917,884,25,-46,9450,11550,-33110,141.0
181927,869,45,-30,-9450,12880,-36820,142.0
181942,842,39,57,-20230,13020,-40880,143.0
