t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
150514,910,40,-43,28280,-4130,-79520,135.0
150637,986,56,2,25690,-3290,-79800,135.0
150652,1063,60,24,21420,-1120,-79030,128.0
150667,1226,53,33,19530,-700,-78610,127.0
150682,1271,59,88,15960,-630,-77840,129.0
150696,1284,90,94,14070,-1540,-77420,129.0
150706,1268,88,83,11760,-2590,-76580,126.0
150721,1246,128,114,7070,-4690,-74270,126.0
150736,1240,131,136,4760,-8260,-70630,126.0
150746,1243,152,166,2240,-10920,-68670,127.0
150761,1241,104,209,-2380,-14280,-67200,130.0
150776,1230,122,217,-3850,-21630,-63980,130.0
150790,1202,154,200,-3430,-24990,-61600,131.0
150805,1144,151,190,-1610,-31360,-56070,138.0
150820,974,156,113,-420,-33600,-53060,137.0
150835,865,187,69,2100,-35910,-46900,137.0
150845,742,154,63,2800,-36610,-44170,139.0
150860,631,159,43,3150,-37100,-40250,139.0
150875,653,192,22,7840,-38150,-38850,139.0
150885,685,44,-17,15050,-37310,-35420,141.0
150916,807,40,9,49840,-33600,-27090,143.0
150931,833,60,33,76510,-31080,-20650,143.0
150946,816,118,34,86240,-30380,-17570,142.0
150961,792,188,129,96530,-29750,-11060,139.0
150976,760,146,34,97860,-29960,-5390,138.0
150991,744,223,96,94010,-27650,-3290,138.0
151001,789,151,68,90510,-27440,-770,141.0
151016,844,180,95,81130,-26740,1680,138.0
151031,962,256,36,75390,-25480,3290,138.0
151044,1007,262,101,68740,-22190,6860,133.0
151059,1107,320,24,53060,-19950,8820,128.0
151074,1120,331,46,34790,-14000,13370,128.0
151084,1136,342,20,24150,-10500,15330,127.0
151099,1110,353,17,13580,-7140,17780,121.0
151114,1146,363,74,-11690,420,18270,123.0
151129,1522,467,-175,-23310,2940,30590,123.0
151139,1995,-340,-767,10570,1540,56210,120.0
151154,1274,72,-41,99750,14000,64260,120.0
151169,834,1092,-855,99050,23030,61390,120.0
151179,379,656,165,83860,17080,54250,117.0
151194,509,467,-276,67760,18270,45920,116.0
151209,1564,-372,245,100100,25830,51030,116.0
151219,1652,-473,-169,91910,22470,50820,116.0
151234,711,570,-586,81690,23940,49420,117.0
151249,646,10,-420,50260,21000,43120,117.0
151259,1171,41,-165,35910,21070,41160,114.0
151274,1093,84,-382,16170,18480,38850,113.0
151289,905,320,-256,-21630,16520,37380,113.0
151306,964,210,-201,-57050,12180,36400,110.0
151321,985,189,-137,-70630,9940,36190,110.0
151336,962,158,-55,-86310,5460,36120,111.0
151351,971,125,16,-87710,2240,35630,112.0
151366,1022,1,73,-80150,1050,34930,112.0
151376,1028,-27,72,-71680,350,33810,110.0
151391,1019,-22,60,-47810,1120,30660,113.0
151406,1012,-9,-5,-34370,2450,29050,113.0
151416,1013,-11,-45,-20300,4690,27510,111.0
151431,1024,12,-79,7070,10710,24570,111.0
151446,1052,-3,-157,18200,13580,22260,111.0
151456,961,57,-78,28350,17150,20860,108.0
151471,1069,25,-90,33950,19040,20790,110.0
151486,967,129,16,28000,17710,19740,110.0
151496,1000,161,-133,22540,17220,19460,108.0
151511,939,172,-36,16240,16730,19180,106.0
151526,1053,-85,7,4340,14420,16730,106.0
151536,1005,167,-9,-1610,13090,15750,108.0
151551,1014,24,-63,-3570,11830,15260,107.0
151568,1016,99,0,-1680,12390,15330,107.0
151583,997,72,-9,2590,12880,15260,107.0
151593,993,88,-21,4270,13090,15190,106.0
151608,1033,81,30,4970,13160,15260,104.0
151623,1022,106,42,2310,11060,15890,104.0
151633,1024,157,172,700,10430,16450,106.0
151648,995,102,64,-1400,7420,17920,107.0
151663,986,134,96,-70,3640,18830,107.0
151673,986,126,125,350,1750,19950,107.0
151688,980,161,76,1750,-1820,23100,103.0
151703,973,208,25,910,-3150,25130,103.0
151713,971,192,30,490,-3850,27370,104.0
151728,968,200,-5,630,-5040,31570,102.0
151743,995,122,-3,630,-5180,33390,102.0
151753,980,153,12,840,-5390,37380,106.0
151768,1128,-165,75,2940,-7840,38010,102.0
151783,1077,142,-15,5250,-8120,37170,102.0
151793,1086,-230,-118,3150,-8540,34650,100.0
151808,1112,20,42,4690,-6930,31360,103.0
151827,1049,-53,-137,1610,-3710,25690,103.0
151842,957,-300,-114,700,-980,19600,103.0
151852,953,-267,-69,1680,-490,16870,104.0
151867,1052,0,-56,910,560,15190,106.0
151882,1037,23,-87,-1540,2380,14070,106.0
151892,1048,104,-85,-2940,3150,14280,105.0
151913,1108,420,98,-19180,7630,14210,106.0
151928,1072,94,-101,-38360,13160,16310,103.0
151943,1165,17,-433,-28000,17010,18830,104.0
151958,1182,439,-78,-43190,27580,20650,104.0
151968,1103,300,-206,-60830,32970,20020,108.0
151983,1141,238,-135,-76860,39760,19320,111.0
151998,1158,249,-226,-96110,49350,20230,111.0
152008,1136,373,-168,-100310,53340,20930,108.0
152023,1115,259,-32,-110250,58940,24290,113.0
152038,1059,313,-21,-135030,60060,26460,113.0
152048,970,284,63,-148540,59640,27580,111.0
152063,821,402,88,-184380,51520,27160,116.0
152082,670,407,532,-193340,33740,24640,115.0
152097,1210,254,458,-192220,31430,24500,115.0
152107,1262,285,300,-185430,20580,23660,119.0
152122,1284,-9,128,-144970,9170,23590,120.0
152137,1081,-139,-26,-102340,6650,27790,120.0
152147,1090,-129,210,-55510,6510,28350,125.0
152162,977,-16,219,27510,6020,29470,127.0
152177,925,119,114,55300,3290,28840,127.0
152187,866,185,175,77840,840,29050,128.0
152202,870,137,4,79310,-1050,29260,128.0
152217,823,301,166,71330,-280,28140,128.0
152227,828,153,40,66220,-700,27790,131.0
152242,777,151,82,59150,280,27790,131.0
152257,813,62,137,45430,140,24360,131.0
152267,875,35,192,38430,-1260,21210,134.0
152282,1040,-11,216,32830,-6790,14000,135.0
152297,1036,-130,309,28280,-10780,9310,136.0
152312,1001,-145,242,31780,-19880,-1330,136.0
152322,949,-174,230,36120,-23590,-6720,129.0
152339,920,-246,134,41580,-26250,-18690,135.0
152354,937,-225,83,53900,-29400,-24710,135.0
152364,962,-214,58,59220,-30170,-30380,138.0
152379,973,-172,52,63630,-30590,-41230,132.0
152394,1001,-134,48,62860,-31360,-46130,132.0
152404,985,-119,20,59850,-31220,-51240,129.0
152419,949,-46,-29,49140,-30030,-59500,132.0
152434,919,-12,-71,44100,-28210,-62300,132.0
152444,873,-16,-75,39480,-25340,-64540,131.0
152459,833,-2,-153,30380,-17850,-69160,132.0
152474,806,46,-143,26040,-9030,-71890,126.0
152489,838,41,-43,14980,-6230,-72940,126.0
152499,882,30,-18,8190,-3920,-74270,126.0
152514,916,57,13,-4060,-700,-76510,126.0
152529,1048,53,33,-8610,350,-77140,126.0
152539,1119,74,27,-11690,1470,-77140,128.0
152554,1154,83,53,-16100,4130,-75880,123.0
152569,1184,89,125,-18760,4690,-75180,123.0
152579,1210,80,132,-22120,3850,-74270,123.0
152598,1245,109,215,-29400,700,-72660,120.0
152613,1280,112,264,-33320,-5320,-71260,120.0
152628,1288,114,263,-33670,-13020,-67830,120.0
152638,1274,103,275,-33460,-17150,-66430,120.0
152653,1234,73,252,-32060,-21140,-65310,122.0
152668,1197,147,239,-28630,-28210,-61810,122.0
152678,1144,83,197,-26530,-30730,-59990,124.0
152693,1053,-38,120,-24290,-32620,-58590,128.0
152708,1074,-21,-29,-6020,-31220,-54110,128.0
152718,1001,50,-81,6650,-29190,-51310,131.0
152733,887,3,-103,18550,-25970,-45990,133.0
152748,813,-2,-58,42350,-20510,-43750,133.0
152758,778,7,-8,53480,-18480,-41580,133.0
152773,763,49,-20,69790,-16310,-37030,134.0
152788,806,126,43,74340,-16100,-34230,134.0
152798,832,126,52,76720,-16170,-31080,133.0
152813,817,126,64,79240,-17080,-24990,135.0
152828,784,83,87,79870,-17640,-22750,131.0
152843,776,89,45,80360,-19040,-19110,131.0
152858,827,140,53,80780,-19110,-13720,130.0
152873,941,125,36,82250,-18690,-10570,129.0
152888,954,129,25,83300,-16870,-4760,130.0
152903,931,143,10,83580,-15540,-2030,130.0
152918,933,145,-26,83440,-12460,3640,131.0
152933,951,161,-8,81900,-10150,5460,127.0
152948,961,211,-5,71750,-6370,10010,125.0
152963,1121,215,26,66430,-4060,15330,125.0
152973,1173,186,4,60760,-2170,17080,121.0
152988,1209,220,29,45570,2310,18690,121.0
153003,1229,231,36,35630,6370,21140,121.0
153013,1251,246,58,18620,5320,24710,118.0
153028,1853,-1654,440,44800,16030,50750,116.0
153043,1474,-327,-344,83440,20230,64190,116.0
153053,751,140,-266,88340,21840,66080,114.0
153068,820,503,-172,86730,22400,63770,115.0
153083,725,350,-214,77280,23030,50750,115.0
153093,959,110,-129,74130,23800,48580,114.0
153110,1149,-121,-36,63560,22120,47040,111.0
153125,1070,142,-197,58590,21490,45920,112.0
153140,942,178,-170,35980,18550,42630,112.0
153150,895,167,-192,22610,16450,40880,113.0
153165,1013,132,-201,9590,14490,38150,110.0
153180,1022,87,-204,-14630,11760,37380,110.0
153190,989,129,-212,-26040,10570,36190,111.0
153205,972,146,-200,-47740,8120,34230,110.0
153220,991,80,-129,-57540,6580,33320,110.0
153230,1005,60,-98,-66220,4830,32270,107.0
153245,1017,68,-26,-79520,560,30520,106.0
153260,1022,4,3,-83510,-1680,29540,106.0
153270,1027,-26,24,-85610,-3990,28000,107.0
153285,1048,-108,26,-83440,-7070,24010,108.0
153300,1023,-105,32,-79380,-8190,18970,108.0
153310,993,-82,65,-74270,-8820,16030,104.0
153325,1035,-135,-37,-64540,-8470,13160,106.0
153340,1066,-124,-29,-48510,-5810,8260,106.0
153350,1053,-52,19,-40880,-5460,6930,106.0
153369,774,-70,-63,-26670,-4130,3360,102.0
153384,1060,96,-75,-23030,-2520,4270,105.0
153399,803,180,131,-8470,-1610,7070,105.0
153409,1080,74,-46,-1470,-1190,10010,105.0
153424,949,119,-9,9240,1470,13440,108.0
153439,942,257,-80,21840,2940,15260,108.0
153449,1009,185,-30,26180,4200,17430,104.0
153464,1056,149,-94,29050,5530,22050,102.0
153479,978,196,-135,26460,5670,23940,102.0
153489,984,178,-96,21910,5600,25480,104.0
153504,1003,139,-100,9240,4130,27720,103.0
153519,1002,107,-69,3430,3500,28490,104.0
153534,1001,67,-26,-3150,2030,29750,104.0
153544,1000,47,0,-2870,1680,30170,100.0
153559,1003,46,3,-140,1610,31290,102.0
153574,988,68,28,9590,2030,32060,102.0
153584,991,45,47,14700,2100,32970,99.0
153599,1336,-297,-180,9170,-490,33950,99.0
153614,1027,190,110,2520,350,32760,99.0
153629,1128,0,-45,11620,280,29190,101.0
153644,1026,-118,-24,10220,910,27650,102.0
153659,1034,-112,-108,4760,3010,25060,103.0
153674,985,-125,-137,3500,4060,23100,103.0
153684,1011,-51,-132,2870,6930,22540,104.0
153699,1021,-43,-98,2730,7980,22260,99.0
153714,1032,-6,-69,3780,9590,22960,99.0
153724,1048,36,-38,2730,10290,23940,105.0
153739,1042,5,-55,1680,10360,24780,102.0
153754,1031,-36,45,1890,9520,25760,102.0
