t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
85,1016,51,20,1540,-1120,2170,110.0,0
101,1016,49,9,1610,-1190,2100,110.0,0
116,1017,51,16,1540,-1120,2030,111.0,0
131,1017,53,18,1610,-1260,2030,108.0,0
146,1017,49,14,1610,-1330,1960,110.0,0
161,1017,53,12,1540,-1400,1960,110.0,0
171,1018,53,9,1540,-1260,1960,109.0,0
186,1017,53,7,1540,-1120,1960,111.0,0
201,1018,51,14,1540,-1050,1960,111.0,0
211,1018,50,13,1540,-1050,1960,110.0,0
226,1016,56,20,1610,-1120,1960,109.0,0
241,1018,57,13,1680,-1260,2100,109.0,0
251,1017,56,15,1610,-1190,2170,108.0,0
270,1017,53,8,1610,-1190,2170,110.0,0
285,1018,49,12,1540,-1050,2170,108.0,0
300,1018,51,6,1540,-840,2100,108.0,0
310,1018,48,6,1540,-700,1960,111.0,0
325,1019,55,9,1540,-630,1960,107.0,0
340,1019,52,9,1470,-490,2030,107.0,0
350,1017,54,13,1470,-490,2100,110.0,0
365,1019,57,9,1400,-490,2170,110.0,0
380,1018,44,9,1400,-420,2170,110.0,0
390,1019,37,0,1470,-280,1960,110.0,0
405,1017,39,10,1540,0,1540,109.0,0
420,1016,60,28,1470,-140,1540,109.0,0
430,1017,55,18,1470,-280,1610,111.0,0
445,1017,55,14,1400,-280,1750,109.0,0
460,1013,60,17,1400,-420,1890,109.0,0
470,1018,49,19,1400,-420,1960,111.0,0
485,1017,48,6,1400,-490,1890,109.0,0
500,1018,44,10,1540,-350,1680,110.0,0
515,1015,60,31,1540,-420,1610,110.0,0
530,1015,60,27,1540,-770,1820,108.0,0
545,1012,58,26,1470,-840,1960,107.0,0
560,1015,51,22,1540,-1190,2170,110.0,0
575,1015,46,28,1610,-1330,2100,110.0,0
585,1017,46,12,1610,-1400,1960,109.0,0
600,1015,47,43,1610,-1540,1750,111.0,0
615,1014,51,40,1610,-1890,1680,111.0,0
625,1013,51,38,1610,-2170,1680,112.0,0
640,1014,52,31,1610,-2800,1680,111.0,0
655,1013,49,29,1610,-3220,1610,111.0,0
665,1014,47,33,1610,-3430,1540,110.0,0
680,1018,58,22,1680,-3570,1540,110.0,0
695,1019,48,3,1470,-3430,1400,110.0,0
705,1020,44,1,1750,-3290,1470,111.0,0
720,1028,79,-13,1820,-3360,1750,111.0,0
735,1034,91,-31,1890,-2100,2590,111.0,0
745,1028,80,-66,1890,-1470,3080,110.0,0
760,1050,104,-109,2100,-210,4480,110.0,0
775,1171,17,-71,560,210,5180,110.0,0
788,1171,241,78,2170,3080,9870,107.0,0
803,1543,-72,-48,17710,2660,12740,112.0,0
818,1571,76,-71,26040,6580,13160,113.0,0
833,1410,71,171,32060,5600,15400,113.0,0
843,1452,155,99,34020,3640,17570,118.0,0
858,1410,66,95,30310,2940,19460,123.0,0
873,1206,161,217,25550,4550,19320,123.0,0
883,1079,188,106,21420,2800,20230,129.0,0
898,1025,128,139,10430,770,21000,137.0,0
913,937,155,170,3920,1120,19670,137.0,0
923,888,133,128,-2590,700,19390,140.0,0
938,838,99,156,-12530,-490,18830,151.0,0
953,812,126,150,-16730,-140,16520,151.0,0
963,757,91,132,-24360,-350,15050,155.0,0
978,705,55,108,-25410,-140,13300,156.0,0
993,693,44,116,-21770,630,10640,160.0,0
1008,647,20,91,-17920,910,9240,160.0,0
1030,611,31,89,-2800,3220,6230,163.0,0
1052,596,15,60,7140,4970,4130,160.0,0
1067,596,11,61,10920,5810,1470,160.0,0
1082,597,6,75,16170,7420,-210,163.0,0
1097,607,-1,91,17710,7420,-3570,161.0,0
1112,650,3,99,18550,7070,-5180,161.0,0
1122,635,-17,64,18200,6860,-6930,159.0,0
1137,619,16,41,14770,8120,-10780,152.0,0
1152,569,9,48,12180,8400,-12670,142.0,0
1167,570,-27,25,5670,9870,-16870,142.0,0
1177,600,-44,22,1820,11060,-19390,140.0,0
1192,666,-88,67,-1750,12040,-25410,126.0,0
1207,827,-78,58,-6230,12390,-28140,126.0,0
1217,1156,-261,314,-6510,11970,-30590,118.0,0
1232,592,-432,-799,-117460,-79940,-43120,112.0,0
1247,592,-529,50,-61950,77350,-21490,112.0,0
1257,1056,424,43,-99890,-32690,-21630,113.0,0
1272,947,-111,-219,-70140,-19040,-13930,111.0,0
1287,1214,-911,-487,-41860,-24080,-8050,111.0,0
1300,1128,-447,345,3780,-16590,-770,111.0,0
1315,888,70,69,24640,-9240,2870,111.0,0
1330,1071,-305,-323,50330,-7280,8120,113.0,0
1345,1010,121,24,62650,-490,10920,113.0,0
1355,1030,-14,119,69440,350,13720,110.0,0
1370,960,371,-236,58660,-560,11410,111.0,0
1385,989,429,-198,29960,-5110,5530,111.0,0
1395,1091,-47,-19,-1680,-2310,5670,113.0,0
1410,1026,47,-142,1330,-3920,4620,110.0,0
1425,1051,59,0,1400,-1260,3850,110.0,0
1435,1012,-44,-21,2030,-1610,3360,111.0,0
1450,1018,53,3,1470,-1260,3220,110.0,0
1465,1019,36,2,1540,-840,2450,110.0,0
1475,1023,36,8,1470,-420,2030,111.0,0
1490,1014,6,42,1400,-280,1120,112.0,0
1505,1016,32,29,1330,-210,770,112.0,0
1515,1011,26,52,1330,-280,490,110.0,0
1530,1016,46,47,1260,-840,140,114.0,0
1545,1012,37,53,1330,-1050,70,114.0,0
1558,1014,46,56,1400,-1750,-70,109.0,0
1573,1008,45,61,1470,-2100,-70,110.0,0
1588,1015,54,57,1610,-3010,140,110.0,0
1603,1008,70,65,1540,-3430,490,110.0,0
1613,1011,36,39,1540,-3990,700,110.0,0
1628,1012,66,68,1750,-4690,700,109.0,0
1643,1010,58,58,1750,-5110,1120,109.0,0
1653,1011,64,48,1820,-5600,1400,108.0,0
1668,1013,50,45,1820,-6230,1470,111.0,0
1683,1016,52,39,1890,-6720,1470,111.0,0
1693,1016,53,34,1960,-6930,1470,112.0,0
1708,1014,56,30,1960,-7070,1470,111.0,0
1723,1016,53,20,1820,-7210,1540,111.0,0
1738,1044,61,-23,1820,-7350,1750,111.0,0
1748,1022,40,-26,1960,-6860,1890,110.0,0
1763,1019,113,9,2450,-6020,1960,110.0,0
1778,1020,43,-8,2100,-5670,2310,110.0,0
1788,1020,34,-8,2030,-4830,2100,110.0,0
1803,1020,56,-7,1960,-4200,2170,111.0,0
1820,1021,63,-17,1540,-3360,2310,111.0,0
1831,1019,52,-12,980,-2800,2380,109.0,0
1846,1023,76,-34,1120,-1540,2800,112.0,0
1861,1018,51,-30,1190,-840,3010,109.0,0
1876,1018,44,-11,1540,70,2940,109.0,0
1886,1018,40,6,1400,210,2660,112.0,0
1901,1014,23,-2,1330,490,2380,110.0,0
1916,1017,37,25,1330,630,1750,110.0,0
1926,1019,44,30,1330,490,1540,110.0,0
1941,1015,41,26,1400,280,1260,109.0,0
1956,1019,47,-1,1400,140,1260,109.0,0
1966,1019,37,0,1330,350,1120,107.0,0
1981,1021,48,0,1400,840,840,109.0,0
1996,1028,49,-12,1400,1120,770,109.0,0
2006,1035,72,-30,1610,1610,980,109.0,0
2021,1042,114,-60,1540,3220,2520,110.0,0
2042,1093,-71,-202,70,5320,3290,108.0,0
2057,1111,379,34,2590,5670,8680,108.0,0
2072,1150,58,18,4480,4690,10850,109.0,0
2087,1397,-221,12,12530,4340,9870,110.0,0
2102,1456,56,309,14910,7560,11760,114.0,0
2117,1414,141,115,16800,2380,15050,117.0,0
2132,1506,1,142,16520,-770,14630,117.0,0
2142,1497,102,195,14490,-1610,13720,123.0,0
2157,1326,99,45,8540,-3920,14700,131.0,0
2172,1183,105,98,5110,-4830,15680,131.0,0
2182,1148,152,124,1260,-4550,16310,135.0,0
2197,1010,117,51,-7980,-3640,16940,143.0,0
2212,974,146,39,-17850,-2520,17360,143.0,0
2222,1000,128,95,-21770,-1820,17500,152.0,0
2237,960,70,86,-25060,-1260,17360,154.0,0
2252,902,106,86,-31500,-560,15750,154.0,0
2262,893,9,121,-33110,-560,14560,163.0,0
2277,847,50,86,-31430,0,12250,170.0,0
2292,771,54,66,-23520,1610,11620,170.0,0
2302,739,46,105,-18760,2030,11410,175.0,0
2317,706,22,152,-13160,1610,10430,172.0,0
2334,670,-21,117,910,2660,9660,181.0,0
2349,669,-10,133,16380,1890,7420,181.0,0
2359,637,-19,141,23170,1470,5950,183.0,0
2374,602,8,148,28490,490,2240,183.0,0
2389,535,36,141,35560,-490,630,183.0,0
2399,509,40,120,37940,-980,-700,181.0,0
2414,474,51,113,40530,-280,-3220,175.0,0
2429,427,79,124,38150,1820,-4410,175.0,0
2439,443,70,91,34650,1890,-5880,169.0,0
2454,464,60,92,24360,3220,-8470,164.0,0
2469,539,56,108,18900,4060,-11900,164.0,0
2479,566,25,117,13930,4270,-14070,162.0,0
2494,685,-26,97,6160,4410,-16380,154.0,0
2509,747,-35,92,3850,4970,-21140,154.0,0
2519,777,-63,86,3010,5110,-23660,146.0,0
2534,801,-55,95,4340,5250,-26040,142.0,0
2549,790,-19,56,7980,5530,-28490,142.0,0
2559,804,-18,15,8330,6300,-29540,136.0,0
2574,952,-4,-26,7420,8190,-31080,124.0,0
2593,1130,-28,12,3290,12600,-33810,112.0,0
2608,1499,-920,-325,-113680,-165970,5530,112.0,0
2618,815,578,-599,-21910,45640,-5250,110.0,0
2633,935,949,270,-9940,19810,1190,110.0,0
2648,1083,-851,-97,-6510,-21280,8750,110.0,0
2658,1098,-318,-251,5390,-17850,6160,109.0,0
2673,901,598,178,39620,-10850,12460,108.0,0
2688,1324,-389,-267,46970,-11760,15400,108.0,0
2698,924,697,-469,39690,-9520,13790,108.0,0
2713,1092,456,25,840,-9380,15820,109.0,0
2728,1101,116,-257,5250,-9100,15120,109.0,0
2743,984,83,12,4410,-910,16450,109.0,0
2753,1135,28,-46,4620,-2240,15820,110.0,0
2768,1030,-49,85,1540,1890,13370,109.0,0
2783,1006,14,26,-6440,3430,11760,109.0,0
