t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
240682,998,12,-183,10150,17570,21070,107.0
240784,993,-25,-190,13580,18200,20790,107.0
240799,991,-33,-224,14280,20090,20090,107.0
240814,1010,-14,-171,13300,21280,19740,104.0
240829,995,-42,-208,7630,24570,19250,112.0
240844,996,-52,-217,3920,26670,18970,112.0
240858,1001,-34,-207,-2170,30940,18480,108.0
240873,1004,-8,-225,-4130,33040,18620,107.0
240888,1013,74,-170,-7280,37100,20090,104.0
240903,979,-124,-161,-9450,39130,20160,104.0
240913,983,-34,-184,-11550,40600,20370,111.0
240928,1016,-19,-39,-21070,43750,20790,105.0
240943,999,-42,-74,-25480,45290,21350,105.0
240953,1005,-74,-18,-30310,46550,21070,102.0
240968,1162,75,-114,-15750,39340,16660,105.0
240983,1246,215,-645,-33180,44870,14840,105.0
240993,1449,238,375,-42980,47180,13720,112.0
241008,902,-4,16,-61390,51940,11550,106.0
241023,858,-172,-125,-85330,57470,4340,106.0
241033,974,156,-252,-94290,62370,-630,106.0
241048,1242,283,-445,-104230,66570,-9240,110.0
241063,1145,96,-29,-140700,79100,-11900,110.0
241073,994,193,81,-156870,84420,-12670,115.0
241088,1030,173,23,-182630,88690,-12040,110.0
241103,1223,-162,238,-184310,88620,-7560,110.0
241118,838,207,172,-197050,78750,-4410,119.0
241133,1433,444,403,-201460,77420,-2240,113.0
241160,1223,241,315,-196840,58450,11130,126.0
241175,1158,316,160,-180320,47670,18970,126.0
241190,1052,82,125,-165550,44030,22190,130.0
241205,1021,25,86,-102410,41790,27090,124.0
241220,985,-105,127,-58380,40810,28210,124.0
241230,996,8,117,-15400,39060,29750,137.0
241245,950,151,243,44380,35280,29610,141.0
241260,918,304,268,58030,28560,29400,141.0
241270,898,249,188,63560,26670,28000,136.0
241285,813,246,266,60060,26740,25410,140.0
241300,831,240,132,44730,21910,20790,140.0
241310,839,208,75,35490,21420,18410,152.0
241325,802,160,217,25690,18690,15610,142.0
241340,786,123,399,5250,10920,8750,142.0
241350,750,87,319,-3990,3500,5320,133.0
241365,782,16,288,-11060,-2100,-1330,144.0
241382,769,-96,245,-13090,-13580,-4970,154.0
241397,758,-98,200,-6230,-22400,-12740,154.0
241407,764,-115,152,-1890,-25690,-16310,144.0
241422,755,-127,118,2660,-28000,-19810,142.0
241437,746,-128,52,12530,-30730,-26320,142.0
241447,741,-142,43,17500,-31010,-29330,157.0
241462,746,-147,43,22120,-31220,-35630,140.0
241477,796,-142,34,29400,-31290,-38780,140.0
241487,833,-122,38,32550,-31290,-41720,133.0
241502,843,-120,10,38710,-30590,-46690,149.0
241517,860,-110,11,40740,-29820,-49210,149.0
241527,877,-86,2,41790,-29260,-51730,134.0
241542,886,-70,-2,41440,-27510,-55790,132.0
241557,913,-104,8,40530,-26740,-60130,132.0
241567,950,-71,19,39620,-26180,-62160,129.0
241582,1048,-62,86,37660,-26110,-63910,129.0
241597,1098,-64,98,34930,-28210,-67270,123.0
241612,1136,-30,123,33390,-29890,-68460,123.0
241622,1150,-19,127,31990,-31570,-69370,120.0
241643,1182,157,160,29610,-35420,-67480,118.0
241658,1195,64,191,21420,-40110,-66570,114.0
241673,1186,51,152,14350,-45010,-67270,114.0
241683,1166,135,267,5040,-49070,-67200,116.0
241698,1208,112,223,-13860,-52010,-66990,117.0
241713,1245,103,206,-28000,-57470,-65940,117.0
241723,1313,123,175,-31710,-59220,-64680,117.0
241738,1331,167,164,-32550,-60760,-63210,116.0
241753,1336,53,117,-28280,-61810,-58520,116.0
241763,1312,13,66,-25620,-62230,-57050,118.0
241778,1292,26,59,-23170,-61670,-55230,119.0
241793,1271,65,-39,-17780,-58730,-53270,120.0
241808,1228,44,-25,-14630,-53760,-49350,120.0
241818,1161,47,3,-8330,-52080,-47530,120.0
241833,1027,53,30,-5040,-50820,-45430,120.0
241848,961,56,61,2520,-50260,-40600,120.0
241858,901,64,102,6860,-51100,-37730,127.0
241873,777,79,109,11830,-52080,-34440,126.0
241892,691,78,116,22960,-55300,-27090,133.0
241907,671,71,106,33320,-58450,-19950,133.0
241917,654,59,73,37660,-59780,-16660,133.0
241932,661,64,58,41650,-60340,-10640,126.0
241947,673,68,32,50050,-60200,-7560,126.0
241957,687,61,45,55020,-59780,-4270,135.0
241972,706,76,31,65100,-58800,2450,127.0
241987,782,110,50,69650,-58380,6090,127.0
241997,828,129,40,73500,-57820,9870,129.0
242012,841,136,129,77910,-56210,17360,138.0
242027,879,132,-82,78120,-56280,20370,138.0
242037,833,160,52,76580,-52430,25270,126.0
242052,890,178,-9,72170,-49560,27370,130.0
242067,914,192,19,68250,-43540,30450,130.0
242077,930,182,-1,62790,-40110,30590,131.0
242092,973,212,-5,45990,-36400,29890,122.0
242107,1022,243,32,22190,-28420,26880,118.0
242122,1066,267,16,9310,-23870,25060,118.0
242132,1847,1066,-1370,21700,-30030,22260,112.0
242149,1219,103,374,93520,-12110,43610,108.0
242170,437,314,390,107030,13930,47880,110.0
242185,776,-148,-213,132160,18480,39130,110.0
242195,393,-309,-690,154840,16660,33740,108.0
242210,868,-382,-841,195720,15050,27160,110.0
242225,1627,-82,-487,211540,22400,25760,110.0
242235,1197,678,-1598,141190,9730,20230,106.0
242250,526,-44,-862,28280,10010,19320,106.0
242265,1218,-880,-1075,10220,-4620,13300,102.0
242280,1381,235,-535,5950,11550,13300,102.0
242290,1267,107,313,-3220,15960,10080,111.0
242305,763,-353,-858,-13090,15400,8680,111.0
242320,689,-55,-326,-42770,17640,5600,111.0
242330,1068,-6,-648,-32970,17290,4060,106.0
242345,903,191,-190,3500,20930,-2940,105.0
