t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
72,1029,109,114,770,8750,-6090,108.0,0
88,995,128,75,280,5810,-3710,108.0,0
103,989,129,89,70,2870,-420,114.0,0
118,982,135,142,770,1190,1260,111.0,0
133,988,119,105,1820,-2100,4480,112.0,0
148,1001,85,75,1890,-3290,5670,112.0,0
158,1004,66,60,1960,-4340,6580,110.0,0
173,1010,41,9,1820,-5530,7210,110.0,0
188,1029,19,-4,1820,-5600,7350,110.0,0
198,1026,12,17,1610,-5530,6580,109.0,0
213,1023,-21,-14,1750,-5740,5950,112.0,0
228,1019,-11,0,1750,-5740,4410,112.0,0
238,1018,-15,1,1750,-5810,3710,108.0,0
253,1024,-3,-15,1820,-5740,3080,110.0,0
272,1024,1,-31,1820,-5110,2310,108.0,0
287,1024,-1,-28,1820,-4270,1610,108.0,0
297,1022,5,-29,1750,-3850,1330,109.0,0
312,1024,10,-27,1750,-3430,1120,108.0,0
327,1024,27,-26,1750,-2520,980,108.0,0
337,1020,40,-9,1750,-2240,1050,109.0,0
352,1019,43,-18,1750,-1960,1610,111.0,0
367,1012,54,13,1680,-1680,2100,111.0,0
377,1012,58,15,1680,-1890,2520,108.0,0
392,1015,44,10,1680,-2310,3360,112.0,0
407,1016,31,11,1750,-2590,3570,112.0,0
417,1020,12,6,1820,-2870,3640,110.0,0
432,1017,14,-13,1960,-3220,3500,108.0,0
447,1021,15,-24,1890,-3150,3430,108.0,0
457,1020,16,-24,1820,-2870,3290,108.0,0
472,1019,7,-20,1750,-2380,2940,111.0,0
487,1018,5,-13,1750,-2030,2240,111.0,0
497,1018,7,-10,1750,-1960,1890,108.0,0
512,1018,14,-7,1610,-1890,1610,111.0,0
531,1017,21,-8,1610,-1820,1330,110.0,0
546,1019,27,-12,1610,-1680,1540,110.0,0
556,1019,30,-19,1610,-1470,1680,111.0,0
571,1020,23,-12,1610,-1260,1820,110.0,0
586,1017,23,-5,1610,-1190,1890,112.0,0
601,1016,23,2,1680,-1260,1960,112.0,0
611,1016,27,-2,1680,-1400,2100,110.0,0
626,1018,25,-8,1680,-1470,2170,108.0,0
641,1019,23,-22,1680,-1190,2310,108.0,0
651,1020,19,-22,1680,-980,2240,111.0,0
666,1018,16,-16,1610,-840,2100,109.0,0
681,1019,12,-14,1610,-630,1750,109.0,0
691,1017,14,5,1540,-770,1540,112.0,0
706,1017,23,2,1540,-980,1540,109.0,0
721,1016,27,8,1610,-1400,1540,109.0,0
731,1015,28,3,1540,-1610,1680,109.0,0
746,1017,26,-3,1540,-1750,1890,109.0,0
761,1016,24,5,1680,-2030,1890,109.0,0
771,1017,25,-2,1680,-2170,1960,110.0,0
