t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
300863,957,265,33,1960,-2590,16590,114.0
300967,946,287,-8,10920,-4060,20300,114.0
300986,970,236,-37,19530,-4200,24150,108.0
301001,970,260,-60,22330,-4270,26180,110.0
301016,965,243,-97,23800,-4550,30450,112.0
301031,965,240,-94,22960,-4690,34160,112.0
301041,973,202,-66,21700,-5180,35560,108.0
301056,972,169,-14,19950,-7210,36890,110.0
301071,975,145,-30,20090,-9310,38850,106.0
301086,961,137,1,27790,-9170,40040,106.0
301096,963,89,-48,35210,-9170,40880,104.0
301111,993,77,-78,52640,-7350,42420,104.0
301126,1300,-132,-453,56700,-7770,42980,104.0
301136,1330,-710,-933,22120,-13300,43330,105.0
301151,987,137,-493,8120,-10220,36330,105.0
301166,1001,-166,-709,23450,-2870,28070,105.0
301176,912,-408,-284,34650,3710,23380,107.0
301191,1010,-60,-224,36680,7070,20300,107.0
301206,982,-268,-126,13160,13930,17150,107.0
301216,997,-7,-219,-1120,17710,17150,108.0
301231,1046,160,-204,-12950,21210,18480,108.0
301248,1028,123,-301,-23450,27930,23380,106.0
301263,1031,167,-306,-21770,32970,27860,106.0
301273,1021,151,-326,-17290,35700,30170,107.0
301288,1166,-61,53,-16730,39970,31430,107.0
301303,1149,203,-369,-2380,39410,31290,107.0
301313,1089,-55,158,-3850,42140,32410,107.0
301328,1264,475,110,-6090,39550,34020,110.0
301343,1372,490,46,-50120,46830,35700,110.0
301353,1078,90,-13,-70490,48930,35420,111.0
301368,943,-107,39,-81900,50540,35980,112.0
301383,1158,64,-359,-79730,52500,36400,112.0
301393,1207,250,-318,-76090,55580,37870,115.0
301408,1171,319,-158,-89530,62650,42000,119.0
301423,980,71,66,-100450,65660,42560,119.0
301445,958,55,215,-117740,64050,45920,123.0
301460,800,81,371,-130410,59920,46970,123.0
301475,786,12,550,-143920,46410,47670,125.0
301490,770,-74,572,-146790,38780,48650,126.0
301509,874,-331,591,-148750,21910,49000,132.0
301524,818,-65,668,-111440,6020,52360,132.0
301534,767,-320,69,-57890,6580,54180,133.0
301549,852,-199,247,630,6860,53480,134.0
301564,957,467,-23,1540,2100,55300,134.0
301574,1160,-508,-562,-91910,-9660,61390,132.0
301589,819,-816,445,-124950,-5740,72100,136.0
301604,1087,-177,50,-21140,-1890,72800,138.0
301619,1314,-273,93,33740,-5740,72870,138.0
301629,1353,-156,10,68180,-5390,71820,136.0
301644,1462,-289,115,100800,-13440,66640,143.0
301659,1355,-287,232,140770,-19950,55720,143.0
301669,1110,-161,188,148540,-23030,51520,144.0
301684,1478,-264,311,150850,-26250,44940,146.0
301699,1189,-56,-49,149660,-29400,30520,146.0
301709,1083,-366,-67,146300,-25900,25270,149.0
301724,1104,-34,-100,142310,-21280,11410,149.0
301739,944,-101,-19,128730,-18620,5320,149.0
301749,857,-192,-93,119350,-16170,-1610,158.0
301768,709,-77,-148,101990,-10990,-14700,154.0
301783,713,31,-110,84420,-4620,-23100,156.0
301798,631,-71,-184,73500,-840,-28700,156.0
301808,560,6,-173,59500,3220,-34370,154.0
301823,577,-38,20,23380,9870,-45500,160.0
301838,667,17,29,3360,10640,-56350,160.0
301848,700,28,30,-16100,11340,-60200,158.0
301863,863,-28,85,-44450,10990,-63140,158.0
301878,916,-70,140,-52500,9240,-69160,158.0
301888,951,-102,124,-58870,7910,-72170,150.0
301903,970,-137,220,-59850,5740,-75390,150.0
301918,1006,-122,313,-59850,-1890,-81970,144.0
301933,1040,-95,336,-59220,-7140,-84910,144.0
301943,1045,-90,340,-58310,-12880,-87500,143.0
301958,1071,-70,342,-53760,-25410,-90300,141.0
301973,1105,-52,369,-50820,-31360,-93030,141.0
301983,1087,-110,286,-48020,-42630,-94990,141.0
301998,1089,-86,182,-38360,-46480,-96530,141.0
302013,1080,-75,132,-20930,-50470,-97370,141.0
302026,1054,-120,14,-8190,-50540,-97370,140.0
302041,1047,-147,-32,5950,-48090,-96530,135.0
302056,1046,-113,-94,38360,-45780,-95410,136.0
302071,1052,-108,-71,70140,-41930,-91700,136.0
302081,1057,-68,-67,82880,-40600,-89320,134.0
302096,995,7,-35,92260,-39620,-86520,135.0
302111,970,19,-6,102270,-38990,-81060,135.0
302121,939,41,12,105210,-39550,-78120,132.0
302136,926,27,-1,107660,-40390,-72100,133.0
302151,910,57,34,112420,-41790,-68600,133.0
302161,917,27,68,114730,-43120,-65240,134.0
302176,944,68,59,117320,-46760,-58730,130.0
302191,1025,116,49,116340,-47880,-54390,130.0
302201,1053,111,86,114730,-49070,-50400,132.0
302216,1048,99,39,109970,-51380,-43820,133.0
302231,976,136,27,106470,-51870,-40530,133.0
302241,925,88,-2,101710,-51800,-37520,131.0
302256,885,94,-33,88620,-49980,-34860,126.0
302271,818,74,0,80640,-47460,-33180,126.0
302286,873,69,-30,66780,-46200,-32340,131.0
302301,916,67,-12,58380,-42630,-30100,129.0
302316,1008,90,-62,55790,-40040,-28490,127.0
302331,1033,98,-49,50820,-34090,-25130,123.0
302346,1078,68,-34,47110,-31290,-24220,123.0
302356,1116,112,-38,42350,-28560,-23660,123.0
302371,1171,170,-33,31500,-22610,-20510,122.0
302386,1217,174,-24,24850,-19460,-16940,122.0
302396,1307,288,-100,17080,-14700,-10430,121.0
302411,1485,-1447,497,53200,-560,14980,122.0
302426,1599,286,313,76160,15050,32970,122.0
302442,1037,358,-47,68670,13510,37450,119.0
302457,1597,-31,-136,76440,24570,50890,118.0
302472,713,557,-650,71050,24500,49980,118.0
302487,877,57,-254,59220,23170,48510,118.0
302497,1005,43,-319,52990,21210,45990,116.0
302512,1019,160,-210,44870,20160,45080,116.0
302527,980,47,-425,17780,17990,43960,116.0
302540,970,182,-197,3080,13580,41580,113.0
302555,918,127,-365,-28980,11340,41230,113.0
302570,937,223,-233,-57610,4480,41230,110.0
302585,1030,9,-173,-68950,1470,41020,110.0
302595,1029,12,-97,-77910,-1260,39900,112.0
302610,1022,-50,-213,-86660,-6230,36190,110.0
302625,994,-57,-217,-83790,-6790,33530,110.0
302635,981,-74,-245,-78050,-5810,30660,111.0
302650,1037,-133,-272,-58310,-840,25480,107.0
302665,1066,-104,-254,-46200,6300,21000,107.0
302675,1049,-79,-233,-34510,9660,18970,115.0
302690,986,-33,-266,-12320,13160,17150,108.0
302705,982,-31,-275,6370,18550,14000,110.0
302720,1014,39,-200,11270,20090,12810,110.0
302730,1019,22,-208,12460,20720,11970,110.0
